,dun_male,dun_female,tuple,&_male,&_female,bradstreet_male,bradstreet_female,holdings_male,holdings_female,average_male,average_female,female-male
75,7.5683565,7.294038,"('confident', 'shy')",4.0087137,4.0352073,1.0022796,1.0337238,5.658599,6.241472,4.559487342834473,4.6511101722717285,0.09162282943725586
6,6.0342712,6.343159,"('liked', 'disliked')",4.5879793,4.393346,-0.27544037,-0.3466465,6.4326763,6.7903547,4.19487190246582,4.295053482055664,0.10018157958984375
95,-5.861909,-6.1336346,"('rich', 'poor')",-4.6163955,-4.796937,-0.08424294,-0.12588036,-6.1715283,-6.6570215,-4.183518886566162,-4.42836856842041,-0.24484968185424805
27,-5.703367,-6.2686043,"('sincere', 'insincere')",-4.1355467,-3.9827933,0.3948732,0.54853094,-6.638048,-7.0595007,-4.020522117614746,-4.190591812133789,-0.17006969451904297
53,-4.90956,-4.8107877,"('smart', 'stupid')",-2.785178,-2.6608834,-0.71601766,-0.7612668,-4.6145515,-4.657486,-3.256326913833618,-3.2226059436798096,0.033720970153808594
40,-4.5017014,-4.7193832,"('honorable', 'mean')",-3.1803021,-3.355461,-0.46771103,-0.7605191,-4.99464,-5.475706,-3.286088466644287,-3.5777673721313477,-0.29167890548706055
86,2.7381997,2.8673048,"('self-reliant', 'helpless')",3.6254056,3.315715,-1.0532793,-1.0230861,3.5907848,3.8159852,2.2252776622772217,2.2439796924591064,0.018702030181884766
48,2.7287421,2.5138464,"('reliable', 'unreliable')",1.5736834,1.3709737,-0.47398722,-0.59141856,2.2076168,2.184045,1.5090137720108032,1.3693616390228271,-0.13965213298797607
66,2.7221446,2.650824,"('imaginative', 'unimaginative')",1.7984312,1.9160259,0.3129506,0.31781885,2.2398949,2.5875924,1.7683552503585815,1.8680651187896729,0.09970986843109131
3,2.2974002,2.126056,"('likable', 'unlikable')",0.5202945,0.25173515,0.15089935,0.2034256,1.212531,1.376033,1.0452812910079956,0.9893124103546143,-0.05596888065338135
105,-1.9198487,-1.7868456,"('conventional', 'modern')",-1.011471,-1.0496438,-0.40963814,-0.45972043,-0.4158132,-0.3566156,-0.9391927719116211,-0.9132062792778015,0.02598649263381958
78,1.8840824,1.5887096,"('active', 'inactive')",1.0016036,0.7120829,0.32693982,-0.06388205,1.5063173,1.2957523,1.179735779762268,0.8831656575202942,-0.2965701222419739
32,-1.7387904,-1.2766833,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-0.73913693,-0.8628657,-0.8464395,-0.33411533,-1.1555461883544922,-0.8611071705818176,0.29443901777267456
90,1.7190961,1.0774151,"('motivated', 'unmotivated')",0.6029837,0.55173934,0.97825944,0.8861948,0.28536385,-0.008630931,0.8964257836341858,0.6266795992851257,-0.26974618434906006
14,1.6978862,1.1811028,"('supportive', 'unsupportive')",0.8450122,0.7476977,0.7811914,0.6270216,0.6490345,0.9883406,0.9932810664176941,0.8860406875610352,-0.10724037885665894
34,-1.6643908,-1.6858261,"('loyal', 'disloyal')",-1.7068768,-1.3924224,0.7947454,0.903018,-2.0474734,-2.0751586,-1.155998945236206,-1.0625972747802734,0.09340167045593262
11,-1.616869,-1.4025863,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,0.07643162,0.0033386126,-1.9007652,-1.7334057,-1.0941317081451416,-1.0251120328903198,0.06901967525482178
46,1.5138797,1.6735315,"('generous', 'stingy')",1.1583265,1.4427539,0.50228953,0.5219226,1.9788184,2.2156897,1.2883285284042358,1.4634743928909302,0.17514586448669434
104,-1.4744515,-1.1196524,"('conventional', 'unconventional')",-0.45263612,-0.33058608,-0.4996928,-0.5941427,-0.6435943,-0.62254924,-0.7675936818122864,-0.6667326092720032,0.1008610725402832
50,1.4409728,1.5101875,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,0.12581974,0.16609222,2.525052,2.5821576,1.6809204816818237,1.6896344423294067,0.008713960647583008
63,-1.3821673,-1.4392002,"('capable', 'incapable')",-0.80940247,-1.0181079,-0.18482907,-0.2607038,-0.72232276,-1.0001471,-0.7746803760528564,-0.9295397400856018,-0.15485936403274536
33,-1.3804594,-1.4586518,"('softhearted', 'hardhearted')",-0.60674417,-0.23359776,-0.484657,-0.5696657,-1.4536307,-1.3283123,-0.9813728332519531,-0.8975569009780884,0.08381593227386475
1,-1.3396368,-1.0507845,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,0.35174754,0.21809798,-0.8443091,-0.73054564,-0.9098883271217346,-0.8733690977096558,0.03651922941207886
81,1.2891753,1.8921653,"('industrious', 'lazy')",1.1508373,0.8324736,-1.1303705,-1.4047751,2.638926,2.9089966,0.9871419668197632,1.0572150945663452,0.07007312774658203
58,-1.2635407,-1.6432968,"('able', 'clumsy')",-1.5622277,-1.5301608,1.0092273,1.0144136,-1.9926922,-2.0978327,-0.9523083567619324,-1.0642192363739014,-0.111910879611969
28,-1.2416085,-1.5094779,"('honest', 'dishonest')",-2.4815605,-2.3089046,0.40205252,0.47941267,-1.9167614,-1.9680886,-1.30946946144104,-1.3267645835876465,-0.017295122146606445
10,-1.2392218,-0.44563517,"('affectionate', 'unaffectionate')",0.22535588,0.18459022,-0.16572757,-0.1974031,-0.5137048,-0.071733,-0.4233245849609375,-0.13254526257514954,0.29077932238578796
13,-1.2047625,-1.8018736,"('helpful', 'unhelpful')",-1.4792297,-1.5617889,0.8468602,0.91834855,-3.0220122,-3.119163,-1.2147860527038574,-1.3911192417144775,-0.17633318901062012
29,-1.200979,-1.8995035,"('honest', 'immoral')",-2.492492,-2.3022342,0.47549096,0.49445915,-1.7887039,-2.2403114,-1.2516709566116333,-1.4868974685668945,-0.23522651195526123
15,1.18883,0.6240997,"('polite', 'impolite')",0.7157667,0.84402835,1.3213328,1.6098824,-0.11679274,-0.06047392,0.7772842645645142,0.7543841004371643,-0.022900164127349854
70,1.1516912,1.7158788,"('wise', 'unwise')",-0.22921562,-0.1455794,0.5909505,0.5177146,1.4651623,1.5168192,0.7446470856666565,0.9012083411216736,0.1565612554550171
109,1.1286801,0.097492844,"('conservative', 'liberal')",1.8477361,2.2259586,1.3673512,1.5985644,-0.5183059,-0.70227265,0.9563653469085693,0.8049358129501343,-0.15142953395843506
108,1.1286801,0.097492844,"('conservative', 'liberal')",1.8477361,2.2259586,1.3673512,1.5985644,-0.5183059,-0.70227265,0.9563653469085693,0.8049358129501343,-0.15142953395843506
88,1.1035614,1.7881877,"('impulsive', 'meek')",1.1357977,0.689323,-0.7177891,-0.7524049,2.0203009,2.0743499,0.8854677081108093,0.9498639106750488,0.0643962025642395
38,-1.0692917,-1.4284837,"('kind', 'unkind')",-1.8781213,-1.696897,0.4443053,0.5233612,-2.1110625,-2.1741424,-1.1535425186157227,-1.1940405368804932,-0.04049801826477051
56,1.0629997,1.1778407,"('intelligent', 'dumb')",0.74053323,0.7549103,-0.4941194,-0.62909985,1.1403407,1.1971219,0.6124385595321655,0.6251932382583618,0.012754678726196289
37,1.0598738,1.869761,"('good', 'evil')",0.43938786,0.26428354,0.26345107,-0.05221033,2.9057746,3.0381927,1.1671218872070312,1.280006766319275,0.11288487911224365
52,1.0064127,0.15019572,"('competitive', 'uncompetitive')",-0.019819617,0.035560608,0.847502,0.9053004,-2.1735342,-2.1972377,-0.08485975861549377,-0.2765452563762665,-0.1916854977607727
54,0.99173415,0.6291609,"('smart', 'stupid')",1.0975463,1.0455928,0.47828576,0.14430894,-0.08050594,0.05355376,0.62176513671875,0.46815407276153564,-0.15361106395721436
98,-0.9613546,-0.80837166,"('prestigious', 'insignificant')",-1.0710076,-1.416075,-0.9563898,-1.0287724,0.5292704,0.28390616,-0.6148703694343567,-0.7423282265663147,-0.127457857131958
94,0.9232797,0.01813367,"('aggressive', 'submissive')",0.45391607,0.68634987,1.1467752,1.3175282,-0.4937843,-0.637865,0.5075466632843018,0.3460366725921631,-0.16150999069213867
99,-0.8995476,-0.19396326,"('prestigious', 'insignificant')",-0.7048128,-1.1830682,-0.9360669,-1.1500032,1.2655886,1.2435471,-0.3187096416950226,-0.32087191939353943,-0.0021622776985168457
103,0.89522666,0.29231405,"('traditional', 'modern')",0.43213966,0.44099018,0.97650254,0.9880962,0.35770303,0.016626373,0.6653929352760315,0.43450671434402466,-0.23088622093200684
