,american_male,american_female,tuple,capital_male,capital_female,average_male,average_female,female-male
75,4.746411,5.045017,"('confident', 'shy')",5.6018033,6.0883875,5.174107074737549,5.566701889038086,0.3925948143005371
27,-3.9222226,-3.7970738,"('sincere', 'insincere')",-6.04733,-6.1459703,-4.984776496887207,-4.971522331237793,0.013254165649414062
40,-3.4385684,-3.6579657,"('honorable', 'mean')",-4.7263136,-5.121324,-4.0824408531188965,-4.389644622802734,-0.3072037696838379
6,3.4207776,3.4024277,"('liked', 'disliked')",4.868006,5.471086,4.144392013549805,4.4367570877075195,0.29236507415771484
107,3.088774,3.3629878,"('conventional', 'modern')",-0.59112155,-0.025005594,1.248826265335083,1.6689910888671875,0.4201648235321045
95,-2.8223944,-2.9295962,"('rich', 'poor')",-5.3902884,-5.7956467,-4.106341361999512,-4.362621307373047,-0.25627994537353516
53,-2.6324406,-2.6031334,"('smart', 'stupid')",-3.8800006,-4.1596785,-3.256220579147339,-3.381405830383301,-0.12518525123596191
3,1.9908156,2.0367033,"('likable', 'unlikable')",1.1763312,1.3901198,1.583573341369629,1.713411569595337,0.129838228225708
48,1.8378615,1.7856909,"('reliable', 'unreliable')",1.2504674,1.355006,1.5441644191741943,1.5703485012054443,0.02618408203125
104,-1.6932374,-1.9187226,"('conventional', 'unconventional')",-0.5961777,-0.65573883,-1.1447075605392456,-1.2872307300567627,-0.1425231695175171
86,1.6825328,1.6524307,"('self-reliant', 'helpless')",2.8116674,2.6398473,2.2471001148223877,2.146138906478882,-0.10096120834350586
13,-1.6823797,-1.5226558,"('helpful', 'unhelpful')",-3.4967868,-3.3183362,-2.589583396911621,-2.4204959869384766,0.16908740997314453
32,-1.6605966,-1.6241615,"('benevolent', 'hardhearted')",-1.2801167,-0.82585526,-1.4703567028045654,-1.2250083684921265,0.24534833431243896
66,1.5387206,1.6539221,"('imaginative', 'unimaginative')",1.3708005,1.9342206,1.4547605514526367,1.7940713167190552,0.33931076526641846
78,1.4410411,1.1619178,"('active', 'inactive')",1.9288464,1.462709,1.684943675994873,1.3123133182525635,-0.37263035774230957
98,-1.3190604,-1.5705377,"('prestigious', 'insignificant')",-0.46113476,-0.54296017,-0.8900976181030273,-1.056748867034912,-0.16665124893188477
28,-1.3016797,-1.2074918,"('honest', 'dishonest')",-1.9735496,-2.041952,-1.6376147270202637,-1.6247217655181885,0.012892961502075195
99,-1.287886,-1.7479565,"('prestigious', 'insignificant')",-0.90700185,-0.78207934,-1.09744393825531,-1.2650179862976074,-0.16757404804229736
55,-1.2866193,-1.0971566,"('intelligent', 'unintelligent')",-1.0791488,-0.8331742,-1.1828839778900146,-0.9651654362678528,0.21771854162216187
29,-1.2827226,-1.1442115,"('honest', 'immoral')",-2.1289058,-2.0530214,-1.7058141231536865,-1.5986164808273315,0.10719764232635498
50,1.2816255,1.2263694,"('unprejudiced', 'prejudiced')",2.524199,2.2390893,1.9029122591018677,1.7327293157577515,-0.1701829433441162
15,1.2455684,1.6566074,"('polite', 'impolite')",-0.28840375,0.33308482,0.47858232259750366,0.9948461055755615,0.5162637829780579
44,-1.2301975,-1.2855871,"('truthful', 'untruthful')",-1.4388399,-1.6172657,-1.3345186710357666,-1.451426386833191,-0.11690771579742432
94,1.2213848,1.635675,"('aggressive', 'submissive')",-0.24897951,-0.19431496,0.4862026274204254,0.7206799983978271,0.23447737097740173
102,-1.1164575,-1.0636505,"('eminent', 'low')",-2.0063841,-1.1954992,-1.5614207983016968,-1.1295747756958008,0.431846022605896
33,-1.1113784,-1.121859,"('softhearted', 'hardhearted')",-1.3490089,-1.1605043,-1.2301936149597168,-1.1411817073822021,0.08901190757751465
34,-1.1060884,-0.94135594,"('loyal', 'disloyal')",-2.601735,-1.9859431,-1.8539117574691772,-1.4636495113372803,0.390262246131897
11,-1.0996166,-1.2282249,"('caring', 'unaffectionate')",-1.6247442,-1.6703362,-1.362180471420288,-1.4492805004119873,-0.08710002899169922
46,1.0852582,1.118042,"('generous', 'stingy')",1.7862087,1.9250927,1.4357335567474365,1.5215673446655273,0.08583378791809082
16,1.0467592,1.403033,"('social', 'antisocial')",-0.14247563,0.13905549,0.45214182138442993,0.7710442543029785,0.3189024329185486
24,-0.9880574,-0.9420582,"('thoughtful', 'rough')",-1.2097063,-1.5123029,-1.0988818407058716,-1.2271804809570312,-0.12829864025115967
92,-0.9820994,-1.3108232,"('unwavering', 'wavering')",0.019109309,-0.20129105,-0.48149505257606506,-0.7560571432113647,-0.2745620906352997
45,-0.95328003,-0.85286707,"('cooperative', 'exploitative')",-0.33326507,-0.69651246,-0.6432725191116333,-0.774689793586731,-0.13141727447509766
25,-0.95093334,-0.6597348,"('moral', 'immoral')",-1.256173,-1.1632626,-1.1035531759262085,-0.9114986658096313,0.19205451011657715
60,-0.9334517,-0.551273,"('educated', 'uneducated')",-1.6553345,-1.0850009,-1.2943930625915527,-0.8181369304656982,0.4762561321258545
1,-0.8856698,-1.072547,"('friendly', 'unfriendly')",-1.5840819,-1.2888811,-1.2348759174346924,-1.1807140111923218,0.054161906242370605
