,american_male,american_female,tuple,tower_male,tower_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,4.746411,5.045017,"('confident', 'shy')",6.7278843,6.6868505,6.66473,6.5372887,4.247345,4.725128,5.596592426300049,5.748570919036865,0.1519784927368164
27,-3.9222226,-3.7970738,"('sincere', 'insincere')",-6.2307043,-6.3470645,-6.6364894,-6.431673,-4.0693674,-4.2187166,-5.214695930480957,-5.19863224029541,0.016063690185546875
40,-3.4385684,-3.6579657,"('honorable', 'mean')",-4.6221075,-5.0283804,-5.858739,-5.9650583,-2.9068136,-3.3330858,-4.206557273864746,-4.496122360229492,-0.2895650863647461
6,3.4207776,3.4024277,"('liked', 'disliked')",6.1184444,6.155837,6.684802,6.6123395,3.2574773,3.5818095,4.870375156402588,4.938103675842285,0.06772851943969727
107,3.088774,3.3629878,"('conventional', 'modern')",0.53089213,0.831076,0.41894037,0.40934473,1.0958123,1.6039909,1.2836047410964966,1.5518498420715332,0.2682451009750366
95,-2.8223944,-2.9295962,"('rich', 'poor')",-5.3391967,-5.377553,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.240838050842285,-4.3945794105529785,-0.15374135971069336
53,-2.6324406,-2.6031334,"('smart', 'stupid')",-4.5385685,-4.5155234,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.7440385818481445,-3.6645188331604004,0.07951974868774414
3,1.9908156,2.0367033,"('likable', 'unlikable')",2.0025532,2.0752783,1.6233785,1.5548921,1.4871099,1.6269121,1.7759642601013184,1.8234463930130005,0.04748213291168213
48,1.8378615,1.7856909,"('reliable', 'unreliable')",2.4269247,2.257067,2.681928,2.5936308,1.1541629,1.1235613,2.025219440460205,1.9399875402450562,-0.08523190021514893
104,-1.6932374,-1.9187226,"('conventional', 'unconventional')",-1.051093,-0.8508756,-0.7870131,-0.6860226,0.09214801,-0.08103579,-0.8597988486289978,-0.8841641545295715,-0.02436530590057373
86,1.6825328,1.6524307,"('self-reliant', 'helpless')",3.697059,3.4979982,2.751844,2.6451762,1.5905108,1.749958,2.4304866790771484,2.3863906860351562,-0.04409599304199219
13,-1.6823797,-1.5226558,"('helpful', 'unhelpful')",-2.410262,-2.3258586,-3.0271235,-3.0961032,-2.575208,-2.4277782,-2.42374324798584,-2.3430991172790527,0.08064413070678711
32,-1.6605966,-1.6241615,"('benevolent', 'hardhearted')",-1.75095,-1.4323585,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.322542667388916,-1.0053151845932007,0.31722748279571533
66,1.5387206,1.6539221,"('imaginative', 'unimaginative')",1.5903028,1.8441701,3.0494213,3.0358052,0.34587073,0.7209271,1.6310789585113525,1.8137061595916748,0.18262720108032227
78,1.4410411,1.1619178,"('active', 'inactive')",1.64698,1.3191466,2.3321204,1.9112912,1.6742909,1.1332293,1.7736082077026367,1.3813961744308472,-0.39221203327178955
98,-1.3190604,-1.5705377,"('prestigious', 'insignificant')",-0.08267016,-0.07367322,-0.5078856,-0.44825798,0.27524158,0.15429056,-0.40859365463256836,-0.4845446050167084,-0.07595095038414001
28,-1.3016797,-1.2074918,"('honest', 'dishonest')",-1.7549453,-1.7264924,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.6040235757827759,-1.4851189851760864,0.11890459060668945
99,-1.287886,-1.7479565,"('prestigious', 'insignificant')",0.13050717,0.11199331,0.29116943,0.51564914,0.7842057,0.64763576,-0.02050095796585083,-0.11816959083080292,-0.09766863286495209
55,-1.2866193,-1.0971566,"('intelligent', 'unintelligent')",-1.0643244,-1.0660765,-1.5241168,-1.5656445,-0.3138889,-0.4464134,-1.0472372770309448,-1.0438227653503418,0.0034145116806030273
29,-1.2827226,-1.1442115,"('honest', 'immoral')",-1.3381577,-1.5637636,-1.8260021,-1.7521313,-1.9729593,-2.176074,-1.6049604415893555,-1.6590451002120972,-0.0540846586227417
50,1.2816255,1.2263694,"('unprejudiced', 'prejudiced')",2.5485578,2.4209704,2.2759738,2.2260273,1.2686491,1.0383911,1.8437016010284424,1.7279396057128906,-0.11576199531555176
15,1.2455684,1.6566074,"('polite', 'impolite')",0.13027361,0.4634735,0.51423466,0.6083,-0.60293305,-0.018667951,0.32178589701652527,0.6774282455444336,0.3556423485279083
44,-1.2301975,-1.2855871,"('truthful', 'untruthful')",-0.71067566,-0.76017725,-0.6980455,-0.76625013,-0.44683415,-0.3493275,-0.7714381814002991,-0.7903355360031128,-0.01889735460281372
94,1.2213848,1.635675,"('aggressive', 'submissive')",0.50437325,0.49820223,-0.09218556,-0.26384047,-0.6174553,-0.32319823,0.2540293335914612,0.38670966029167175,0.13268032670021057
102,-1.1164575,-1.0636505,"('eminent', 'low')",-0.5635818,-0.50719005,-0.53147554,-0.3426346,-0.2643765,-0.27766025,-0.6189728379249573,-0.5477838516235352,0.07118898630142212
33,-1.1113784,-1.121859,"('softhearted', 'hardhearted')",-1.4488591,-1.5133438,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-1.053814172744751,-1.063517451286316,-0.009703278541564941
34,-1.1060884,-0.94135594,"('loyal', 'disloyal')",-2.150103,-1.9025612,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.6134814023971558,-1.3917791843414307,0.2217022180557251
