,alexion_male,alexion_female,tuple,pharmaceuticals_male,pharmaceuticals_female,average_male,average_female,female-male
10,-2.1265554,-2.558854,"('affectionate', 'unaffectionate')",-0.053743526,-0.050480828,-1.0901495218276978,-1.3046674728393555,-0.21451795101165771
75,2.0832257,2.2870505,"('confident', 'shy')",4.3774853,4.4838896,3.2303555011749268,3.385469913482666,0.15511441230773926
90,1.868229,2.1270728,"('motivated', 'unmotivated')",0.47902247,0.53196937,1.1736257076263428,1.3295210599899292,0.15589535236358643
16,1.7781879,2.4333367,"('social', 'antisocial')",-0.21468294,0.07331404,0.7817524671554565,1.253325343132019,0.4715728759765625
71,1.7220893,2.5413978,"('efficient', 'inefficient')",-1.2656757,-1.1513476,0.2282068133354187,0.6950250864028931,0.46681827306747437
50,1.6787472,1.6485351,"('unprejudiced', 'prejudiced')",1.7182207,1.6497238,1.698483943939209,1.6491293907165527,-0.04935455322265625
11,-1.6162102,-1.9979433,"('caring', 'unaffectionate')",-1.0076039,-1.1174676,-1.3119070529937744,-1.5577054023742676,-0.24579834938049316
15,1.585316,2.4223685,"('polite', 'impolite')",0.39267507,0.69331604,0.9889954924583435,1.5578422546386719,0.5688467621803284
12,1.537179,2.2945135,"('sympathetic', 'unsympathetic')",-0.90358996,-0.59579074,0.3167945146560669,0.8493613600730896,0.5325668454170227
1,-1.5309684,-1.955483,"('friendly', 'unfriendly')",-0.53653574,-0.63426316,-1.0337520837783813,-1.2948729991912842,-0.26112091541290283
95,-1.4965907,-1.3804079,"('rich', 'poor')",-4.6320577,-4.5655527,-3.064324140548706,-2.972980260848999,0.09134387969970703
32,-1.4889402,-1.5322365,"('benevolent', 'hardhearted')",-1.5729995,-1.4810867,-1.5309698581695557,-1.5066616535186768,0.024308204650878906
93,1.4436921,2.2540803,"('dominating', 'dominated')",-0.5863917,-0.311658,0.4286502003669739,0.9712111353874207,0.5425609350204468
107,1.4318354,1.7338479,"('conventional', 'modern')",0.6403492,0.86627275,1.0360922813415527,1.3000602722167969,0.26396799087524414
109,1.3949919,2.29892,"('conservative', 'liberal')",0.6836374,0.82563806,1.0393146276474,1.5622789859771729,0.522964358329773
108,1.3949919,2.29892,"('conservative', 'liberal')",0.6836374,0.82563806,1.0393146276474,1.5622789859771729,0.522964358329773
5,1.3586527,1.7375877,"('pleasant', 'repellent')",0.32379514,0.5808607,0.841223955154419,1.1592241525650024,0.3180001974105835
105,-1.358234,-1.480908,"('conventional', 'modern')",0.05521038,-0.092411384,-0.6515118479728699,-0.7866597175598145,-0.13514786958694458
27,-1.3411279,-0.8700395,"('sincere', 'insincere')",-4.421832,-4.3276243,-2.8814799785614014,-2.59883189201355,0.28264808654785156
2,1.2858461,2.304129,"('friendly', 'unfriendly')",-0.9924786,-0.48780292,0.14668375253677368,0.9081629514694214,0.7614791989326477
73,1.2819142,1.7019821,"('brilliant', 'incompetent')",-1.221715,-1.1316345,0.03009963035583496,0.28517383337020874,0.2550742030143738
51,1.239903,1.6025072,"('competent', 'incompetent')",-0.44690946,-0.2348916,0.3964967727661133,0.6838078498840332,0.2873110771179199
42,-1.1676785,-1.9272532,"('amicable', 'hostile')",1.3377258,1.2068852,0.08502364158630371,-0.3601840138435364,-0.4452076554298401
29,-1.1642978,-0.76416945,"('honest', 'immoral')",-0.51527226,-0.39973247,-0.8397850394248962,-0.5819509625434875,0.2578340768814087
97,-1.114345,-1.3789687,"('superior', 'inferior')",-1.0809956,-1.1118991,-1.097670316696167,-1.2454339265823364,-0.14776360988616943
6,1.1134945,0.7257185,"('liked', 'disliked')",4.2371697,4.2658176,2.6753320693969727,2.4957680702209473,-0.1795639991760254
103,1.1128885,1.6062514,"('traditional', 'modern')",1.6994187,1.8975506,1.4061535596847534,1.7519009113311768,0.34574735164642334
