,celgene_male,celgene_female,tuple,average_male,average_female,female-male
109,3.1810474,2.790961,"('conservative', 'liberal')",3.1810474395751953,2.7909610271453857,-0.39008641242980957
108,3.1810474,2.790961,"('conservative', 'liberal')",3.1810474395751953,2.7909610271453857,-0.39008641242980957
94,2.883234,2.8726435,"('aggressive', 'submissive')",2.8832340240478516,2.87264347076416,-0.010590553283691406
71,2.6460807,2.4368348,"('efficient', 'inefficient')",2.646080732345581,2.4368348121643066,-0.20924592018127441
107,2.4970055,2.4610496,"('conventional', 'modern')",2.4970054626464844,2.4610495567321777,-0.03595590591430664
41,-2.364583,-2.288328,"('incorrupt', 'corrupt')",-2.3645830154418945,-2.288327932357788,0.07625508308410645
25,2.3592668,2.0145783,"('moral', 'immoral')",2.359266757965088,2.014578342437744,-0.34468841552734375
15,2.265374,2.2999427,"('polite', 'impolite')",2.265373945236206,2.2999427318573,0.03456878662109375
99,-2.248652,-2.0517955,"('prestigious', 'insignificant')",-2.2486519813537598,-2.051795482635498,0.19685649871826172
42,-2.2248259,-1.8684543,"('amicable', 'hostile')",-2.224825859069824,-1.8684543371200562,0.35637152194976807
2,2.111811,2.2816343,"('friendly', 'unfriendly')",2.1118109226226807,2.2816343307495117,0.16982340812683105
12,2.0504863,2.3937678,"('sympathetic', 'unsympathetic')",2.0504863262176514,2.393767833709717,0.34328150749206543
90,1.9630759,1.8960733,"('motivated', 'unmotivated')",1.963075876235962,1.896073341369629,-0.06700253486633301
81,-1.9056678,-2.056131,"('industrious', 'lazy')",-1.905667781829834,-2.056130886077881,-0.15046310424804688
103,1.8660282,1.852758,"('traditional', 'modern')",1.8660281896591187,1.8527580499649048,-0.013270139694213867
16,1.8654417,1.8732127,"('social', 'antisocial')",1.8654416799545288,1.8732126951217651,0.007771015167236328
5,1.8453786,1.5204883,"('pleasant', 'repellent')",1.8453786373138428,1.5204882621765137,-0.3248903751373291
8,-1.7702419,-1.5983775,"('open', 'distant')",-1.7702418565750122,-1.5983774662017822,0.17186439037322998
60,1.7413652,1.6158426,"('educated', 'uneducated')",1.7413651943206787,1.615842580795288,-0.12552261352539062
75,1.6971769,1.7562969,"('confident', 'shy')",1.6971769332885742,1.7562968730926514,0.05911993980407715
104,-1.6840575,-1.413308,"('conventional', 'unconventional')",-1.6840574741363525,-1.413308024406433,0.27074944972991943
1,-1.683997,-1.3035164,"('friendly', 'unfriendly')",-1.6839970350265503,-1.3035163879394531,0.38048064708709717
76,1.6434605,1.6279039,"('secure', 'insecure')",1.6434605121612549,1.627903938293457,-0.015556573867797852
31,-1.6110525,-1.6786578,"('altruistic', 'egoistic')",-1.6110525131225586,-1.6786577701568604,-0.06760525703430176
20,-1.6108675,-1.5417604,"('popular', 'unpopular')",-1.6108675003051758,-1.5417604446411133,0.0691070556640625
98,-1.5045465,-1.387372,"('prestigious', 'insignificant')",-1.5045465230941772,-1.3873720169067383,0.11717450618743896
64,1.4885156,1.5178127,"('clever', 'incompetent')",1.4885156154632568,1.517812728881836,0.0292971134185791
89,1.4804467,1.299875,"('daring', 'anxious')",1.480446696281433,1.299875020980835,-0.18057167530059814
37,-1.4621793,-1.5396618,"('good', 'evil')",-1.4621793031692505,-1.5396617650985718,-0.07748246192932129
73,1.4505901,1.3730396,"('brilliant', 'incompetent')",1.4505901336669922,1.3730396032333374,-0.07755053043365479
52,1.4268045,1.556659,"('competitive', 'uncompetitive')",1.426804542541504,1.5566589832305908,0.12985444068908691
0,1.3751271,1.6160493,"('sociable', 'unsociable')",1.3751270771026611,1.6160492897033691,0.240922212600708
19,-1.3641739,-1.0878096,"('funny', 'boring')",-1.3641738891601562,-1.0878095626831055,0.2763643264770508
7,-1.3590318,-1.1788411,"('outgoing', 'distant')",-1.3590317964553833,-1.1788411140441895,0.18019068241119385
82,-1.3304232,-1.4526162,"('industrious', 'meek')",-1.3304232358932495,-1.4526162147521973,-0.12219297885894775
39,-1.3097342,-1.0613043,"('right', 'wrong')",-1.3097342252731323,-1.0613043308258057,0.24842989444732666
69,-1.2982676,-1.228512,"('wise', 'foolish')",-1.2982676029205322,-1.2285120487213135,0.06975555419921875
6,-1.2858164,-0.911847,"('liked', 'disliked')",-1.2858164310455322,-0.9118469953536987,0.3739694356918335
10,-1.2412903,-0.8811819,"('affectionate', 'unaffectionate')",-1.2412903308868408,-0.8811818957328796,0.3601084351539612
61,-1.2243913,-0.92903733,"('rational', 'irrational')",-1.2243913412094116,-0.92903733253479,0.2953540086746216
68,-1.1871858,-0.9384297,"('clever', 'inept')",-1.1871857643127441,-0.9384297132492065,0.2487560510635376
32,-1.1735455,-0.98412555,"('benevolent', 'hardhearted')",-1.173545479774475,-0.984125554561615,0.1894199252128601
36,1.1698982,1.1601299,"('tolerant', 'intolerant')",1.1698981523513794,1.1601299047470093,-0.009768247604370117
83,1.1032064,1.1955196,"('energetic', 'lethargic')",1.1032063961029053,1.1955195665359497,0.09231317043304443
49,1.0711107,1.0994031,"('responsible', 'irresponsible')",1.071110725402832,1.0994031429290771,0.028292417526245117
88,-1.0700561,-0.6496005,"('impulsive', 'meek')",-1.0700560808181763,-0.6496005058288574,0.42045557498931885
84,-1.0395945,-0.95164704,"('self-confident', 'diffident')",-1.0395945310592651,-0.9516470432281494,0.08794748783111572
13,1.0298635,1.0973508,"('helpful', 'unhelpful')",1.0298634767532349,1.097350835800171,0.06748735904693604
67,-0.96678597,-0.663672,"('discriminating', 'undiscriminating')",-0.9667859673500061,-0.6636719703674316,0.30311399698257446
22,0.95899194,0.85900915,"('welcoming', 'disagreeable')",0.9589919447898865,0.8590091466903687,-0.09998279809951782
