,lyondellbasell_male,lyondellbasell_female,tuple,industries_male,industries_female,n_male,n_female,v_male,v_female,average_male,average_female,female-male
75,1.8722355,1.8395293,"('confident', 'shy')",5.4495916,5.5067234,6.49354,6.315895,5.717277,5.7592,4.8831610679626465,4.855337142944336,-0.027823925018310547
109,1.5978873,1.5704052,"('conservative', 'liberal')",0.5828585,0.50316346,0.5714135,0.7224387,-0.24535152,0.051116556,0.6267019510269165,0.7117810249328613,0.08507907390594482
108,1.5978873,1.5704052,"('conservative', 'liberal')",0.5828585,0.50316346,0.5714135,0.7224387,-0.24535152,0.051116556,0.6267019510269165,0.7117810249328613,0.08507907390594482
107,1.4367166,1.5782037,"('conventional', 'modern')",0.41751614,0.35230395,-0.28328317,-0.30257583,-0.5122167,-0.38529763,0.26468321681022644,0.3106585443019867,0.045975327491760254
2,1.3992295,1.3274428,"('friendly', 'unfriendly')",-0.7152992,-0.8390628,-0.41891333,-0.22815096,-1.4386271,-0.8737278,-0.2934025228023529,-0.15337470173835754,0.14002782106399536
94,1.3651444,1.3519884,"('aggressive', 'submissive')",-0.667416,-0.68367505,1.2420604,1.0042392,-0.1642608,0.3187871,0.4438819885253906,0.4978349208831787,0.053952932357788086
103,1.3591055,1.3803144,"('traditional', 'modern')",1.6303713,1.6730478,0.19083337,0.3384595,-0.14775729,-0.24452393,0.7581381797790527,0.7868244051933289,0.028686225414276123
27,-1.3451234,-1.3155898,"('sincere', 'insincere')",-6.1141653,-6.1939087,-4.8499517,-4.7563567,-5.254664,-5.0527673,-4.3909759521484375,-4.329655647277832,0.06132030487060547
76,1.3321453,1.1280607,"('secure', 'insecure')",0.85627806,0.5500758,0.27645972,0.16707093,-0.7890254,-0.48616466,0.4189644157886505,0.3397606909275055,-0.07920372486114502
95,-1.3258477,-1.3634118,"('rich', 'poor')",-5.904777,-5.936,-4.800147,-4.837388,-5.1153116,-5.3559985,-4.286520957946777,-4.373199462890625,-0.08667850494384766
53,-1.3077202,-1.4321039,"('smart', 'stupid')",-4.3797617,-4.6491446,-4.2956867,-4.2566066,-3.9655547,-3.7786803,-3.487180709838867,-3.5291337966918945,-0.041953086853027344
1,-1.2674905,-1.0688045,"('friendly', 'unfriendly')",-1.252713,-1.0838089,-1.9972066,-1.6626236,-1.2242303,-1.2347211,-1.4354101419448853,-1.2624895572662354,0.1729205846786499
6,1.2571784,1.3818312,"('liked', 'disliked')",5.2117295,5.4084234,5.4350767,5.3671246,5.655618,5.496934,4.3899006843566895,4.413578033447266,0.023677349090576172
69,-1.2391264,-1.2429657,"('wise', 'foolish')",-0.0021454096,0.1698608,-0.5389605,-0.5332725,-0.2178028,-0.1831592,-0.499508798122406,-0.44738414883613586,0.05212464928627014
16,1.2123648,1.007406,"('social', 'antisocial')",-0.9049672,-0.85475916,0.28526917,0.34129095,-0.5720494,-0.13762501,0.005154341459274292,0.08907819539308548,0.08392385393381119
15,1.2038965,1.2310021,"('polite', 'impolite')",-0.05272521,0.09702556,1.1088549,1.2142751,0.579852,0.9359074,0.7099695205688477,0.869552493095398,0.1595829725265503
41,-1.1418583,-1.0335089,"('incorrupt', 'corrupt')",1.5355406,1.8410857,1.1003506,1.3956065,1.5644494,1.3750994,0.7646205425262451,0.8945706486701965,0.12995010614395142
0,1.1404343,1.1990347,"('sociable', 'unsociable')",-0.8576757,-0.61358196,-0.7432878,-0.2869783,-1.0891864,-0.51961267,-0.3874289095401764,-0.05528455972671509,0.3321443498134613
93,1.1290771,1.0108564,"('dominating', 'dominated')",-0.29992002,-0.3389766,0.80891514,0.7223979,-0.50432754,-0.16105822,0.2834361791610718,0.30830487608909607,0.024868696928024292
71,1.1224048,0.9662449,"('efficient', 'inefficient')",-1.3953793,-1.7851295,0.005706072,-0.17421842,-1.145629,-0.9266069,-0.35322436690330505,-0.4799274802207947,-0.12670311331748962
40,-1.12113,-1.2041633,"('honorable', 'mean')",-4.9742317,-5.449584,-4.5722113,-4.54722,-3.8775995,-4.0747375,-3.6362931728363037,-3.8189263343811035,-0.1826331615447998
81,-1.0753318,-1.0878533,"('industrious', 'lazy')",1.0633814,1.2536756,1.2011476,1.2916951,2.0377383,1.8462074,0.8067338466644287,0.825931191444397,0.01919734477996826
12,1.029528,1.0113966,"('sympathetic', 'unsympathetic')",-1.3308295,-1.3874362,-1.0334408,-0.88991195,-1.6947165,-1.3205626,-0.7573646903038025,-0.6466284990310669,0.1107361912727356
52,1.0196099,0.93118685,"('competitive', 'uncompetitive')",-1.150903,-1.1748133,-0.1466785,0.040014148,-0.6481772,-0.45377475,-0.23153719305992126,-0.16434675455093384,0.06719043850898743
82,-1.0004399,-0.9445075,"('industrious', 'meek')",-0.48672792,-0.07955508,0.1582329,0.21645918,1.2709378,1.2845821,-0.014499276876449585,0.11924469470977783,0.13374397158622742
39,-0.99886394,-0.8613483,"('right', 'wrong')",0.036437243,0.39706498,-0.19673279,0.022598028,0.4178436,0.44948432,-0.18532896041870117,0.0019497647881507874,0.18727872520685196
99,-0.9803796,-0.77946925,"('prestigious', 'insignificant')",-0.038632035,0.24843529,-0.91706413,-0.7277379,-0.20620549,-0.5260147,-0.5355702638626099,-0.44619664549827576,0.0893736183643341
