,c_male,c_female,tuple,d_male,d_female,w_male,w_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,7.0056243,6.856675,"('confident', 'shy')",5.1204915,5.1535187,5.866561,6.091579,6.66473,6.5372887,4.247345,4.725128,5.7809501647949215,5.872837829589844,0.09188766479492205
95,-5.479868,-5.6191688,"('rich', 'poor')",-4.822076,-5.0769134,-4.553313,-4.7943983,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.731403732299805,-4.952329635620117,-0.22092590332031214
6,5.383968,5.969698,"('liked', 'disliked')",4.9519577,4.8808174,5.920041,6.0319557,6.684802,6.6123395,3.2574773,3.5818095,5.2396492004394535,5.415324020385742,0.17567481994628853
40,-4.940078,-5.010788,"('honorable', 'mean')",-3.4900103,-3.813635,-4.2161026,-4.497598,-5.858739,-5.9650583,-2.9068136,-3.3330858,-4.2823486328125,-4.524032974243164,-0.24168434143066442
27,-4.7517776,-5.1137066,"('sincere', 'insincere')",-4.719997,-4.731942,-5.6196775,-5.6840134,-6.6364894,-6.431673,-4.0693674,-4.2187166,-5.159461975097656,-5.236009979248047,-0.07654800415039098
53,-4.4754753,-4.5984755,"('smart', 'stupid')",-3.8829598,-3.9065392,-3.7097201,-3.7435164,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.974660110473633,-3.957590103149414,0.017070007324218928
86,3.3260617,3.5815513,"('self-reliant', 'helpless')",2.2429166,2.11827,3.3378463,3.3990269,2.751844,2.6451762,1.5905108,1.749958,2.649835968017578,2.6987964630126955,0.048960494995117454
48,2.6342964,2.4865189,"('reliable', 'unreliable')",1.972025,1.9653144,2.239856,2.251248,2.681928,2.5936308,1.1541629,1.1235613,2.136453628540039,2.0840545654296876,-0.052399063110351474
33,-2.417898,-2.2093263,"('softhearted', 'hardhearted')",-1.0057857,-1.0802929,-1.7734118,-1.5530552,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-1.37042293548584,-1.292308235168457,0.07811470031738299
50,2.399356,2.6354666,"('unprejudiced', 'prejudiced')",2.2809167,2.1754014,1.9564115,1.7549896,2.2759738,2.2260273,1.2686491,1.0383911,2.0362613677978514,1.9660552978515624,-0.07020606994628897
1,-2.3322873,-1.8175201,"('friendly', 'unfriendly')",-0.78371555,-0.6490979,-1.9883604,-1.7408183,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.287743377685547,-1.0423360824584962,0.24540729522705074
66,2.1226792,2.0995133,"('imaginative', 'unimaginative')",1.452096,1.4985304,1.5917971,1.8719184,3.0494213,3.0358052,0.34587073,0.7209271,1.7123729705810546,1.845339012145996,0.1329660415649414
34,-1.9675052,-1.9153135,"('loyal', 'disloyal')",-1.3779712,-1.072719,-1.5136678,-1.33072,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.611375617980957,-1.408390426635742,0.20298519134521498
