,cigna_male,cigna_female,tuple,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,2.1716568,1.5613732,"('confident', 'shy')",6.66473,6.5372887,4.247345,4.725128,4.361243883768718,4.274596532185872,-0.08664735158284564
94,2.0530832,1.5193447,"('aggressive', 'submissive')",-0.09218556,-0.26384047,-0.6174553,-0.32319823,0.447814146677653,0.31076868375142414,-0.13704546292622888
97,-1.8822615,-1.2091902,"('superior', 'inferior')",-1.0777923,-1.0853717,-0.99121296,-0.8188501,-1.3170889218648274,-1.0378039677937825,0.2792849540710449
71,1.7749447,0.8879352,"('efficient', 'inefficient')",-1.1294833,-1.2358482,-1.2771156,-1.4559102,-0.21055142084757486,-0.6012744108835856,-0.39072299003601074
15,1.7614751,1.4857476,"('polite', 'impolite')",0.51423466,0.6083,-0.60293305,-0.018667951,0.5575921932856241,0.6917932033538818,0.1342010100682577
16,1.6654289,0.6496913,"('social', 'antisocial')",-0.3652128,-0.106381685,-0.8021402,-0.50254613,0.16602530082066855,0.013587812582651774,-0.15243748823801678
99,-1.5811644,-1.3971078,"('prestigious', 'insignificant')",0.29116943,0.51564914,0.7842057,0.64763576,-0.1685964266459147,-0.07794098059336345,0.09065544605255126
59,-1.5548,-1.1090865,"('skillful', 'clumsy')",0.07095654,0.19477667,1.3879981,1.4707971,-0.03194844722747803,0.18549573421478271,0.21744418144226074
42,-1.5122316,-0.7446841,"('amicable', 'hostile')",1.0745797,1.3420484,1.8091202,1.8213055,0.45715610186258954,0.8062232335408529,0.34906713167826336
19,-1.4879605,-1.3376529,"('funny', 'boring')",0.41201538,0.5815117,-0.057115197,0.104435325,-0.3776867787043254,-0.21723530689875284,0.16045147180557254
69,-1.3559633,-1.0528641,"('wise', 'foolish')",0.44740218,0.6480955,0.5438058,0.65526724,-0.12158513069152832,0.08349955081939697,0.2050846815109253
88,-1.348742,-1.1185385,"('impulsive', 'meek')",1.447821,1.2792021,1.563556,1.8192687,0.5542116562525431,0.6599774360656738,0.10576577981313073
109,1.3485358,0.9888068,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,0.020656585693359375,-0.1439764698346456,-0.16463305552800497
108,1.3485358,0.9888068,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,0.020656585693359375,-0.1439764698346456,-0.16463305552800497
103,1.2618333,1.2924119,"('traditional', 'modern')",0.6515223,0.51988685,0.68126935,0.61791956,0.8648749987284342,0.8100727399190267,-0.05480225880940748
31,-1.2342166,-1.0166099,"('altruistic', 'egoistic')",-0.277474,-0.047681987,0.63122517,0.40067068,-0.2934884826342265,-0.22120710213979086,0.07228138049443564
98,-1.2025108,-1.0484116,"('prestigious', 'insignificant')",-0.5078856,-0.44825798,0.27524158,0.15429056,-0.4783849318822225,-0.4474596579869588,0.030925273895263672
67,-1.1890738,-1.1421689,"('discriminating', 'undiscriminating')",-0.98974335,-0.78308094,0.70384866,0.7983501,-0.49165622393290204,-0.37563323974609375,0.11602298418680829
20,-1.1854014,-0.6625195,"('popular', 'unpopular')",-0.1849665,-0.17244402,1.8974743,1.6604376,0.17570209503173828,0.27515800793965656,0.09945591290791828
