,yum_male,yum_female,tuple,brands_male,brands_female,average_male,average_female,female-male
75,3.6287832,3.4626796,"('confident', 'shy')",7.1034117,7.0223446,5.366097450256348,5.242512226104736,-0.12358522415161133
27,-2.593284,-2.2987418,"('sincere', 'insincere')",-6.811324,-6.685583,-4.702303886413574,-4.492162704467773,0.21014118194580078
6,2.1391172,1.8191209,"('liked', 'disliked')",6.4010105,6.286419,4.270063877105713,4.052769660949707,-0.21729421615600586
95,-1.9722705,-1.8551681,"('rich', 'poor')",-5.9212017,-6.0021,-3.9467360973358154,-3.9286341667175293,0.018101930618286133
77,1.8450735,1.7585123,"('active', 'inactive')",0.21257743,0.20313832,1.0288254022598267,0.9808253049850464,-0.04800009727478027
37,1.7228382,1.5005585,"('good', 'evil')",2.054334,1.8022245,1.8885860443115234,1.6513915061950684,-0.23719453811645508
46,1.7179042,1.7203348,"('generous', 'stingy')",1.8724949,1.8934252,1.7951996326446533,1.806879997253418,0.011680364608764648
66,1.6804612,1.6434244,"('imaginative', 'unimaginative')",2.6981292,2.6370654,2.1892952919006348,2.140244960784912,-0.049050331115722656
40,-1.6642036,-1.7658296,"('honorable', 'mean')",-5.11429,-5.459429,-3.389246940612793,-3.6126291751861572,-0.22338223457336426
53,-1.652163,-1.4611261,"('smart', 'stupid')",-4.9792485,-5.1134605,-3.3157057762145996,-3.2872934341430664,0.028412342071533203
56,1.6464214,1.5764163,"('intelligent', 'dumb')",1.0626276,0.9946784,1.3545244932174683,1.2855472564697266,-0.0689772367477417
38,-1.3853729,-1.185413,"('kind', 'unkind')",-2.067081,-1.840206,-1.7262269258499146,-1.5128095149993896,0.2134174108505249
65,-1.3460364,-1.3583689,"('practical', 'impractical')",-1.1058087,-1.078631,-1.2259225845336914,-1.2184998989105225,0.007422685623168945
88,1.3369343,1.1865522,"('impulsive', 'meek')",1.2984375,1.1836932,1.317685842514038,1.1851227283477783,-0.13256311416625977
64,-1.2766896,-1.0630629,"('clever', 'incompetent')",-0.9059556,-0.8795094,-1.091322660446167,-0.9712861776351929,0.12003648281097412
70,1.2235343,0.9596782,"('wise', 'unwise')",0.6714643,0.6634088,0.9474993348121643,0.8115434646606445,-0.13595587015151978
74,-1.1545012,-1.2066954,"('insightful', 'unperceptive')",-1.0899773,-1.5052136,-1.1222392320632935,-1.3559545278549194,-0.23371529579162598
29,-1.1459074,-0.97082055,"('honest', 'immoral')",-1.2569898,-1.2911563,-1.201448678970337,-1.130988359451294,0.07046031951904297
3,1.1081293,0.9086076,"('likable', 'unlikable')",1.7352214,1.5954614,1.4216753244400024,1.2520344257354736,-0.1696408987045288
50,1.0757354,0.9498881,"('unprejudiced', 'prejudiced')",1.871146,1.6671021,1.4734406471252441,1.308495044708252,-0.1649456024169922
33,-1.0267688,-1.0280277,"('softhearted', 'hardhearted')",-1.6031294,-1.4725528,-1.3149490356445312,-1.2502901554107666,0.06465888023376465
73,-1.0244181,-1.1886177,"('brilliant', 'incompetent')",-0.9730207,-1.1322204,-0.9987193942070007,-1.16041898727417,-0.1616995930671692
28,-0.94488704,-0.73486686,"('honest', 'dishonest')",-1.877771,-1.699816,-1.4113290309906006,-1.217341423034668,0.19398760795593262
24,-0.9372363,-0.9682044,"('thoughtful', 'rough')",-1.2588966,-1.2555156,-1.0980664491653442,-1.1118600368499756,-0.013793587684631348
42,0.9184054,0.75078404,"('amicable', 'hostile')",0.7271538,0.77348936,0.8227795958518982,0.762136697769165,-0.060642898082733154
87,-0.91766167,-0.83120924,"('dedicated', 'undedicated')",-1.4560244,-1.339778,-1.1868430376052856,-1.085493564605713,0.10134947299957275
36,-0.91184634,-0.6678345,"('tolerant', 'intolerant')",-1.1300046,-1.1636031,-1.020925521850586,-0.9157187938690186,0.10520672798156738
61,0.86900854,0.6871102,"('rational', 'irrational')",0.4428974,0.6992283,0.6559529900550842,0.6931692361831665,0.037216246128082275
109,-0.8612327,-0.76466244,"('conservative', 'liberal')",0.69668734,0.5344842,-0.08227267861366272,-0.11508911848068237,-0.03281643986701965
108,-0.8612327,-0.76466244,"('conservative', 'liberal')",0.69668734,0.5344842,-0.08227267861366272,-0.11508911848068237,-0.03281643986701965
45,-0.8496738,-0.91492325,"('cooperative', 'exploitative')",-0.43129134,-0.3694068,-0.6404825448989868,-0.6421650052070618,-0.0016824603080749512
1,-0.8476011,-0.885432,"('friendly', 'unfriendly')",-1.6853282,-1.6863722,-1.2664647102355957,-1.2859020233154297,-0.019437313079833984
16,0.84658855,1.0676963,"('social', 'antisocial')",0.3954144,0.48089787,0.6210014820098877,0.7742971181869507,0.153295636177063
92,0.83527446,0.4902558,"('unwavering', 'wavering')",0.023409039,-0.17221849,0.42934173345565796,0.15901866555213928,-0.2703230679035187
19,-0.83089274,-0.80326664,"('funny', 'boring')",0.039273858,-0.075547755,-0.39580944180488586,-0.43940719962120056,-0.0435977578163147
71,-0.8287202,-0.78690517,"('efficient', 'inefficient')",-0.7052022,-0.9471908,-0.7669612169265747,-0.8670480251312256,-0.10008680820465088
49,-0.8208749,-0.79535747,"('responsible', 'irresponsible')",-1.5336701,-1.8523724,-1.1772725582122803,-1.3238649368286133,-0.146592378616333
13,-0.8016389,-0.6957253,"('helpful', 'unhelpful')",-2.7866843,-2.7949538,-1.7941615581512451,-1.7453396320343018,0.04882192611694336
85,0.7838872,0.8457851,"('ambitious', 'unambitious')",-0.1612534,-0.051787317,0.31131690740585327,0.39699888229370117,0.0856819748878479
14,0.7592628,0.5997769,"('supportive', 'unsupportive')",0.80641186,0.63992786,0.7828373312950134,0.6198524236679077,-0.1629849076271057
41,0.7475147,0.5327598,"('incorrupt', 'corrupt')",1.1654556,1.2876594,0.9564851522445679,0.910209596157074,-0.046275556087493896
