,eastman_male,eastman_female,tuple,kodak_male,kodak_female,average_male,average_female,female-male
75,3.9111557,3.9259558,"('confident', 'shy')",4.0756526,4.1286354,3.9934041500091553,4.0272955894470215,0.03389143943786621
32,-2.830122,-2.612143,"('benevolent', 'hardhearted')",-1.6771452,-1.6077737,-2.253633499145508,-2.1099584102630615,0.1436750888824463
1,-2.5066853,-2.3958101,"('friendly', 'unfriendly')",-1.4428561,-1.4293787,-1.9747706651687622,-1.9125944375991821,0.06217622756958008
27,-2.326076,-2.180529,"('sincere', 'insincere')",-1.5249879,-1.445209,-1.9255319833755493,-1.8128690719604492,0.1126629114151001
48,2.2614653,2.2718806,"('reliable', 'unreliable')",0.9494941,0.96928835,1.6054797172546387,1.620584487915039,0.01510477066040039
107,2.2492876,2.6370382,"('conventional', 'modern')",1.2331645,1.3009347,1.741226077079773,1.9689865112304688,0.2277604341506958
50,2.2137995,1.968819,"('unprejudiced', 'prejudiced')",1.3027009,1.1607708,1.7582502365112305,1.564794898033142,-0.19345533847808838
62,-2.1201093,-2.1346922,"('creative', 'uncreative')",-0.8123565,-0.92281604,-1.4662328958511353,-1.5287541151046753,-0.06252121925354004
56,2.034019,1.9538286,"('intelligent', 'dumb')",0.7500224,0.7884124,1.3920207023620605,1.3711204528808594,-0.020900249481201172
95,-1.8316139,-1.7422138,"('rich', 'poor')",-2.148765,-2.1933303,-1.990189552307129,-1.9677720069885254,0.022417545318603516
11,-1.8292599,-1.6117846,"('caring', 'unaffectionate')",-1.2111416,-1.192575,-1.5202007293701172,-1.4021797180175781,0.11802101135253906
53,-1.8112515,-1.7472239,"('smart', 'stupid')",-1.766442,-1.8944422,-1.788846731185913,-1.8208329677581787,-0.031986236572265625
99,-1.8109467,-2.0159426,"('prestigious', 'insignificant')",-2.3936837,-2.4721556,-2.1023151874542236,-2.244049072265625,-0.14173388481140137
40,-1.7876658,-1.8948328,"('honorable', 'mean')",-1.9390423,-2.2090895,-1.8633540868759155,-2.0519611835479736,-0.1886070966720581
86,1.7236497,1.7050164,"('self-reliant', 'helpless')",0.71974635,0.7331409,1.2216980457305908,1.2190786600112915,-0.0026193857192993164
6,1.6648767,1.679036,"('liked', 'disliked')",0.9860069,1.0488644,1.325441837310791,1.363950252532959,0.03850841522216797
42,-1.6276436,-1.732995,"('amicable', 'hostile')",-0.7230995,-0.77255416,-1.175371527671814,-1.2527745962142944,-0.07740306854248047
102,-1.5806718,-1.55094,"('eminent', 'low')",-1.666507,-1.4636095,-1.6235893964767456,-1.5072747468948364,0.11631464958190918
15,1.5048839,1.7553778,"('polite', 'impolite')",1.6288495,1.7462583,1.5668666362762451,1.7508180141448975,0.18395137786865234
39,-1.3970726,-1.2769303,"('right', 'wrong')",-0.7443094,-0.7834219,-1.0706909894943237,-1.0301761627197266,0.04051482677459717
100,-1.3914559,-1.1172832,"('influential', 'uninfluential')",-0.38818395,-0.15899545,-0.8898199200630188,-0.6381393671035767,0.25168055295944214
94,1.3848128,1.5388224,"('aggressive', 'submissive')",1.533206,1.769361,1.4590094089508057,1.654091715812683,0.19508230686187744
89,1.378495,1.4526913,"('daring', 'anxious')",0.80084705,0.7748791,1.089671015739441,1.1137852668762207,0.024114251136779785
3,1.3506124,1.349951,"('likable', 'unlikable')",1.2309561,1.0852019,1.290784239768982,1.217576503753662,-0.07320773601531982
76,1.3434916,1.4479746,"('secure', 'insecure')",1.821192,1.8404237,1.5823417901992798,1.6441991329193115,0.06185734272003174
71,1.3219138,1.4526079,"('efficient', 'inefficient')",1.6741288,1.6095709,1.4980213642120361,1.5310893058776855,0.033067941665649414
19,-1.3124197,-1.0612814,"('funny', 'boring')",-1.7798097,-1.7179081,-1.5461146831512451,-1.3895947933197021,0.15651988983154297
109,1.2463326,1.4677849,"('conservative', 'liberal')",1.4649935,1.6271094,1.3556630611419678,1.5474472045898438,0.19178414344787598
108,1.2463326,1.4677849,"('conservative', 'liberal')",1.4649935,1.6271094,1.3556630611419678,1.5474472045898438,0.19178414344787598
67,-1.1973084,-1.0941093,"('discriminating', 'undiscriminating')",-1.2487503,-1.207231,-1.223029375076294,-1.1506701707839966,0.07235920429229736
46,-1.161602,-1.1637732,"('generous', 'stingy')",0.42987233,0.5777038,-0.3658648431301117,-0.29303470253944397,0.07283014059066772
78,1.1524737,1.0337917,"('active', 'inactive')",0.8512608,0.64300424,1.0018672943115234,0.8383979797363281,-0.1634693145751953
52,1.1108778,1.350986,"('competitive', 'uncompetitive')",1.1612763,1.2237179,1.1360770463943481,1.2873519659042358,0.1512749195098877
25,1.0794219,1.2355387,"('moral', 'immoral')",1.3212332,1.3194435,1.2003275156021118,1.2774910926818848,0.07716357707977295
87,-1.0585847,-0.95745045,"('dedicated', 'undedicated')",-0.05019343,-0.109425575,-0.5543890595436096,-0.5334380269050598,0.020951032638549805
81,-1.047943,-1.2862271,"('industrious', 'lazy')",-1.2164593,-1.4472724,-1.1322011947631836,-1.3667497634887695,-0.23454856872558594
10,-1.0408996,-0.79587096,"('affectionate', 'unaffectionate')",-1.2603843,-1.2036965,-1.150641918182373,-0.9997837543487549,0.15085816383361816
16,1.0224283,1.2266182,"('social', 'antisocial')",1.3234941,1.5547765,1.1729612350463867,1.3906973600387573,0.2177361249923706
49,1.0002128,1.0253698,"('responsible', 'irresponsible')",1.0101372,0.9176252,1.005174994468689,0.9714974761009216,-0.033677518367767334
68,-0.9548348,-1.0449588,"('clever', 'inept')",-0.46942744,-0.5649321,-0.712131142616272,-0.8049454689025879,-0.09281432628631592
22,-0.9441669,-0.9717822,"('welcoming', 'disagreeable')",-0.11438772,-0.09095687,-0.5292773246765137,-0.5313695669174194,-0.0020922422409057617
104,-0.9303584,-1.0528349,"('conventional', 'unconventional')",-0.7230628,-0.530053,-0.82671058177948,-0.791443943977356,0.03526663780212402
98,-0.9226178,-1.0684583,"('prestigious', 'insignificant')",-1.5150906,-1.6310551,-1.2188541889190674,-1.3497567176818848,-0.13090252876281738
24,-0.884445,-0.9570411,"('thoughtful', 'rough')",0.43466184,0.3902458,-0.22489158809185028,-0.2833976447582245,-0.05850605666637421
110,0.8805212,0.7047733,"('narrow-minded', 'open-minded')",0.11348836,0.025949553,0.49700477719306946,0.36536142230033875,-0.1316433548927307
8,-0.86949825,-1.0284016,"('open', 'distant')",-0.35027552,-0.4771756,-0.609886884689331,-0.7527886033058167,-0.1429017186164856
83,0.85841143,0.9291607,"('energetic', 'lethargic')",1.1499261,1.213244,1.0041687488555908,1.071202278137207,0.06703352928161621
7,-0.8094583,-0.8315077,"('outgoing', 'distant')",-0.26491076,-0.37396353,-0.5371845364570618,-0.6027356386184692,-0.06555110216140747
97,-0.80413854,-0.8112483,"('superior', 'inferior')",-0.8128645,-0.693684,-0.8085014820098877,-0.7524661421775818,0.05603533983230591
5,0.7984344,0.68069685,"('pleasant', 'repellent')",1.1661069,1.1376207,0.9822706580162048,0.9091587662696838,-0.073111891746521
30,0.7904707,0.8516216,"('honest', 'dishonest')",0.54717994,0.62854457,0.6688253283500671,0.7400830984115601,0.07125777006149292
69,-0.78275174,-0.8524382,"('wise', 'foolish')",-1.0985776,-1.173705,-0.9406646490097046,-1.0130715370178223,-0.07240688800811768
65,0.7558684,0.8898893,"('practical', 'impractical')",0.4672054,0.5258448,0.6115368604660034,0.7078670263290405,0.09633016586303711
47,-0.7501981,-0.7735661,"('forgiving', 'unforgiving')",0.22867909,0.4055649,-0.26075953245162964,-0.18400061130523682,0.07675892114639282
63,-0.7350379,-0.7459303,"('capable', 'incapable')",-0.98912084,-1.0183581,-0.862079381942749,-0.8821442127227783,-0.020064830780029297
4,-0.73431563,-0.6905203,"('likable', 'unlikable')",-0.88915265,-1.0353171,-0.811734139919281,-0.8629186749458313,-0.05118453502655029
33,-0.7280016,-0.6323483,"('softhearted', 'hardhearted')",0.036919534,0.09583604,-0.3455410301685333,-0.26825612783432007,0.07728490233421326
35,0.72707236,0.7427068,"('fair', 'unfair')",0.7611573,0.80699337,0.7441148161888123,0.774850070476532,0.030735254287719727
45,-0.72320354,-0.7434883,"('cooperative', 'exploitative')",0.705379,0.52974075,-0.008912265300750732,-0.1068737804889679,-0.09796151518821716
31,-0.7007241,-0.7848783,"('altruistic', 'egoistic')",-0.8338708,-0.8810071,-0.7672975063323975,-0.8329427242279053,-0.06564521789550781
84,-0.69410837,-0.607895,"('self-confident', 'diffident')",-0.11051342,-0.27960983,-0.40231090784072876,-0.4437524080276489,-0.041441500186920166
80,0.64531386,0.6627065,"('independent', 'dependent')",0.7842751,0.6887845,0.7147945165634155,0.6757454872131348,-0.03904902935028076
93,0.639073,0.72942394,"('dominating', 'dominated')",0.7779236,0.9232733,0.7084982991218567,0.8263486623764038,0.11785036325454712
51,0.63210565,0.62718,"('competent', 'incompetent')",1.217979,1.2279531,0.9250422716140747,0.9275665283203125,0.002524256706237793
17,0.60165405,0.78000516,"('social', 'antisocial')",0.43173075,0.6374928,0.5166923999786377,0.7087489366531372,0.1920565366744995
2,0.5972283,0.7806153,"('friendly', 'unfriendly')",1.3992643,1.5222262,0.9982463121414185,1.1514208316802979,0.1531745195388794
59,0.5745144,0.7001042,"('skillful', 'clumsy')",-0.75030005,-0.7685979,-0.08789283037185669,-0.034246861934661865,0.053645968437194824
90,0.54875535,0.40808338,"('motivated', 'unmotivated')",1.2953672,1.2672489,0.9220613241195679,0.8376661539077759,-0.08439517021179199
103,0.5394249,0.5932473,"('traditional', 'modern')",1.330254,1.319179,0.9348394274711609,0.9562131762504578,0.021373748779296875
91,-0.52917993,-0.38597867,"('resilient', 'nonresilient')",0.35247368,0.27718925,-0.08835312724113464,-0.05439470708370209,0.033958420157432556
34,-0.5164122,-0.20005432,"('loyal', 'disloyal')",-0.5358202,-0.29240325,-0.5261161923408508,-0.24622878432273865,0.2798874080181122
21,0.51638657,0.6165594,"('nice', 'nasty')",0.08244899,0.02084729,0.29941779375076294,0.3187033534049988,0.01928555965423584
61,-0.5149709,-0.5337207,"('rational', 'irrational')",-0.3759026,-0.3279632,-0.4454367458820343,-0.43084192276000977,0.014594823122024536
101,-0.49864423,-0.39260226,"('successful', 'unsuccessful')",-0.82346976,-0.9325713,-0.6610569953918457,-0.6625868082046509,-0.0015298128128051758
92,0.49447525,0.48330224,"('unwavering', 'wavering')",-0.6544015,-0.62082386,-0.07996311783790588,-0.06876081228256226,0.011202305555343628
57,-0.47870803,-0.47492403,"('able', 'unable')",0.1636922,0.00073233247,-0.15750791132450104,-0.23709584772586823,-0.07958793640136719
55,-0.46994483,-0.38456488,"('intelligent', 'unintelligent')",-0.050532103,-0.010924995,-0.2602384686470032,-0.1977449357509613,0.06249353289604187
64,0.46760786,0.6043514,"('clever', 'incompetent')",1.0918868,1.0534565,0.7797473073005676,0.8289039731025696,0.04915666580200195
82,-0.44804016,-0.61973405,"('industrious', 'meek')",-1.0767032,-1.1626971,-0.7623716592788696,-0.8912155628204346,-0.12884390354156494
12,0.4351589,0.48838666,"('sympathetic', 'unsympathetic')",1.0196292,1.1399574,0.7273941040039062,0.8141720294952393,0.08677792549133301
