,illinois_male,illinois_female,tuple,tool_male,tool_female,works_male,works_female,average_male,average_female,female-male
75,5.978183,6.067767,"('confident', 'shy')",6.826084,6.436363,0.78477335,0.652713,4.529680252075195,4.385614395141602,-0.14406585693359375
27,-4.2919297,-4.377125,"('sincere', 'insincere')",-6.493862,-6.455069,-2.0412765,-1.9790504,-4.275689442952474,-4.270414670308431,0.005274772644042969
40,-4.20105,-4.549114,"('honorable', 'mean')",-4.751914,-5.033896,-0.76444364,-0.64872116,-3.2391357421875,-3.410576820373535,-0.17144107818603516
53,-4.06109,-3.8836408,"('smart', 'stupid')",-4.699335,-4.797678,-0.8450173,-1.2059166,-3.201814333597819,-3.2957448959350586,-0.09393056233723973
95,-3.8103352,-3.953412,"('rich', 'poor')",-5.4047217,-5.1674657,-0.4444033,-0.2892705,-3.2198203404744468,-3.1367162068684897,0.08310413360595703
6,3.7853017,3.870349,"('liked', 'disliked')",5.949435,5.992485,-0.41856807,-0.43862852,3.1053899129231772,3.141401926676432,0.03601201375325491
86,2.4484107,2.44408,"('self-reliant', 'helpless')",3.2125046,3.0272553,0.21002573,-0.002760157,1.9569803873697917,1.822858492533366,-0.13412189483642578
3,1.9669356,1.9114071,"('likable', 'unlikable')",1.5111433,1.5848494,-0.9738882,-0.88292134,0.8347302277882894,0.8711117108662924,0.03638148307800293
50,1.9513144,1.6303754,"('unprejudiced', 'prejudiced')",2.069232,2.0367837,1.7346478,1.5721852,1.9183980623881023,1.746448040008545,-0.17195002237955737
58,-1.781487,-1.6999291,"('able', 'clumsy')",-1.7145908,-1.3898528,-0.91437805,-0.6535061,-1.4701519012451172,-1.2477626005808513,0.22238930066426588
48,1.7499511,1.6110055,"('reliable', 'unreliable')",3.0214434,3.0253148,-1.0372491,-1.1463976,1.2447152137756348,1.163307507832845,-0.08140770594278979
34,-1.7120321,-1.5070413,"('loyal', 'disloyal')",-1.9792528,-1.4444104,-1.1841655,-0.83670616,-1.6251500447591145,-1.2627193133036296,0.3624307314554849
66,1.645445,1.6417687,"('imaginative', 'unimaginative')",2.2180953,2.1075754,-1.2236085,-1.3722322,0.8799772262573242,0.7923706372578939,-0.0876065889994303
11,-1.5208751,-1.3373969,"('caring', 'unaffectionate')",-2.2473168,-2.3473334,-0.37377563,-0.8393873,-1.3806557655334473,-1.508039156595866,-0.1273833910624187
99,-1.5201287,-1.4167339,"('prestigious', 'insignificant')",-0.04137595,0.25230357,0.42411986,0.21931937,-0.37912829717000324,-0.31503697236378986,0.06409132480621338
32,-1.5105633,-1.298909,"('benevolent', 'hardhearted')",-1.1435752,-1.1313204,0.058933064,-0.11553644,-0.865068515141805,-0.8485885461171468,0.016479969024658203
33,-1.4790785,-1.4648342,"('softhearted', 'hardhearted')",-0.7402054,-0.61489487,0.7632415,0.40582073,-0.4853475093841553,-0.5579694509506226,-0.07262194156646729
104,-1.4697405,-1.3720567,"('conventional', 'unconventional')",-0.3544736,-0.2167983,1.1410036,1.5407715,-0.22773683071136475,-0.01602784792582194,0.21170898278554282
16,1.3815174,1.2978934,"('social', 'antisocial')",-0.31240803,-0.26819792,-0.9589168,-0.9424659,0.03673088550567627,0.029076536496480305,-0.007654349009195965
44,-1.232404,-1.1905768,"('truthful', 'untruthful')",-1.5842767,-1.5597838,-0.7828535,-1.1203876,-1.1998446782430012,-1.2902493476867676,-0.09040466944376635
13,-1.2142578,-1.0682039,"('helpful', 'unhelpful')",-3.6342437,-3.6319308,-2.7068236,-2.5271688,-2.518441836039225,-2.4091011683146157,0.10934066772460938
90,1.2118838,0.9559894,"('motivated', 'unmotivated')",0.5170305,0.23657453,-0.20733477,-0.12485675,0.5071931680043539,0.35590243339538574,-0.15129073460896814
94,1.2101724,1.1813312,"('aggressive', 'submissive')",-0.2142874,-0.32975638,-2.1820953,-1.1787535,-0.3954034248987834,-0.10905957221984863,0.28634385267893475
28,-1.2081125,-1.3379122,"('honest', 'dishonest')",-1.4168867,-1.5401822,-0.76257616,-0.9904232,-1.1291917165120442,-1.2895058790842693,-0.16031416257222508
29,-1.1612937,-1.4346707,"('honest', 'immoral')",-1.0308001,-1.2164371,-0.10147476,-0.26762035,-0.7645228703816732,-0.9729093710581461,-0.2083865006764729
52,1.1413499,1.202112,"('competitive', 'uncompetitive')",-0.26069364,-0.3420375,-1.6306983,-1.8546584,-0.2500140269597371,-0.3315279682477315,-0.08151394128799438
