,orion_male,orion_female,tuple,office_male,office_female,reit_male,reit_female,average_male,average_female,female-male
75,6.1029463,5.8941402,"('confident', 'shy')",3.2068884,3.5859141,2.5491168,2.5937324,3.952983856201172,4.024595896402995,0.07161204020182321
27,-4.5971584,-4.386162,"('sincere', 'insincere')",-4.1804523,-4.558359,-2.3909538,-2.471065,-3.7228549321492515,-3.8051954905192056,-0.08234055836995413
53,-3.8237119,-3.6971269,"('smart', 'stupid')",-3.3622375,-3.7673516,-1.6204169,-1.8260267,-2.935455322265625,-3.096835136413574,-0.16137981414794922
40,-3.791555,-3.98917,"('honorable', 'mean')",-3.4716158,-4.1982775,-1.584106,-1.7829598,-2.949092229207357,-3.3234691619873047,-0.37437693277994777
6,3.6540687,3.5100718,"('liked', 'disliked')",2.6578245,2.9389215,1.7424518,1.9547203,2.6847817103068032,2.8012377421061196,0.1164560317993164
95,-3.5801685,-3.5381424,"('rich', 'poor')",-3.3314903,-3.8748786,-1.5973499,-1.7979912,-2.836336135864258,-3.0703372955322266,-0.23400115966796875
11,-2.498418,-2.4613943,"('caring', 'unaffectionate')",-0.8935964,-1.0090088,0.20294353,0.29031858,-1.0630236466725667,-1.0600282351175945,0.0029954115549721827
86,2.4938354,2.2589617,"('self-reliant', 'helpless')",1.5130513,1.624242,0.46266925,0.51085794,1.489851951599121,1.46468718846639,-0.025164763132731194
50,2.4653034,2.2092714,"('unprejudiced', 'prejudiced')",1.38783,1.4093612,0.9820861,0.73092,1.6117397944132488,1.4498508771260579,-0.1618889172871909
48,2.2139773,2.1108942,"('reliable', 'unreliable')",0.66376925,0.9455695,0.20531249,0.13117377,1.027686357498169,1.0625458558400471,0.03485949834187818
62,-1.994639,-1.9203372,"('creative', 'uncreative')",-0.13294214,-0.21072923,0.91808057,0.85870874,-0.4031668504079183,-0.42411919434865314,-0.020952343940734863
32,-1.9774079,-1.676837,"('benevolent', 'hardhearted')",-0.7745092,-0.5904633,-1.0830381,-1.0783468,-1.2783184051513672,-1.1152156194051106,0.16310278574625658
13,-1.9008968,-1.8016177,"('helpful', 'unhelpful')",-3.379509,-3.589814,-0.90849006,-1.0180999,-2.0629653930664062,-2.1365105311075845,-0.07354513804117824
28,-1.8176038,-1.7124352,"('honest', 'dishonest')",-1.4233968,-1.4553887,-0.41394332,-0.41534305,-1.2183146476745605,-1.1943889458974202,0.023925701777140373
49,-1.7945048,-1.8799001,"('responsible', 'irresponsible')",-1.5139937,-1.6014258,-0.39790297,-0.5683673,-1.2354671160380046,-1.3498977025349934,-0.11443058649698878
10,-1.6843855,-1.4531052,"('affectionate', 'unaffectionate')",-0.41693228,-0.4121089,0.34729448,0.4723117,-0.5846744775772095,-0.46430079142252606,0.12037368615468341
