,fleetcor_male,fleetcor_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
75,4.17732,3.9198215,"('confident', 'shy')",4.972452,4.929523,4.574886322021484,4.4246721267700195,-0.15021419525146484
27,-3.0110254,-3.3648639,"('sincere', 'insincere')",-4.9725924,-4.7073727,-3.9918088912963867,-4.036118507385254,-0.04430961608886719
53,-3.0033576,-3.0271149,"('smart', 'stupid')",-3.9699922,-4.000032,-3.4866747856140137,-3.513573408126831,-0.026898622512817383
6,2.8826292,3.1214418,"('liked', 'disliked')",5.090419,5.0364676,3.9865241050720215,4.078954696655273,0.09243059158325195
95,-2.777107,-3.003921,"('rich', 'poor')",-4.3528156,-4.166434,-3.5649614334106445,-3.585177421569824,-0.020215988159179688
40,-2.7295568,-2.8568506,"('honorable', 'mean')",-4.2451315,-4.387929,-3.487344264984131,-3.622389793395996,-0.13504552841186523
33,-1.728998,-1.5543423,"('softhearted', 'hardhearted')",-0.5248198,-0.45623806,-1.1269088983535767,-1.005290150642395,0.12161874771118164
11,-1.6821318,-1.7552953,"('caring', 'unaffectionate')",-1.499338,-1.3456831,-1.5907349586486816,-1.5504891872406006,0.040245771408081055
109,1.5470569,1.2291117,"('conservative', 'liberal')",0.11194508,0.051690623,0.8295009732246399,0.6404011249542236,-0.18909984827041626
108,1.5470569,1.2291117,"('conservative', 'liberal')",0.11194508,0.051690623,0.8295009732246399,0.6404011249542236,-0.18909984827041626
10,-1.5406601,-1.5176543,"('affectionate', 'unaffectionate')",-0.25310054,-0.19144621,-0.8968803286552429,-0.8545502424240112,0.04233008623123169
1,-1.431531,-1.3630805,"('friendly', 'unfriendly')",-0.5343572,-0.42838103,-0.9829440712928772,-0.89573073387146,0.08721333742141724
32,-1.3840802,-1.1748226,"('benevolent', 'hardhearted')",-1.3606604,-1.286907,-1.3723702430725098,-1.2308647632598877,0.14150547981262207
103,1.3152828,1.0226779,"('traditional', 'modern')",1.0670519,1.2362148,1.1911673545837402,1.129446268081665,-0.061721086502075195
68,-1.2920005,-1.3937644,"('clever', 'inept')",-1.1615807,-1.1632806,-1.2267906665802002,-1.2785224914550781,-0.05173182487487793
48,1.2633189,0.96998554,"('reliable', 'unreliable')",2.7003837,2.5837681,1.98185133934021,1.7768768072128296,-0.20497453212738037
104,-1.2631874,-1.1261096,"('conventional', 'unconventional')",-0.12189022,0.25310433,-0.6925387978553772,-0.4365026354789734,0.2560361623764038
90,1.2456491,1.0030646,"('motivated', 'unmotivated')",0.1198954,0.07366204,0.6827722787857056,0.5383633375167847,-0.1444089412689209
78,1.2120558,1.116653,"('active', 'inactive')",2.2748482,2.09327,1.7434520721435547,1.6049615144729614,-0.13849055767059326
