,c_male,c_female,tuple,b_male,b_female,o_male,o_female,e_male,e_female,global_male,global_female,markets_male,markets_female,average_male,average_female,female-male
75,7.0056243,6.856675,"('confident', 'shy')",6.0460877,5.7316656,6.04797,6.106987,5.1080294,4.752075,5.901215,5.993469,5.602353,5.4527173,5.951879501342773,5.815598169962565,-0.13628133138020804
95,-5.479868,-5.6191688,"('rich', 'poor')",-5.706902,-5.5807667,-3.8157964,-4.123964,-4.43692,-4.3749332,-4.525,-4.623887,-4.096076,-4.44532,-4.676760355631511,-4.7946732838948565,-0.11791292826334576
6,5.383968,5.969698,"('liked', 'disliked')",5.466017,4.890277,4.380621,4.413682,4.8893785,4.6643515,5.1891727,5.062105,4.2894444,4.6356473,4.93310006459554,4.939293225606282,0.0061931610107421875
40,-4.940078,-5.010788,"('honorable', 'mean')",-4.142684,-3.9778955,-4.3691044,-4.4408293,-3.91751,-3.9190652,-4.854265,-4.976851,-4.53001,-4.87808,-4.45894209543864,-4.533918062845866,-0.07497596740722656
27,-4.7517776,-5.1137066,"('sincere', 'insincere')",-6.160915,-5.7590666,-4.5534263,-4.313797,-4.34554,-3.9135027,-6.1578646,-6.098837,-5.2403197,-5.44066,-5.201640764872233,-5.106595039367676,0.09504572550455759
53,-4.4754753,-4.5984755,"('smart', 'stupid')",-4.2117777,-3.9047155,-3.35249,-3.442326,-3.9427114,-3.753551,-3.8649583,-3.863454,-4.384417,-4.535425,-4.038638114929199,-4.016324679056804,0.022313435872395537
86,3.3260617,3.5815513,"('self-reliant', 'helpless')",2.47682,2.1106932,2.5072718,2.3982942,2.049817,1.8723142,2.35561,2.3667471,3.4769878,3.5279148,2.6987616221110025,2.6429192225138345,-0.05584239959716797
48,2.6342964,2.4865189,"('reliable', 'unreliable')",2.1151795,1.8666317,2.618515,2.6134818,2.3705559,2.2669592,1.9579195,1.8578317,2.138618,1.8857467,2.30584716796875,2.1628616650899253,-0.14298550287882472
33,-2.417898,-2.2093263,"('softhearted', 'hardhearted')",-1.1736591,-0.98120743,-1.5594783,-1.4824241,-1.3511188,-1.0813634,-1.3245416,-1.1919029,-1.1326909,-0.9954109,-1.4932311375935872,-1.3236058553059895,0.16962528228759766
50,2.399356,2.6354666,"('unprejudiced', 'prejudiced')",1.9629992,1.6871815,1.5814697,1.5846293,2.218439,1.8129277,1.6449511,1.6052346,2.327352,2.2760334,2.0224278767903647,1.9335788091023762,-0.0888490676879885
1,-2.3322873,-1.8175201,"('friendly', 'unfriendly')",-0.8735565,-0.7967598,-0.4822332,-0.80074716,-0.97495556,-0.784323,-1.7983384,-1.7364489,-1.2281156,-1.3460381,-1.2815810839335124,-1.2136395772298176,0.06794150670369481
66,2.1226792,2.0995133,"('imaginative', 'unimaginative')",2.301096,2.056706,1.9658968,2.0759232,2.1047974,1.9713857,2.7532053,2.7089744,1.4984032,1.3222446,2.1243464152018228,2.0391244888305664,-0.08522192637125636
34,-1.9675052,-1.9153135,"('loyal', 'disloyal')",-2.2570477,-2.0077512,-1.3835347,-1.2079401,-1.543517,-1.0812366,-1.0043559,-0.92162913,-1.9193144,-1.7316802,-1.6792124112447102,-1.4775916735331218,0.2016207377115884
32,-1.934588,-1.4184825,"('benevolent', 'hardhearted')",-0.6568372,-0.40919644,-0.7837511,-0.6898905,-1.0732427,-0.88823295,-1.1756649,-1.0708976,-1.8550038,-1.7877504,-1.2465145587921143,-1.0440750122070312,0.202439546585083
64,-1.8047378,-1.9346783,"('clever', 'incompetent')",-1.3888204,-1.2064309,-0.07378945,0.06898475,-1.0101856,-0.9008385,-0.3813323,-0.4149403,-0.8118169,-1.0725956,-0.9117803573608398,-0.9100831349690756,0.001697222391764286
21,1.7513738,1.5401767,"('nice', 'nasty')",0.84037876,0.7347633,0.5317167,0.523316,1.0221331,0.9895172,0.7515168,0.69907767,0.7805323,0.88068295,0.9462752342224121,0.8945889472961426,-0.05168628692626953
31,-1.6616162,-1.1164116,"('altruistic', 'egoistic')",-0.6442001,-0.6200015,-0.30398,-0.46693558,-0.36974052,-0.17211366,0.09920502,0.2312575,-0.8109416,-0.7282202,-0.6152122020721436,-0.4787375132242839,0.13647468884785968
58,-1.6440129,-1.6706612,"('able', 'clumsy')",-2.0164592,-1.6322384,-1.4287505,-1.0149335,-2.0546484,-1.7899245,-1.2972792,-1.1413573,-1.2509931,-1.1457216,-1.615357240041097,-1.399139404296875,0.21621783574422193
3,1.5928342,1.8165653,"('likable', 'unlikable')",1.6730256,1.6386765,1.9337685,1.9220791,1.6740959,1.5499563,0.79841435,0.7559122,1.3935391,1.2371747,1.510946273803711,1.4867273966471355,-0.024218877156575447
28,-1.5845377,-1.61567,"('honest', 'dishonest')",-2.168892,-1.8965827,-1.8083858,-1.5352211,-2.11497,-1.8961184,-1.2292159,-1.1226877,-1.1900508,-1.4031166,-1.6826753616333008,-1.5782326062520344,0.10444275538126635
67,-1.5828335,-1.4993699,"('discriminating', 'undiscriminating')",-0.7350701,-0.50808823,-0.08942813,0.0023300052,-0.77072096,-0.5224526,-0.78051805,-0.77309686,-0.9109684,-0.89501,-0.8115898768107096,-0.6992812156677246,0.11230866114298499
51,-1.5719814,-1.7175635,"('competent', 'incompetent')",-1.955461,-1.8141505,-0.0971514,0.051427633,-0.45679873,-0.3924337,-0.09449429,-0.21857513,-0.98432165,-1.1458607,-0.860034704208374,-0.8728593190511068,-0.012824614842732784
38,-1.4987268,-1.6090522,"('kind', 'unkind')",-1.5609362,-1.1458026,-0.9668281,-0.65231144,-1.6404153,-1.0986534,-2.1662838,-1.9520346,-1.9606348,-1.8871437,-1.6323041915893555,-1.3908329010009766,0.2414712905883789
11,-1.4914222,-1.7377765,"('caring', 'unaffectionate')",-1.1759598,-1.2084239,-1.1204327,-1.1984833,-0.6748576,-0.6117333,-2.132009,-2.095293,-1.2380048,-1.2483522,-1.3054476579030354,-1.3500103950500488,-0.04456273714701342
60,-1.4678047,-1.0394053,"('educated', 'uneducated')",-1.2993289,-1.0519685,0.081142545,0.48226184,-0.93575925,-0.30958906,-0.6237867,-0.5086136,0.070163116,0.19439141,-0.6958956718444824,-0.3721538782119751,0.3237417936325073
63,-1.4278337,-1.1676528,"('capable', 'incapable')",-1.5367336,-1.5149089,-0.7965038,-0.8282484,-0.8439174,-0.6696984,-1.7012725,-1.6909423,-0.45574045,-0.5604556,-1.1270002524058025,-1.0719844500223796,0.05501580238342285
29,-1.4141594,-1.5294719,"('honest', 'immoral')",-1.5647068,-1.4220953,-0.980427,-0.77961326,-1.1688477,-0.81563056,-1.2810986,-1.3624686,-0.46713772,-0.78767,-1.146062930425008,-1.1161583264668782,0.029904603958129883
81,1.4011408,1.8787508,"('industrious', 'lazy')",2.4595008,2.363647,0.96042186,0.66362435,1.1684747,1.0214972,1.0352459,0.9507791,1.2663357,1.2092165,1.3818532625834148,1.3479191462198894,-0.03393411636352539
93,1.3527229,0.89775056,"('dominating', 'dominated')",-0.6445349,-0.492137,0.08484955,0.61542535,0.054614663,0.34687802,-0.4180414,-0.3119111,0.1824899,0.21648185,0.1020167867342631,0.2120812733968099,0.1100644866625468
62,-1.3489985,-1.1784592,"('creative', 'uncreative')",-0.32742125,-0.4785881,0.35159117,0.29914215,-0.15366316,0.017862082,-1.0020894,-0.97822857,-0.13014008,-0.47040603,-0.43512022495269775,-0.4647796154022217,-0.029659390449523926
54,1.3197532,1.1105487,"('smart', 'stupid')",0.64390695,0.41244477,1.0662792,0.7646284,0.47067285,0.22246695,0.06852013,-0.049923122,0.031042606,-0.36053967,0.6000291109085083,0.34993767738342285,-0.25009143352508545
12,-1.318316,-1.8164264,"('sympathetic', 'unsympathetic')",-1.2713507,-1.0670301,-0.6232135,-0.18712288,-1.0757749,-0.9258218,-1.0392995,-0.97936785,-1.2580049,-1.3211112,-1.0976599057515461,-1.0494800408681233,0.04817986488342285
0,-1.316535,-1.150953,"('sociable', 'unsociable')",-0.95488715,-0.68590146,-0.079586625,0.33352745,-0.25416508,0.25823593,-0.57234645,-0.4742892,-1.3195753,-1.2200037,-0.7495160102844238,-0.4898973306020101,0.25961867968241376
78,1.3017597,1.1508787,"('active', 'inactive')",1.6664348,1.3858862,1.6414421,1.402981,2.2720973,1.9251149,1.2361777,0.97867197,1.3369566,0.91546047,1.5758113861083984,1.2931655248006184,-0.28264586130778
97,-1.2500647,-0.9392341,"('superior', 'inferior')",-0.18287301,-0.08201641,0.0859555,0.06175691,0.11933881,0.10787016,-1.6475449,-1.4972649,0.19624421,0.38162532,-0.44649068514506024,-0.32787718375523883,0.11861350138982141
