,lowes_male,lowes_female,tuple,companies_male,companies_female,average_male,average_female,female-male
75,3.3666053,3.414712,"('confident', 'shy')",4.229027,4.048299,3.797816038131714,3.7315053939819336,-0.06631064414978027
27,-3.0315187,-2.9237525,"('sincere', 'insincere')",-5.2910194,-5.0430202,-4.161269187927246,-3.983386516571045,0.17788267135620117
95,-2.5530171,-2.5875473,"('rich', 'poor')",-5.4419737,-5.160557,-3.997495412826538,-3.874052047729492,0.1234433650970459
40,-2.2244258,-2.4062784,"('honorable', 'mean')",-4.339181,-4.565246,-3.2818033695220947,-3.485762119293213,-0.20395874977111816
53,-2.0984507,-2.084109,"('smart', 'stupid')",-3.7487233,-3.918414,-2.923586845397949,-3.0012617111206055,-0.07767486572265625
6,1.684343,1.6117779,"('liked', 'disliked')",4.506893,4.3582764,3.0956180095672607,2.9850270748138428,-0.11059093475341797
101,-1.4545287,-1.655545,"('successful', 'unsuccessful')",-2.2937799,-1.898639,-1.8741543292999268,-1.7770919799804688,0.09706234931945801
22,1.4468181,1.3661048,"('welcoming', 'disagreeable')",0.3622412,0.16622731,0.9045296907424927,0.766166090965271,-0.13836359977722168
50,1.4112104,1.2425592,"('unprejudiced', 'prejudiced')",1.4521645,1.2097474,1.4316874742507935,1.2261533737182617,-0.20553410053253174
78,1.3781195,0.89065987,"('active', 'inactive')",1.7530717,1.3856063,1.5655956268310547,1.1381330490112305,-0.4274625778198242
68,-1.3290409,-1.2087874,"('clever', 'inept')",-0.96828294,-1.1299478,-1.1486618518829346,-1.1693675518035889,-0.020705699920654297
1,-1.1898288,-1.3265798,"('friendly', 'unfriendly')",-1.8690416,-1.8572584,-1.529435157775879,-1.591919183731079,-0.062484025955200195
54,1.1676493,0.8874077,"('smart', 'stupid')",0.4372229,0.2099596,0.802436113357544,0.5486836433410645,-0.2537524700164795
32,-1.140337,-1.2784646,"('benevolent', 'hardhearted')",-1.9150465,-1.7390414,-1.5276917219161987,-1.5087530612945557,0.018938660621643066
104,-1.0508063,-0.9578244,"('conventional', 'unconventional')",0.27920744,0.82302463,-0.3857994079589844,-0.06739988923072815,0.3183995187282562
48,1.0499868,1.0535327,"('reliable', 'unreliable')",2.1762204,2.0058253,1.6131036281585693,1.5296790599822998,-0.08342456817626953
109,1.0416567,1.268257,"('conservative', 'liberal')",0.39351907,0.1461236,0.7175878882408142,0.7071903347969055,-0.010397553443908691
108,1.0416567,1.268257,"('conservative', 'liberal')",0.39351907,0.1461236,0.7175878882408142,0.7071903347969055,-0.010397553443908691
94,1.0364958,1.3110199,"('aggressive', 'submissive')",-1.0554881,-0.95187473,-0.009496152400970459,0.17957258224487305,0.1890687346458435
43,-0.9808281,-0.95742995,"('genuine', 'fake')",-0.9088516,-0.6699612,-0.9448398351669312,-0.8136955499649048,0.13114428520202637
9,-0.9277873,-0.80421877,"('sensitive', 'insensitive')",-1.1560811,-1.1703067,-1.0419342517852783,-0.9872627258300781,0.054671525955200195
76,0.9247489,1.1868289,"('secure', 'insecure')",0.19037598,0.11554772,0.5575624704360962,0.6511882543563843,0.09362578392028809
13,-0.91636556,-0.69170415,"('helpful', 'unhelpful')",-3.176093,-3.0256078,-2.046229362487793,-1.8586559295654297,0.18757343292236328
61,0.9154906,0.80844593,"('rational', 'irrational')",0.41491827,0.52241087,0.6652044653892517,0.6654284000396729,0.00022393465042114258
11,-0.8850436,-0.9964601,"('caring', 'unaffectionate')",-1.7080817,-1.6065018,-1.296562671661377,-1.301481008529663,-0.004918336868286133
103,0.8850339,0.90676117,"('traditional', 'modern')",1.0460024,1.2218292,0.9655181169509888,1.0642951726913452,0.09877705574035645
16,0.8820861,1.0852832,"('social', 'antisocial')",-0.8428484,-0.6600411,0.019618839025497437,0.2126210331916809,0.19300219416618347
65,-0.8779051,-0.96306884,"('practical', 'impractical')",-2.0945446,-2.1312761,-1.486224889755249,-1.5471725463867188,-0.06094765663146973
80,0.84299386,1.0112844,"('independent', 'dependent')",0.5752865,0.5199741,0.7091401815414429,0.765629231929779,0.05648905038833618
51,-0.83875954,-0.73852694,"('competent', 'incompetent')",-1.1305251,-0.95889175,-0.9846423268318176,-0.8487093448638916,0.13593298196792603
87,-0.8286495,-0.98242193,"('dedicated', 'undedicated')",-1.6310345,-1.6208038,-1.229841947555542,-1.3016128540039062,-0.07177090644836426
90,0.82157534,0.7317119,"('motivated', 'unmotivated')",1.2236466,0.951725,1.0226110219955444,0.8417184352874756,-0.18089258670806885
67,-0.81028724,-0.8465891,"('discriminating', 'undiscriminating')",-1.337017,-1.335015,-1.0736521482467651,-1.0908020734786987,-0.017149925231933594
46,0.7928709,0.8277085,"('generous', 'stingy')",1.0752039,1.0987561,0.9340373873710632,0.9632322788238525,0.029194891452789307
33,-0.7917327,-0.74408054,"('softhearted', 'hardhearted')",-0.80472785,-0.7898192,-0.7982302904129028,-0.7669498920440674,0.03128039836883545
37,0.787165,0.5668343,"('good', 'evil')",1.6873653,1.5959294,1.2372651100158691,1.0813817977905273,-0.1558833122253418
30,-0.7862906,-0.73727524,"('honest', 'dishonest')",-0.38489413,-0.59767616,-0.5855923891067505,-0.667475700378418,-0.08188331127166748
105,-0.742365,-0.7417531,"('conventional', 'modern')",-0.30443126,-0.26645344,-0.5233981609344482,-0.5041033029556274,0.0192948579788208
25,0.7378243,0.7153106,"('moral', 'immoral')",-1.4705153,-1.4804506,-0.36634546518325806,-0.3825700283050537,-0.016224563121795654
79,0.73264533,0.78925264,"('determined', 'doubtful')",0.2470729,0.34639227,0.48985910415649414,0.5678224563598633,0.07796335220336914
110,-0.7324836,-0.6687835,"('narrow-minded', 'open-minded')",0.4472435,0.59294647,-0.1426200568675995,-0.03791850805282593,0.10470154881477356
102,0.7323463,0.57685643,"('eminent', 'low')",-2.521974,-1.9777968,-0.8948138952255249,-0.7004702091217041,0.1943436861038208
34,-0.72104824,-0.49861258,"('loyal', 'disloyal')",-1.5066017,-1.0167723,-1.1138249635696411,-0.7576924562454224,0.35613250732421875
24,-0.7064463,-0.776448,"('thoughtful', 'rough')",-0.42618737,-0.42669785,-0.5663168430328369,-0.6015729308128357,-0.03525608777999878
63,-0.6701875,-0.8109839,"('capable', 'incapable')",-0.7436433,-0.79174185,-0.7069153785705566,-0.8013628721237183,-0.09444749355316162
29,-0.6677693,-0.5043807,"('honest', 'immoral')",-0.8943114,-0.89353514,-0.781040370464325,-0.6989579200744629,0.08208245038986206
47,-0.6666814,-0.52750474,"('forgiving', 'unforgiving')",-0.7544094,-0.7443744,-0.7105454206466675,-0.6359395980834961,0.07460582256317139
66,0.6641495,1.0309907,"('imaginative', 'unimaginative')",0.8877512,0.83477616,0.7759503722190857,0.9328834414482117,0.15693306922912598
35,0.660552,0.79939663,"('fair', 'unfair')",1.6097727,1.6321084,1.135162353515625,1.2157526016235352,0.08059024810791016
5,0.64579636,0.6638176,"('pleasant', 'repellent')",-0.3097512,-0.30376646,0.16802257299423218,0.18002556264400482,0.012002989649772644
7,0.621115,0.30089325,"('outgoing', 'distant')",1.3669419,0.68346596,0.9940284490585327,0.49217960238456726,-0.5018488466739655
49,-0.61656433,-0.7018774,"('responsible', 'irresponsible')",-1.6252186,-1.881235,-1.1208914518356323,-1.2915562391281128,-0.17066478729248047
15,0.59386665,0.8775554,"('polite', 'impolite')",0.09462285,0.10699073,0.34424474835395813,0.4922730624675751,0.14802831411361694
28,-0.58334535,-0.46259952,"('honest', 'dishonest')",-1.4038086,-1.4204441,-0.9935770034790039,-0.9415218234062195,0.052055180072784424
10,-0.578033,-0.5766896,"('affectionate', 'unaffectionate')",-1.0142548,-0.8971834,-0.7961438894271851,-0.7369365096092224,0.059207379817962646
98,-0.5662308,-0.6826279,"('prestigious', 'insignificant')",0.43211168,0.4898855,-0.06705954670906067,-0.09637120366096497,-0.029311656951904297
107,0.5660717,0.74677145,"('conventional', 'modern')",-0.050296307,-0.033728838,0.25788769125938416,0.3565213084220886,0.09863361716270447
58,-0.5557666,-0.33815777,"('able', 'clumsy')",-1.6358559,-1.1913701,-1.0958112478256226,-0.7647639513015747,0.33104729652404785
72,-0.5471099,-0.2584709,"('logical', 'illogical')",-0.6714085,-0.5292053,-0.6092591881752014,-0.393838107585907,0.21542108058929443
21,0.5381417,0.4693913,"('nice', 'nasty')",1.007873,0.8587312,0.7730073928833008,0.6640612483024597,-0.10894614458084106
