,dupont_male,dupont_female,tuple,de_male,de_female,nemours_male,nemours_female,average_male,average_female,female-male
75,4.3002367,4.9192715,"('confident', 'shy')",3.2391465,3.6716857,2.719002,2.6092663,3.4194615681966147,3.733407974243164,0.31394640604654933
53,-2.8822021,-3.1404014,"('smart', 'stupid')",-2.6305726,-3.0344205,-0.78363174,-0.65717506,-2.098802089691162,-2.277332305908203,-0.17853021621704102
27,-2.7916083,-3.0880375,"('sincere', 'insincere')",-4.4773736,-4.6770115,0.3644905,0.5123457,-2.301497141520182,-2.417567729949951,-0.11607058842976903
95,-2.7640042,-3.2059078,"('rich', 'poor')",-3.5194278,-4.1059885,-0.4347809,-0.4234555,-2.2394043604532876,-2.5784506797790527,-0.3390463193257651
6,2.6642575,3.2096376,"('liked', 'disliked')",3.5772367,3.9247274,0.8815329,0.8557495,2.3743422826131186,2.6633715629577637,0.28902928034464503
40,-2.605781,-3.140122,"('honorable', 'mean')",-2.8442852,-3.3399854,-1.0892354,-1.1031462,-2.179767290751139,-2.5277511278788247,-0.34798383712768555
15,2.089897,2.3391442,"('polite', 'impolite')",0.0039081722,0.096720636,2.3359447,2.393807,1.4765831629435222,1.609890619913737,0.13330745697021484
99,-2.0555537,-2.0241642,"('prestigious', 'insignificant')",-0.23429064,-0.13883246,-2.9211183,-2.8729215,-1.7369874318440754,-1.6786394119262695,0.058348019917805916
31,-2.0550416,-2.076751,"('altruistic', 'egoistic')",0.75507766,0.7479733,-1.3756843,-1.3921523,-0.8918827374776205,-0.9069766998291016,-0.015093962351481083
1,-2.0432913,-2.0079722,"('friendly', 'unfriendly')",-0.5451833,-0.48930466,-1.3109165,-1.1923168,-1.2997970581054688,-1.229864517847697,0.06993254025777174
32,-1.9983722,-1.8572115,"('benevolent', 'hardhearted')",-0.7563387,-0.5337784,-1.052587,-1.0721747,-1.2690993150075276,-1.1543881098429363,0.11471120516459132
50,1.9786065,1.9041399,"('unprejudiced', 'prejudiced')",1.0604842,0.8634711,0.6292732,0.3238091,1.2227879365285237,1.0304733912150066,-0.1923145453135171
11,-1.9263104,-1.892055,"('caring', 'unaffectionate')",-0.6701155,-0.5147361,-0.6741776,-0.43429467,-1.0902012189229329,-0.947028636932373,0.14317258199055982
10,-1.7627097,-1.7230742,"('affectionate', 'unaffectionate')",0.17296183,0.22062877,-1.3741381,-1.1715409,-0.987962007522583,-0.8913288116455078,0.0966331958770752
48,1.6971667,1.9484441,"('reliable', 'unreliable')",0.6686076,0.7262929,1.1866677,1.0925157,1.1841472784678142,1.2557508945465088,0.07160361607869459
86,1.6683755,1.9784536,"('self-reliant', 'helpless')",1.1818966,1.2008765,-0.16254544,-0.22113615,0.8959089120229086,0.9860646724700928,0.09015576044718421
103,1.6644566,1.6062502,"('traditional', 'modern')",-0.08979887,0.16802391,1.4636265,1.494105,1.0127614339192708,1.089459737141927,0.07669830322265625
24,-1.4768226,-1.5494952,"('thoughtful', 'rough')",-0.38222867,-0.3184531,-0.7817024,-0.84826666,-0.8802512486775717,-0.9054049650828043,-0.025153716405232673
109,1.4552017,1.4603963,"('conservative', 'liberal')",0.034703434,0.088797435,1.589675,1.485421,1.026526689529419,1.0115381876627605,-0.014988501866658455
108,1.4552017,1.4603963,"('conservative', 'liberal')",0.034703434,0.088797435,1.589675,1.485421,1.026526689529419,1.0115381876627605,-0.014988501866658455
62,-1.4473677,-1.3578136,"('creative', 'uncreative')",-0.81488276,-0.86752534,-0.7873755,-0.6328685,-1.0165419578552246,-0.9527358214060465,0.0638061364491781
104,-1.4152565,-1.3973137,"('conventional', 'unconventional')",0.6601808,0.7588715,-1.8378665,-1.78031,-0.864314079284668,-0.8062507311503092,0.05806334813435876
66,1.371664,1.7856355,"('imaginative', 'unimaginative')",0.9045691,1.1658943,1.1873842,1.4257258,1.1545391082763672,1.4590851465861003,0.30454603830973315
76,1.3557879,1.6327786,"('secure', 'insecure')",-0.77771556,-0.71264625,2.4994693,2.5580852,1.0258471965789795,1.1594058672587078,0.13355867067972826
63,-1.3284714,-1.5122863,"('capable', 'incapable')",-1.0387615,-1.021805,-0.93571055,-0.9178985,-1.100981076558431,-1.1506632963816326,-0.049682219823201645
81,-1.3192252,-1.3157655,"('industrious', 'lazy')",1.3571601,1.3524959,-2.4247875,-2.5161695,-0.7956175804138184,-0.8264797528584799,-0.030862172444661495
97,-1.2417489,-1.2249374,"('superior', 'inferior')",-0.38978824,-0.3276264,-0.32464686,-0.33176133,-0.6520613431930542,-0.6281084219614664,0.023952921231587765
93,1.1848154,1.3281469,"('dominating', 'dominated')",0.057545945,0.39102542,1.4038002,1.5364826,0.8820538520812988,1.0852182706197102,0.20316441853841138
106,-1.1791593,-1.1335669,"('conventional', 'unconventional')",0.6929946,0.580752,-2.3866062,-2.3328161,-0.9575902620951334,-0.9618770281473795,-0.004286766052246094
107,1.1788092,1.3276895,"('conventional', 'modern')",0.34840268,0.3591674,2.325094,2.498239,1.284101963043213,1.3950319290161133,0.11092996597290039
98,-1.1728225,-1.1754329,"('prestigious', 'insignificant')",0.27627307,0.052389517,-1.5407865,-1.4605933,-0.812445322672526,-0.8612122535705566,-0.048766930898030636
90,1.138017,0.99157274,"('motivated', 'unmotivated')",0.24412274,0.2141304,1.7224463,1.622098,1.0348620414733887,0.94260040918986,-0.09226163228352868
67,-1.1284888,-0.88333917,"('discriminating', 'undiscriminating')",-0.44577187,-0.39542666,-0.7774585,-0.61922926,-0.7839063803354899,-0.6326649983723959,0.151241381963094
5,1.0962998,0.85842717,"('pleasant', 'repellent')",-0.07379614,-0.10368943,1.7810974,1.7713636,0.9345336755116781,0.8420337835947672,-0.09249989191691088
39,-1.0563862,-0.81871736,"('right', 'wrong')",0.24758846,0.3606321,-1.471026,-1.4592518,-0.7599412600199381,-0.6391123533248901,0.12082890669504798
3,1.0484773,1.279055,"('likable', 'unlikable')",0.5045327,0.6214702,0.42405432,0.4049393,0.6590214570363363,0.7684881687164307,0.10946671168009436
89,1.0406207,1.0940242,"('daring', 'anxious')",-0.5006958,-0.500075,1.4186734,1.332789,0.6528660853703817,0.6422460476557413,-0.010620037714640373
8,-1.03615,-1.1616826,"('open', 'distant')",0.95715874,0.75865847,-2.0861094,-2.0546725,-0.7217001914978027,-0.8192322254180908,-0.09753203392028809
34,-0.9965658,-0.882604,"('loyal', 'disloyal')",-0.58273906,-0.38535714,0.3246687,0.597263,-0.418212095896403,-0.22356605529785156,0.19464604059855145
