,mylan_male,mylan_female,tuple,n_male,n_female,v_male,v_female,average_male,average_female,female-male
75,3.6002743,3.475592,"('confident', 'shy')",6.49354,6.315895,5.717277,5.7592,5.270363489786784,5.183562278747559,-0.08680121103922556
95,-2.5052693,-2.5927215,"('rich', 'poor')",-4.800147,-4.837388,-5.1153116,-5.3559985,-4.140242576599121,-4.262036005655925,-0.12179342905680368
6,2.0393739,1.9997625,"('liked', 'disliked')",5.4350767,5.3671246,5.655618,5.496934,4.376689592997233,4.287940343221028,-0.08874924977620502
27,-1.970746,-1.724973,"('sincere', 'insincere')",-4.8499517,-4.7563567,-5.254664,-5.0527673,-4.0251204172770185,-3.844699223836263,0.18042119344075536
66,1.9600011,2.306537,"('imaginative', 'unimaginative')",2.108201,2.024732,2.090188,2.084579,2.0527966817220054,2.1386160850524902,0.08581940333048488
48,1.7724408,1.6918061,"('reliable', 'unreliable')",2.5655026,2.3979824,2.2417746,2.2370934,2.193239370981852,2.1089606285095215,-0.08427874247233058
53,-1.6284522,-1.7072647,"('smart', 'stupid')",-4.2956867,-4.2566066,-3.9655547,-3.7786803,-3.296564737955729,-3.2475172678629556,0.04904747009277344
15,1.5079985,1.5342013,"('polite', 'impolite')",1.1088549,1.2142751,0.579852,0.9359074,1.065568447113037,1.2281279563903809,0.16255950927734375
12,1.3951414,1.6081965,"('sympathetic', 'unsympathetic')",-1.0334408,-0.88991195,-1.6947165,-1.3205626,-0.4443386395772298,-0.20075935125350952,0.24357928832372028
94,1.2767066,1.2317817,"('aggressive', 'submissive')",1.2420604,1.0042392,-0.1642608,0.3187871,0.7848353385925293,0.8516027132670084,0.06676737467447913
52,1.2639357,1.4382954,"('competitive', 'uncompetitive')",-0.1466785,0.040014148,-0.6481772,-0.45377475,0.1563599705696106,0.3415115674336751,0.18515159686406452
40,-1.2416832,-1.4185388,"('honorable', 'mean')",-4.5722113,-4.54722,-3.8775995,-4.0747375,-3.2304979960123696,-3.346832275390625,-0.11633427937825536
3,1.2354138,1.1837783,"('likable', 'unlikable')",1.8589683,1.8696136,2.0956776,2.0137286,1.7300198872884114,1.689040184020996,-0.04097970326741529
56,1.1621305,1.1755837,"('intelligent', 'dumb')",1.0216726,1.0685725,0.89209557,1.1051266,1.0252995491027832,1.1164276599884033,0.09112811088562012
107,1.1597651,1.1299753,"('conventional', 'modern')",-0.28328317,-0.30257583,-0.5122167,-0.38529763,0.12142175436019897,0.1473672886689504,0.025945534308751433
25,1.1573325,1.1881418,"('moral', 'immoral')",-0.34864232,-0.18432501,-1.5840516,-1.1995704,-0.25845380624135333,-0.06525119145711263,0.19320261478424072
69,-1.1504178,-1.2793033,"('wise', 'foolish')",-0.5389605,-0.5332725,-0.2178028,-0.1831592,-0.6357270081837972,-0.6652450164159139,-0.0295180082321167
83,1.0986427,1.2680004,"('energetic', 'lethargic')",-1.0528126,-0.92064106,-0.9228731,-0.7833118,-0.2923476497332255,-0.14531749486923218,0.14703015486399335
10,-1.0979058,-0.9579171,"('affectionate', 'unaffectionate')",-0.8301361,-0.75125027,-0.30255857,-0.3690562,-0.7435335318247477,-0.6927411556243896,0.050792376200358036
78,1.0835371,1.0364909,"('active', 'inactive')",2.0547998,1.8517793,2.1201308,1.7099187,1.7528225580851238,1.5327297846476238,-0.2200927734375
31,-1.0770476,-1.2388515,"('altruistic', 'egoistic')",-0.8654307,-0.61623305,-0.01227653,-0.037362188,-0.6515849431355795,-0.6308156251907349,0.0207693179448446
89,1.0699415,1.311221,"('daring', 'anxious')",0.538207,0.48064768,-0.58123577,-0.51750034,0.342304269472758,0.4247894287109375,0.0824851592381795
103,1.0623327,1.0528896,"('traditional', 'modern')",0.19083337,0.3384595,-0.14775729,-0.24452393,0.36846959590911865,0.3822750647862752,0.013805468877156557
11,-1.0483788,-0.9635204,"('caring', 'unaffectionate')",-1.4886692,-1.4688109,-1.3088216,-1.3309731,-1.2819565137227376,-1.2544348239898682,0.027521689732869392
90,1.0397713,0.9586857,"('motivated', 'unmotivated')",1.1335063,1.040787,0.6877075,0.5119321,0.9536616802215576,0.8371349175771078,-0.11652676264444983
9,1.0164704,0.9572751,"('sensitive', 'insensitive')",-0.57083166,-0.6326216,-0.7331523,-0.52568287,-0.09583783149719238,-0.06700978676478068,0.028828044732411698
