,du_male,du_female,tuple,pont_male,pont_female,e_male,e_female,i_male,i_female,de_male,de_female,nemours_male,nemours_female,average_male,average_female,female-male
75,5.8769937,6.664893,"('confident', 'shy')",7.269035,7.3089876,5.1080294,4.752075,6.4735785,6.3836384,3.2391465,3.6716857,2.719002,2.6092663,5.114297866821289,5.231757799784343,0.11745993296305368
27,-5.6853666,-6.0392475,"('sincere', 'insincere')",-6.4114137,-6.723105,-4.34554,-3.9135027,-5.9702673,-6.4537077,-4.4773736,-4.6770115,0.3644905,0.5123457,-4.420912106831868,-4.549037933349609,-0.12812582651774118
6,5.5643654,6.18106,"('liked', 'disliked')",6.5826178,7.143247,4.8893785,4.6643515,6.2822337,6.21384,3.5772367,3.9247274,0.8815329,0.8557495,4.629560788472493,4.830496152242024,0.20093536376953125
95,-5.183195,-5.776,"('rich', 'poor')",-6.067149,-6.4132347,-4.43692,-4.3749332,-5.8486958,-6.4298534,-3.5194278,-4.1059885,-0.4347809,-0.4234555,-4.248361587524414,-4.587244351704915,-0.338882764180501
53,-4.583297,-5.1022267,"('smart', 'stupid')",-5.330537,-5.6931915,-3.9427114,-3.753551,-4.483699,-4.6093473,-2.6305726,-3.0344205,-0.78363174,-0.65717506,-3.625741640726725,-3.808318773905436,-0.18257713317871094
40,-4.3399973,-4.9404316,"('honorable', 'mean')",-5.564325,-5.725346,-3.91751,-3.9190652,-4.5637064,-5.105217,-2.8442852,-3.3399854,-1.0892354,-1.1031462,-3.7198432286580405,-4.02219835917155,-0.30235513051350926
13,-2.8208098,-2.5899072,"('helpful', 'unhelpful')",-2.6088912,-2.851361,-2.0689445,-1.9565793,-2.3764606,-2.6579144,-2.7531624,-2.7485008,0.7925458,0.9677162,-1.9726203282674153,-1.9727576573689778,-0.0001373291015625
86,2.6512475,2.9418764,"('self-reliant', 'helpless')",3.519205,3.4802313,2.049817,1.8723142,3.2471948,3.108711,1.1818966,1.2008765,-0.16254544,-0.22113615,2.081135908762614,2.063812255859375,-0.017323652903238784
78,2.439598,1.922379,"('active', 'inactive')",2.0266304,2.0238495,2.2720973,1.9251149,1.7372346,1.1203034,2.7597828,2.3649025,0.22825822,0.1287809,1.9106003443400066,1.5808884302775066,-0.3297119140625
48,2.1812494,2.4757874,"('reliable', 'unreliable')",2.7908263,2.688703,2.3705559,2.2669592,3.1208107,2.845345,0.6686076,0.7262929,1.1866677,1.0925157,2.053119500478109,2.0159338315327964,-0.0371856689453125
38,-2.0997784,-1.6712928,"('kind', 'unkind')",-1.7489519,-1.6790493,-1.6404153,-1.0986534,-1.7437999,-1.6080964,-2.2240448,-1.8559803,0.6227316,0.6779931,-1.4723765055338542,-1.2058464686075847,0.26653003692626953
46,1.9275401,2.0445864,"('generous', 'stingy')",1.6314666,2.007835,1.7146709,1.9424766,2.083773,1.7024703,1.1530408,1.3323208,-0.4217948,-0.28925353,1.3481160799662273,1.4567394256591797,0.1086233456929524
66,1.8785567,2.4052298,"('imaginative', 'unimaginative')",2.2927237,2.5863903,2.1047974,1.9713857,2.8055136,2.777914,0.9045691,1.1658943,1.1873842,1.4257258,1.862257480621338,2.0554234186808267,0.19316593805948878
37,1.870837,1.7275388,"('good', 'evil')",1.2556038,1.5542786,1.5384743,1.6174712,2.250936,2.5229769,2.2573404,2.2881978,-1.2046922,-1.2963016,1.3280831178029378,1.4023602803548176,0.07427716255187988
81,1.7968028,1.6812778,"('industrious', 'lazy')",1.6060326,1.8905132,1.1684747,1.0214972,2.1636267,2.263668,1.3571601,1.3524959,-2.4247875,-2.5161695,0.9445514678955078,0.9488805135091146,0.004329045613606808
