,weyerhaeuser_male,weyerhaeuser_female,tuple,average_male,average_female,female-male
41,-2.8984923,-3.0025692,"('incorrupt', 'corrupt')",-2.8984923362731934,-3.0025691986083984,-0.10407686233520508
81,-2.737166,-2.985116,"('industrious', 'lazy')",-2.737165927886963,-2.9851160049438477,-0.24795007705688477
69,-2.6086664,-2.6039786,"('wise', 'foolish')",-2.60866641998291,-2.6039786338806152,0.004687786102294922
12,2.4660978,2.583259,"('sympathetic', 'unsympathetic')",2.466097831726074,2.583259105682373,0.11716127395629883
16,2.3992705,2.5609188,"('social', 'antisocial')",2.399270534515381,2.5609188079833984,0.16164827346801758
99,-2.3853388,-2.5002477,"('prestigious', 'insignificant')",-2.38533878326416,-2.5002477169036865,-0.11490893363952637
71,2.3252566,2.3908286,"('efficient', 'inefficient')",2.325256586074829,2.3908286094665527,0.06557202339172363
82,-2.2851262,-2.4330533,"('industrious', 'meek')",-2.285126209259033,-2.4330532550811768,-0.14792704582214355
107,2.1753724,2.2662864,"('conventional', 'modern')",2.175372362136841,2.2662863731384277,0.09091401100158691
98,-2.1330502,-2.1782827,"('prestigious', 'insignificant')",-2.1330502033233643,-2.1782827377319336,-0.045232534408569336
89,2.1112182,2.141628,"('daring', 'anxious')",2.111218214035034,2.1416280269622803,0.030409812927246094
64,2.0871978,2.260435,"('clever', 'incompetent')",2.087197780609131,2.260435104370117,0.17323732376098633
100,2.0597239,2.2022166,"('influential', 'uninfluential')",2.0597238540649414,2.202216625213623,0.14249277114868164
2,2.008863,2.119499,"('friendly', 'unfriendly')",2.0088629722595215,2.1194989681243896,0.11063599586486816
94,1.9325088,2.0225582,"('aggressive', 'submissive')",1.9325088262557983,2.0225582122802734,0.0900493860244751
55,1.9110241,1.9791,"('intelligent', 'unintelligent')",1.9110240936279297,1.979099988937378,0.06807589530944824
109,1.8459761,1.9452574,"('conservative', 'liberal')",1.8459761142730713,1.9452574253082275,0.09928131103515625
108,1.8459761,1.9452574,"('conservative', 'liberal')",1.8459761142730713,1.9452574253082275,0.09928131103515625
0,1.8352058,2.014591,"('sociable', 'unsociable')",1.8352057933807373,2.0145909786224365,0.17938518524169922
25,1.7687986,1.8723557,"('moral', 'immoral')",1.768798589706421,1.8723556995391846,0.10355710983276367
5,1.7003765,1.7780416,"('pleasant', 'repellent')",1.7003765106201172,1.7780416011810303,0.07766509056091309
66,1.6844721,1.805001,"('imaginative', 'unimaginative')",1.6844720840454102,1.8050010204315186,0.1205289363861084
76,1.6727039,1.8014743,"('secure', 'insecure')",1.6727038621902466,1.8014743328094482,0.12877047061920166
8,-1.6080825,-1.7377753,"('open', 'distant')",-1.6080825328826904,-1.7377753257751465,-0.12969279289245605
52,1.5905209,1.7076858,"('competitive', 'uncompetitive')",1.5905208587646484,1.7076858282089233,0.1171649694442749
61,-1.5777452,-1.6001434,"('rational', 'irrational')",-1.5777451992034912,-1.6001434326171875,-0.02239823341369629
73,1.5752578,1.6295769,"('brilliant', 'incompetent')",1.5752577781677246,1.6295769214630127,0.054319143295288086
42,-1.5100988,-1.5429146,"('amicable', 'hostile')",-1.5100988149642944,-1.542914628982544,-0.03281581401824951
103,1.4845161,1.5693593,"('traditional', 'modern')",1.4845161437988281,1.569359302520752,0.08484315872192383
92,-1.401793,-1.4431317,"('unwavering', 'wavering')",-1.4017930030822754,-1.443131685256958,-0.04133868217468262
39,-1.3963645,-1.3632402,"('right', 'wrong')",-1.396364450454712,-1.3632402420043945,0.03312420845031738
58,1.3854191,1.4300355,"('able', 'clumsy')",1.3854191303253174,1.4300354719161987,0.04461634159088135
86,-1.3742641,-1.4557189,"('self-reliant', 'helpless')",-1.374264121055603,-1.4557188749313354,-0.08145475387573242
26,1.3511763,1.5260453,"('trustworthy', 'untrustworthy')",1.3511762619018555,1.526045322418213,0.17486906051635742
51,1.3493148,1.50244,"('competent', 'incompetent')",1.34931480884552,1.5024399757385254,0.15312516689300537
15,1.3105606,1.4491649,"('polite', 'impolite')",1.3105605840682983,1.449164867401123,0.1386042833328247
95,1.2490036,1.3402438,"('rich', 'poor')",1.2490036487579346,1.3402438163757324,0.09124016761779785
60,1.2406533,1.3671336,"('educated', 'uneducated')",1.2406532764434814,1.367133617401123,0.1264803409576416
13,1.2196877,1.381983,"('helpful', 'unhelpful')",1.2196877002716064,1.3819830417633057,0.16229534149169922
7,-1.2116865,-1.285087,"('outgoing', 'distant')",-1.2116864919662476,-1.285086989402771,-0.07340049743652344
9,1.195107,1.2399749,"('sensitive', 'insensitive')",1.1951069831848145,1.239974856376648,0.044867873191833496
37,-1.1800318,-1.3432759,"('good', 'evil')",-1.1800317764282227,-1.3432759046554565,-0.1632441282272339
85,1.165657,1.2840014,"('ambitious', 'unambitious')",1.1656570434570312,1.284001350402832,0.11834430694580078
36,1.1578139,1.2107172,"('tolerant', 'intolerant')",1.1578139066696167,1.2107172012329102,0.05290329456329346
47,1.099876,1.2054536,"('forgiving', 'unforgiving')",1.099876046180725,1.205453634262085,0.10557758808135986
72,1.0683848,1.1836728,"('logical', 'illogical')",1.0683847665786743,1.1836727857589722,0.11528801918029785
31,-1.0422895,-1.0891299,"('altruistic', 'egoistic')",-1.0422894954681396,-1.08912992477417,-0.04684042930603027
27,1.0289892,1.2502838,"('sincere', 'insincere')",1.0289891958236694,1.2502838373184204,0.22129464149475098
59,-1.0126487,-0.97731066,"('skillful', 'clumsy')",-1.0126487016677856,-0.9773106575012207,0.03533804416656494
18,0.9982668,1.0729373,"('social', 'asocial')",0.9982668161392212,1.072937250137329,0.07467043399810791
90,0.97465336,0.9835528,"('motivated', 'unmotivated')",0.9746533632278442,0.9835528135299683,0.008899450302124023
28,0.9153862,1.0240657,"('honest', 'dishonest')",0.9153861999511719,1.0240657329559326,0.10867953300476074
56,-0.9148251,-0.9668248,"('intelligent', 'dumb')",-0.9148250818252563,-0.9668248295783997,-0.05199974775314331
83,0.89038515,0.9324573,"('energetic', 'lethargic')",0.8903851509094238,0.9324573278427124,0.042072176933288574
105,0.88964045,1.0470078,"('conventional', 'modern')",0.8896404504776001,1.0470077991485596,0.15736734867095947
49,0.87824947,0.9678767,"('responsible', 'irresponsible')",0.87824946641922,0.967876672744751,0.089627206325531
88,-0.872633,-0.90667474,"('impulsive', 'meek')",-0.8726329803466797,-0.9066747426986694,-0.034041762351989746
34,0.87106866,1.057491,"('loyal', 'disloyal')",0.8710686564445496,1.0574909448623657,0.18642228841781616
104,-0.83318764,-0.7735713,"('conventional', 'unconventional')",-0.8331876397132874,-0.7735713124275208,0.0596163272857666
23,-0.80844724,-0.88100517,"('hospitable', 'inhospitable')",-0.8084472417831421,-0.8810051679611206,-0.07255792617797852
74,0.79172873,0.9164784,"('insightful', 'unperceptive')",0.7917287349700928,0.9164783954620361,0.12474966049194336
84,-0.7626876,-0.78270876,"('self-confident', 'diffident')",-0.762687623500824,-0.7827087640762329,-0.020021140575408936
65,0.73158896,0.7878096,"('practical', 'impractical')",0.7315889596939087,0.7878096103668213,0.0562206506729126
6,-0.7132383,-0.7464729,"('liked', 'disliked')",-0.7132382988929749,-0.7464728951454163,-0.033234596252441406
29,0.7003974,0.784098,"('honest', 'immoral')",0.7003973722457886,0.7840980291366577,0.08370065689086914
45,-0.6581694,-0.6925755,"('cooperative', 'exploitative')",-0.6581693887710571,-0.6925755143165588,-0.03440612554550171
14,0.6564398,0.76820254,"('supportive', 'unsupportive')",0.6564397811889648,0.768202543258667,0.11176276206970215
46,-0.6477121,-0.6005625,"('generous', 'stingy')",-0.6477121114730835,-0.6005625128746033,0.047149598598480225
77,-0.6466882,-0.7535817,"('active', 'inactive')",-0.6466882228851318,-0.753581702709198,-0.10689347982406616
62,0.6284499,0.7157684,"('creative', 'uncreative')",0.6284499168395996,0.7157683968544006,0.08731848001480103
21,0.6221848,0.46320233,"('nice', 'nasty')",0.6221848130226135,0.4632023274898529,-0.15898248553276062
63,-0.5892623,-0.6360256,"('capable', 'incapable')",-0.5892623066902161,-0.636025607585907,-0.04676330089569092
