,p_male,p_female,tuple,n_male,n_female,c_male,c_female,financial_male,financial_female,services_male,services_female,grp_male,grp_female,average_male,average_female,female-male
75,5.906818,5.698894,"('confident', 'shy')",6.49354,6.315895,7.0056243,6.856675,4.7478085,4.7450867,5.3151054,4.8645015,2.9577565,2.7186718,5.404442469278972,5.199954032897949,-0.20448843638102243
6,5.546754,5.417367,"('liked', 'disliked')",5.4350767,5.3671246,5.383968,5.969698,4.1848297,4.304131,4.3927617,4.2316628,1.9617064,1.728818,4.484182675679524,4.503133455912272,0.018950780232747988
27,-5.0446215,-4.852794,"('sincere', 'insincere')",-4.8499517,-4.7563567,-4.7517776,-5.1137066,-5.5783415,-5.4368973,-6.2348614,-6.1440926,-2.777441,-2.400365,-4.872832616170247,-4.784035682678223,0.08879693349202444
95,-4.9247603,-4.9537296,"('rich', 'poor')",-4.800147,-4.837388,-5.479868,-5.6191688,-4.7552395,-4.7547545,-5.012558,-4.8777742,-2.6789002,-2.580873,-4.608578681945801,-4.60394827524821,0.00463040669759085
53,-4.3820124,-4.299055,"('smart', 'stupid')",-4.2956867,-4.2566066,-4.4754753,-4.5984755,-4.2273293,-4.337402,-4.4375114,-4.4690895,-2.6308956,-2.6459038,-4.0748186111450195,-4.101088841756185,-0.02627023061116507
40,-3.9544518,-3.9910674,"('honorable', 'mean')",-4.5722113,-4.54722,-4.940078,-5.010788,-4.5745544,-4.7501445,-4.2278633,-4.2784047,-2.255632,-2.254498,-4.087464968363444,-4.1386871337890625,-0.051222165425618194
86,2.5117717,2.5217347,"('self-reliant', 'helpless')",2.884202,2.8725212,3.3260617,3.5815513,1.7163142,1.6114154,3.2632198,2.9880178,0.7471684,0.7349386,2.408123016357422,2.385029951731364,-0.02309306462605809
13,-2.506481,-2.555758,"('helpful', 'unhelpful')",-1.8832288,-2.0352762,-1.1570512,-1.8117225,-3.5039062,-3.4662828,-3.9658756,-3.8306804,-1.1262548,-1.0944451,-2.357132911682129,-2.465694268544515,-0.10856135686238622
58,-2.3675826,-2.0809917,"('able', 'clumsy')",-1.9337018,-1.8707173,-1.6440129,-1.6706612,-1.242275,-1.0715499,-2.083808,-1.7832716,-0.8109692,-0.71289873,-1.6803916295369465,-1.5316816965738933,0.14870993296305324
50,2.3198996,2.0806065,"('unprejudiced', 'prejudiced')",2.294519,2.0479226,2.399356,2.6354666,1.3874567,1.3604696,1.801063,1.4529591,0.7633059,0.42654556,1.8275998433430989,1.6673281987508137,-0.16027164459228516
