,c_male,c_female,tuple,f_male,f_female,industries_male,industries_female,holdings_male,holdings_female,average_male,average_female,female-male
75,7.0056243,6.856675,"('confident', 'shy')",5.744467,5.7505536,5.4495916,5.5067234,5.658599,6.241472,5.964570999145508,6.088856220245361,0.12428522109985352
95,-5.479868,-5.6191688,"('rich', 'poor')",-4.7923074,-5.2027245,-5.904777,-5.936,-6.1715283,-6.6570215,-5.587120056152344,-5.853728294372559,-0.26660823822021484
6,5.383968,5.969698,"('liked', 'disliked')",6.2401457,6.3095226,5.2117295,5.4084234,6.4326763,6.7903547,5.817129611968994,6.119500160217285,0.302370548248291
40,-4.940078,-5.010788,"('honorable', 'mean')",-4.3203845,-4.5329113,-4.9742317,-5.449584,-4.99464,-5.475706,-4.807333469390869,-5.117247581481934,-0.30991411209106445
27,-4.7517776,-5.1137066,"('sincere', 'insincere')",-5.1722507,-5.3027873,-6.1141653,-6.1939087,-6.638048,-7.0595007,-5.669060230255127,-5.917475700378418,-0.24841547012329102
53,-4.4754753,-4.5984755,"('smart', 'stupid')",-4.0618067,-4.1748624,-4.3797617,-4.6491446,-4.6145515,-4.657486,-4.382898807525635,-4.519992351531982,-0.13709354400634766
86,3.3260617,3.5815513,"('self-reliant', 'helpless')",3.001913,2.9979134,3.0003362,2.8523922,3.5907848,3.8159852,3.229773998260498,3.3119606971740723,0.08218669891357422
48,2.6342964,2.4865189,"('reliable', 'unreliable')",2.7379193,2.6114213,2.7541041,2.3794923,2.2076168,2.184045,2.583484172821045,2.4153695106506348,-0.16811466217041016
33,-2.417898,-2.2093263,"('softhearted', 'hardhearted')",-0.7266284,-0.7215935,-0.44363824,-0.53811026,-1.4536307,-1.3283123,-1.260448932647705,-1.1993355751037598,0.06111335754394531
50,2.399356,2.6354666,"('unprejudiced', 'prejudiced')",2.1660395,1.9731851,2.061376,1.8984665,2.525052,2.5821576,2.2879557609558105,2.2723188400268555,-0.015636920928955078
1,-2.3322873,-1.8175201,"('friendly', 'unfriendly')",-1.4483471,-1.3958213,-1.252713,-1.0838089,-0.8443091,-0.73054564,-1.4694139957427979,-1.256924033164978,0.21248996257781982
66,2.1226792,2.0995133,"('imaginative', 'unimaginative')",2.6894672,2.630722,1.4042475,1.4593841,2.2398949,2.5875924,2.11407208442688,2.194302797317505,0.080230712890625
34,-1.9675052,-1.9153135,"('loyal', 'disloyal')",-2.1880205,-1.8705204,-1.9070129,-1.7102609,-2.0474734,-2.0751586,-2.02750301361084,-1.8928133249282837,0.13468968868255615
32,-1.934588,-1.4184825,"('benevolent', 'hardhearted')",-1.22421,-0.9327705,-1.7357057,-1.4623319,-0.8464395,-0.33411533,-1.4352357387542725,-1.0369250774383545,0.39831066131591797
64,-1.8047378,-1.9346783,"('clever', 'incompetent')",-0.8185034,-0.7446703,-0.8207467,-0.9758865,-2.019369,-2.135729,-1.3658392429351807,-1.4477410316467285,-0.08190178871154785
21,1.7513738,1.5401767,"('nice', 'nasty')",1.1061163,1.0824485,0.66968817,0.4916951,0.77133566,0.8175553,1.074628472328186,0.9829689264297485,-0.0916595458984375
31,-1.6616162,-1.1164116,"('altruistic', 'egoistic')",-0.5173396,-0.5285325,-0.53132087,-0.46518314,-0.23184443,-0.1798492,-0.7355302572250366,-0.5724940896034241,0.16303616762161255
58,-1.6440129,-1.6706612,"('able', 'clumsy')",-2.0749729,-1.8382783,-1.9521034,-1.8613001,-1.9926922,-2.0978327,-1.915945291519165,-1.8670181035995483,0.0489271879196167
3,1.5928342,1.8165653,"('likable', 'unlikable')",1.9170214,1.9031427,1.393158,1.472019,1.212531,1.376033,1.5288861989974976,1.6419398784637451,0.11305367946624756
28,-1.5845377,-1.61567,"('honest', 'dishonest')",-2.0267966,-1.9548106,-1.459863,-1.6345155,-1.9167614,-1.9680886,-1.7469897270202637,-1.7932711839675903,-0.04628145694732666
67,-1.5828335,-1.4993699,"('discriminating', 'undiscriminating')",-0.652033,-0.44847095,-0.9674199,-0.882819,-0.95261633,-0.67132825,-1.038725733757019,-0.875497043132782,0.16322869062423706
51,-1.5719814,-1.7175635,"('competent', 'incompetent')",-0.31023973,-0.41703594,-0.98987365,-0.91886973,-1.2937353,-1.301471,-1.0414575338363647,-1.0887351036071777,-0.04727756977081299
38,-1.4987268,-1.6090522,"('kind', 'unkind')",-1.4007804,-1.0581887,-2.329781,-2.1823597,-2.1110625,-2.1741424,-1.8350876569747925,-1.755935788154602,0.07915186882019043
11,-1.4914222,-1.7377765,"('caring', 'unaffectionate')",-1.3480446,-1.3127519,-1.6257833,-1.4885998,-1.9007652,-1.7334057,-1.5915038585662842,-1.5681334733963013,0.02337038516998291
60,-1.4678047,-1.0394053,"('educated', 'uneducated')",-0.467049,-0.19192454,-1.2228687,-0.9266211,-0.8248145,-0.94968426,-0.9956342577934265,-0.7769087553024292,0.21872550249099731
63,-1.4278337,-1.1676528,"('capable', 'incapable')",-1.8152499,-1.8160806,-0.6796694,-0.76317525,-0.72232276,-1.0001471,-1.161268949508667,-1.1867640018463135,-0.025495052337646484
