,brookfield_male,brookfield_female,tuple,property_male,property_female,reit_male,reit_female,average_male,average_female,female-male
75,2.789164,2.718458,"('confident', 'shy')",2.4829965,2.2376924,2.5491168,2.5937324,2.607092539469401,2.516627470652262,-0.09046506881713867
107,2.2852569,2.7478085,"('conventional', 'modern')",-0.29776815,-0.03385091,0.14031023,0.18539552,0.7092663447062174,0.9664510091145834,0.25718466440836596
41,-2.2784421,-2.333642,"('incorrupt', 'corrupt')",1.3899274,1.5108553,-0.032384247,0.24417385,-0.3069663445154826,-0.1928709348042806,0.114095409711202
71,2.1737537,1.9581198,"('efficient', 'inefficient')",0.180637,-0.22973517,-0.11891085,-0.41741705,0.7451599438985189,0.4369891881942749,-0.308170755704244
104,-2.0905683,-2.0252836,"('conventional', 'unconventional')",0.41119033,0.78242964,-0.163908,0.13115951,-0.6144286791483561,-0.3705647786458333,0.24386390050252277
99,-2.0014472,-2.113578,"('prestigious', 'insignificant')",-0.6377777,-0.32998312,-0.47303316,-0.4037879,-1.0374193986256917,-0.9491163094838461,0.08830308914184559
94,1.9994304,2.2021575,"('aggressive', 'submissive')",-0.015293628,-0.062298834,0.27475607,0.22803974,0.7529643376668295,0.789299488067627,0.03633515040079749
109,1.9313369,1.6268172,"('conservative', 'liberal')",0.16036975,0.109604076,-0.013523571,0.03725896,0.6927277247111002,0.5912267764409384,-0.10150094827016187
108,1.9313369,1.6268172,"('conservative', 'liberal')",0.16036975,0.109604076,-0.013523571,0.03725896,0.6927277247111002,0.5912267764409384,-0.10150094827016187
76,1.8699802,1.8507254,"('secure', 'insecure')",0.5960936,0.31460148,0.024572402,-0.01795625,0.8302153746287028,0.7157901922861735,-0.1144251823425293
90,1.7738976,1.4899375,"('motivated', 'unmotivated')",0.35962301,0.26549497,0.4323298,0.34960195,0.8552834987640381,0.7016781171162924,-0.15360538164774573
42,-1.669537,-1.6854023,"('amicable', 'hostile')",0.98861027,1.2943693,0.5947784,0.8762353,-0.028716087341308594,0.16173412402470908,0.19045021136601767
22,1.6284442,1.248939,"('welcoming', 'disagreeable')",1.9256524,1.7710621,0.7982916,0.72425336,1.450796127319336,1.2480848630269368,-0.20271126429239916
16,1.5777452,1.5286621,"('social', 'antisocial')",-0.73029196,-0.8756206,0.1766853,0.087166965,0.3413795232772827,0.24673614899317423,-0.09464337428410849
15,1.5484012,1.5564507,"('polite', 'impolite')",-0.14040142,-0.13161486,0.17945439,0.3795675,0.5291513601938883,0.6014678080876669,0.07231644789377856
5,1.5329225,1.33348,"('pleasant', 'repellent')",0.27379775,0.36577868,0.2037237,0.0046932697,0.670147975285848,0.5679839849472046,-0.10216399033864343
32,-1.4189106,-1.2805464,"('benevolent', 'hardhearted')",-0.67336285,-0.59137946,-1.0830381,-1.0783468,-1.05843718846639,-0.983424186706543,0.07501300175984693
85,1.3699906,1.5490596,"('ambitious', 'unambitious')",-0.96168673,-0.9410318,0.34252742,0.18397221,0.2502770821253459,0.26400001843770343,0.013722936312357548
64,1.3424554,1.4254937,"('clever', 'incompetent')",-0.35611516,-0.40880156,-0.17949674,-0.24740717,0.2689478397369385,0.256428321202596,-0.012519518534342466
68,-1.3408093,-1.3214647,"('clever', 'inept')",-0.084753424,-0.23465326,-0.56557536,-0.71479046,-0.6637127002080282,-0.7569694519042969,-0.09325675169626868
69,-1.2979946,-1.3496276,"('wise', 'foolish')",0.44865343,0.46481383,-0.43844298,-0.3341641,-0.4292613665262858,-0.4063259760538737,0.02293539047241211
25,1.2745694,0.8644501,"('moral', 'immoral')",-0.86214465,-0.938221,-0.6610591,-0.7066103,-0.08287811279296875,-0.26012706756591797,-0.17724895477294922
40,-1.2711772,-1.4704262,"('honorable', 'mean')",-2.7028933,-2.8952417,-1.584106,-1.7829598,-1.8527255058288574,-2.0495425860087075,-0.1968170801798501
98,-1.2483906,-1.374619,"('prestigious', 'insignificant')",-0.05646971,0.09562209,-0.4617492,-0.41814578,-0.5888698101043701,-0.5657142400741577,0.023155570030212402
89,1.2001462,1.2065918,"('daring', 'anxious')",0.21926004,0.10239658,-0.66660464,-0.83840597,0.25093384583791095,0.1568608283996582,-0.09407301743825275
52,1.1691241,1.5792048,"('competitive', 'uncompetitive')",-0.8451113,-0.7249553,0.3141383,0.38482183,0.21271703640619913,0.4130237897237142,0.20030675331751505
72,-1.154605,-1.0404725,"('logical', 'illogical')",-0.17063744,-0.087918825,-0.078703314,-0.051440477,-0.4679819345474243,-0.39327728748321533,0.07470464706420898
60,1.1374002,1.1522452,"('educated', 'uneducated')",-0.10819332,0.30185568,0.27679196,0.4660622,0.4353329340616862,0.6400543451309204,0.2047214110692342
0,1.1326656,1.3894923,"('sociable', 'unsociable')",-0.43999553,-0.13314983,0.1469675,0.29980087,0.27987921237945557,0.518714427947998,0.23883521556854248
84,-1.1152385,-1.2111074,"('self-confident', 'diffident')",-1.0310212,-1.0698924,0.5140258,0.5586107,-0.54407799243927,-0.5741296609242758,-0.030051668485005734
78,1.1096066,0.94255656,"('active', 'inactive')",1.3379686,1.0504652,2.1379428,1.8390759,1.5285059611002605,1.2773658434549968,-0.25114011764526367
1,-1.0948942,-0.97162706,"('friendly', 'unfriendly')",-0.0048378706,0.17139176,0.13017026,0.19200747,-0.32318727175394696,-0.20274259646733603,0.12044467528661093
2,1.094392,1.2732521,"('friendly', 'unfriendly')",0.20037991,0.3277799,0.16771021,0.14352804,0.4874940315882365,0.5815200010935465,0.09402596950531
73,1.0638771,0.9178611,"('brilliant', 'incompetent')",-0.6935969,-0.8445338,-0.097021714,-0.46796829,0.09108616908391316,-0.13154699405034384,-0.22263316313425702
105,-1.06184,-1.001894,"('conventional', 'modern')",-0.24691375,-0.17799434,-0.257819,-0.109052524,-0.5221909681955973,-0.42964696884155273,0.09254399935404456
103,1.0198015,0.7710564,"('traditional', 'modern')",1.2334048,1.3321347,0.5643828,0.69211346,0.9391963481903076,0.9317681789398193,-0.007428169250488281
14,1.0084565,1.090693,"('supportive', 'unsupportive')",0.005246669,0.037813485,1.0218601,0.90453213,0.6785210768381754,0.6776795387268066,-0.0008415381113687781
3,1.0040511,1.021716,"('likable', 'unlikable')",-0.75883293,-0.7921754,0.46138114,0.5543226,0.2355330983797709,0.26128772894541424,0.02575463056564334
38,0.9918436,1.1898694,"('kind', 'unkind')",-1.0558254,-0.63625336,-1.1284776,-0.91121954,-0.39748644828796387,-0.11920116345087688,0.278285284837087
49,0.9866532,1.1216168,"('responsible', 'irresponsible')",-0.69425017,-0.9786365,-0.39790297,-0.5683673,-0.035166641076405845,-0.1417956550916036,-0.10662901401519775
8,-0.9659442,-1.1462746,"('open', 'distant')",1.0094023,0.81982934,0.8738471,0.7481344,0.3057684103647868,0.14056305090586343,-0.16520535945892337
65,0.9232975,0.9118829,"('practical', 'impractical')",-1.3724298,-1.4863219,-0.96757126,-1.0928574,-0.4722345272699992,-0.5557654698689779,-0.0835309425989787
53,-0.89721704,-0.9057877,"('smart', 'stupid')",-2.1423366,-2.3254828,-1.6204169,-1.8260267,-1.5533234278361003,-1.6857657432556152,-0.1324423154195149
31,-0.8935266,-0.9994297,"('altruistic', 'egoistic')",-0.13693629,0.15433091,0.21632013,0.19433415,-0.2713809013366699,-0.21692154804865518,0.05445935328801474
61,-0.87538195,-0.7567715,"('rational', 'irrational')",1.2448945,1.4923204,0.5267874,0.6073152,0.29876665274302167,0.44762134552001953,0.14885469277699787
44,-0.85192,-0.63404894,"('truthful', 'untruthful')",-1.3461802,-1.0855149,-0.0874387,-0.0909853,-0.7618462244669596,-0.6035163799921671,0.15832984447479248
55,0.8470675,1.0692081,"('intelligent', 'unintelligent')",-0.21119028,-0.07803163,0.29976094,0.36373496,0.3118793765703837,0.4516371488571167,0.13975777228673297
95,-0.8445564,-0.884459,"('rich', 'poor')",-3.004667,-2.9878206,-1.5973499,-1.7979912,-1.815524419148763,-1.8900903065999348,-0.07456588745117188
35,-0.8435651,-0.67036855,"('fair', 'unfair')",1.355655,1.2104404,0.6390628,0.8578193,0.38371753692626953,0.4659637212753296,0.08224618434906006
12,0.8294439,1.1511176,"('sympathetic', 'unsympathetic')",-0.9820043,-0.8703796,-0.5572707,-0.48715878,-0.2366103728612264,-0.06880694627761841,0.167803426583608
80,0.7880096,0.57974494,"('independent', 'dependent')",2.0751615,1.9786515,0.95327854,1.1590098,1.272149880727132,1.2391354242960613,-0.033014456431070816
