,donnelley_male,donnelley_female,tuple,r_male,r_female,&_male,&_female,sons_male,sons_female,average_male,average_female,female-male
75,3.1945987,3.0031755,"('confident', 'shy')",4.678119,4.584007,4.0087137,4.0352073,6.600216,6.876439,4.6204118728637695,4.624707221984863,0.00429534912109375
95,-2.5965471,-2.5850954,"('rich', 'poor')",-5.0232973,-5.154047,-4.6163955,-4.796937,-6.068225,-6.3244095,-4.576116561889648,-4.715122222900391,-0.1390056610107422
27,-1.705229,-1.7692502,"('sincere', 'insincere')",-5.898135,-5.580571,-4.1355467,-3.9827933,-7.148365,-7.2411447,-4.721818923950195,-4.643439769744873,0.07837915420532227
22,1.684891,1.3702238,"('welcoming', 'disagreeable')",0.80267024,0.8156011,-0.26900083,-0.2040399,1.2018439,1.2095165,0.8551011085510254,0.7978253364562988,-0.05727577209472656
6,1.5555017,1.8299284,"('liked', 'disliked')",6.0096893,5.801903,4.5879793,4.393346,6.6187916,6.978122,4.692990303039551,4.750824928283691,0.057834625244140625
40,-1.4308453,-1.6971729,"('honorable', 'mean')",-4.1685147,-4.171002,-3.1803021,-3.355461,-5.1519556,-5.592538,-3.4829044342041016,-3.704043388366699,-0.22113895416259766
54,1.4087795,0.90373087,"('smart', 'stupid')",1.0212784,0.688921,1.0975463,1.0455928,0.41262966,0.23624101,0.9850584864616394,0.7186214327812195,-0.2664370536804199
53,-1.3757234,-1.2332674,"('smart', 'stupid')",-3.9753823,-3.786947,-2.785178,-2.6608834,-5.5811896,-5.789976,-3.429368495941162,-3.3677685260772705,0.0615999698638916
78,1.1082283,0.5454041,"('active', 'inactive')",1.8184805,1.5538692,1.0016036,0.7120829,2.3025408,1.9323573,1.557713270187378,1.1859283447265625,-0.37178492546081543
90,1.1021293,0.5924818,"('motivated', 'unmotivated')",-0.46883762,-0.7213829,0.6029837,0.55173934,0.6677436,0.40206987,0.47600477933883667,0.20622701942920685,-0.2697777599096298
48,1.0652847,0.9228055,"('reliable', 'unreliable')",1.9160876,1.6326486,1.5736834,1.3709737,2.8258152,2.7317488,1.8452177047729492,1.6645441055297852,-0.18067359924316406
68,-1.0592086,-1.027792,"('clever', 'inept')",-0.80453247,-1.0925299,-1.4675927,-1.5158814,-0.7960947,-1.1116377,-1.0318571329116821,-1.186960220336914,-0.15510308742523193
10,-1.0236502,-0.9866723,"('affectionate', 'unaffectionate')",-0.22065347,-0.26261806,0.22535588,0.18459022,-0.96655035,-0.8656627,-0.49637454748153687,-0.4825907051563263,0.013783842325210571
109,0.9746903,0.5998337,"('conservative', 'liberal')",-0.26314762,-0.16381651,1.8477361,2.2259586,0.33354685,0.34025326,0.7232064604759216,0.7505573034286499,0.02735084295272827
108,0.9746903,0.5998337,"('conservative', 'liberal')",-0.26314762,-0.16381651,1.8477361,2.2259586,0.33354685,0.34025326,0.7232064604759216,0.7505573034286499,0.02735084295272827
110,-0.9385234,-0.6683955,"('narrow-minded', 'open-minded')",-0.2873136,-0.29825777,0.9423672,0.7834036,-0.46019477,-0.5737566,-0.18591614067554474,-0.18925157189369202,-0.003335431218147278
11,-0.93717366,-0.93892115,"('caring', 'unaffectionate')",-1.5280482,-1.5550973,-0.93532413,-0.9677944,-1.8674345,-1.8508031,-1.3169951438903809,-1.3281540870666504,-0.011158943176269531
105,-0.84249973,-0.83234286,"('conventional', 'modern')",-0.371147,-0.3978505,-1.011471,-1.0496438,-0.5926394,-0.45837632,-0.7044392824172974,-0.6845533847808838,0.019885897636413574
70,0.8349204,1.2108967,"('wise', 'unwise')",1.0339942,1.0525231,-0.22921562,-0.1455794,0.5151338,0.6280129,0.5387082099914551,0.6864633560180664,0.14775514602661133
37,0.8323714,0.97810996,"('good', 'evil')",2.29557,2.286471,0.43938786,0.26428354,2.2894464,2.4934924,1.4641938209533691,1.505589246749878,0.04139542579650879
101,-0.8232051,-1.1696659,"('successful', 'unsuccessful')",-1.0047952,-0.97407115,-0.89957243,-0.94783556,-0.5737295,-0.41425192,-0.8253255486488342,-0.8764561414718628,-0.051130592823028564
32,-0.82160985,-0.8669617,"('benevolent', 'hardhearted')",-0.13078511,0.07860242,-1.297818,-0.9707644,-1.0330983,-0.72843707,-0.820827841758728,-0.6218901872634888,0.19893765449523926
79,0.79708743,0.58361065,"('determined', 'doubtful')",0.023052841,0.29368335,0.8897472,0.8180775,0.32450235,0.33581525,0.5085974931716919,0.5077967047691345,-0.000800788402557373
102,0.79552495,0.3472002,"('eminent', 'low')",-0.28220147,-0.3149167,-0.29299122,-0.49591234,-0.5331594,-0.25659233,-0.07820677757263184,-0.18005529046058655,-0.10184851288795471
5,0.79519284,0.88417166,"('pleasant', 'repellent')",-1.3294761,-1.155217,0.30515563,0.32166058,-0.39904836,-0.55554456,-0.15704399347305298,-0.1262323409318924,0.030811652541160583
103,0.7810738,0.69731706,"('traditional', 'modern')",-0.7980172,-0.6409632,0.43213966,0.44099018,0.6756332,0.7647191,0.27270737290382385,0.31551578640937805,0.0428084135055542
66,0.7782745,1.3956187,"('imaginative', 'unimaginative')",1.4146926,1.3526969,1.7984312,1.9160259,2.365839,2.521893,1.5893093347549438,1.7965586185455322,0.20724928379058838
25,0.75776476,0.2083019,"('moral', 'immoral')",-1.9530535,-1.9021465,-0.5495923,-0.42972127,-0.8401099,-1.0360556,-0.6462476849555969,-0.7899053692817688,-0.14365768432617188
88,-0.7502672,-0.32433832,"('impulsive', 'meek')",1.4210994,1.3855665,1.1357977,0.689323,2.2270055,2.1088176,1.008408784866333,0.9648422002792358,-0.04356658458709717
50,0.7436354,0.70911443,"('unprejudiced', 'prejudiced')",2.0995977,1.8451054,2.6318374,2.5001001,2.152299,1.99436,1.9068423509597778,1.7621699571609497,-0.14467239379882812
14,0.741862,0.640572,"('supportive', 'unsupportive')",1.0689139,0.9533297,0.8450122,0.7476977,0.46728355,0.5953196,0.7807679176330566,0.7342298030853271,-0.04653811454772949
51,-0.73566765,-0.36997992,"('competent', 'incompetent')",-1.0679318,-0.9822061,-0.48839974,-0.38361037,-0.6170997,-0.5237781,-0.7272747159004211,-0.5648936033248901,0.162381112575531
3,0.7295426,0.88188267,"('likable', 'unlikable')",1.1115152,1.1483252,0.5202945,0.25173515,2.0682847,2.0590985,1.1074092388153076,1.0852603912353516,-0.022148847579956055
46,0.71256053,0.95858616,"('generous', 'stingy')",2.102368,2.2674723,1.1583265,1.4427539,2.0387788,2.2052574,1.503008484840393,1.7185174226760864,0.21550893783569336
17,-0.71139854,-0.35685727,"('social', 'antisocial')",0.022711515,0.15872484,0.33156028,0.40966216,0.034529135,0.25853926,-0.08064940571784973,0.11751724779605865,0.1981666535139084
80,0.70196974,0.57300514,"('independent', 'dependent')",-0.05233419,0.08161454,0.06652625,0.013384938,0.96698606,0.93314797,0.42078697681427,0.4002881646156311,-0.020498812198638916
106,0.675591,0.28984514,"('conventional', 'unconventional')",0.18668665,0.4503115,1.2993984,1.4505728,-0.22395101,-0.25514483,0.4844312369823456,0.4838961958885193,-0.0005350410938262939
16,0.663596,0.65502024,"('social', 'antisocial')",-0.6668645,-0.42807254,0.2795266,0.46477503,-0.012901664,0.07551962,0.06583909690380096,0.19181059300899506,0.1259714961051941
18,0.6466714,0.86677516,"('social', 'asocial')",-1.3991891,-1.2886174,-0.2036233,-0.10633722,-0.9984114,-0.7829731,-0.48863810300827026,-0.3277881145477295,0.16084998846054077
41,-0.6325933,-0.41196555,"('incorrupt', 'corrupt')",1.7536148,1.7993945,0.18403721,0.1262362,1.4722562,1.5859637,0.6943287253379822,0.7749072313308716,0.0805785059928894
