,d_male,d_female,tuple,r_male,r_female,horton_male,horton_female,average_male,average_female,female-male
75,5.1204915,5.1535187,"('confident', 'shy')",4.678119,4.584007,6.5322485,7.2631216,5.443620045979817,5.666882832845052,0.22326278686523438
6,4.9519577,4.8808174,"('liked', 'disliked')",6.0096893,5.801903,4.6279497,6.0393953,5.196532249450684,5.574038187662761,0.3775059382120771
95,-4.822076,-5.0769134,"('rich', 'poor')",-5.0232973,-5.154047,-5.2291775,-6.0809073,-5.024850209554036,-5.437289555867513,-0.41243934631347656
27,-4.719997,-4.731942,"('sincere', 'insincere')",-5.898135,-5.580571,-5.377175,-6.490655,-5.33176867167155,-5.601056416829427,-0.269287745157877
53,-3.8829598,-3.9065392,"('smart', 'stupid')",-3.9753823,-3.786947,-4.489917,-5.2281632,-4.116086324055989,-4.307216644287109,-0.1911303202311201
40,-3.4900103,-3.813635,"('honorable', 'mean')",-4.1685147,-4.171002,-4.028565,-4.994554,-3.8956966400146484,-4.326396942138672,-0.43070030212402344
50,2.2809167,2.1754014,"('unprejudiced', 'prejudiced')",2.0995977,1.8451054,1.8505566,1.9853604,2.077023506164551,2.0019556681315103,-0.07506783803304051
86,2.2429166,2.11827,"('self-reliant', 'helpless')",2.6314495,2.476997,3.2669563,3.4474075,2.713774045308431,2.6808913548787436,-0.0328826904296875
48,1.972025,1.9653144,"('reliable', 'unreliable')",1.9160876,1.6326486,2.5284295,2.795499,2.1388473510742188,2.1311540603637695,-0.007693290710449219
13,-1.9654491,-2.0790076,"('helpful', 'unhelpful')",-2.864157,-2.7873993,-2.1083755,-2.62711,-2.312660535176595,-2.4978389739990234,-0.18517843882242824
78,1.9492927,1.4501741,"('active', 'inactive')",1.8184805,1.5538692,1.069669,1.1756189,1.6124807993570964,1.3932207425435383,-0.2192600568135581
65,-1.6976285,-1.434206,"('practical', 'impractical')",-1.7163599,-1.6003369,-0.29888165,-0.5650172,-1.2376233736673992,-1.1998534202575684,0.0377699534098308
3,1.6832402,1.5597126,"('likable', 'unlikable')",1.1115152,1.1483252,1.4499648,1.5775309,1.4149068196614583,1.4285229047139485,0.013616085052490234
73,-1.669812,-2.0205603,"('brilliant', 'incompetent')",-1.9734893,-2.2427495,-0.51350635,-1.0417662,-1.3856024742126465,-1.768358548482259,-0.38275607426961256
64,-1.6134658,-1.4033856,"('clever', 'incompetent')",-1.8874316,-1.7763953,-0.0027820468,-0.34330463,-1.1678931713104248,-1.1743618647257488,-0.006468693415323967
38,-1.5604048,-1.2151632,"('kind', 'unkind')",-1.937482,-1.6237364,-1.0102708,-1.2537754,-1.502719243367513,-1.3642250696818035,0.1384941736857095
63,-1.5174854,-1.5074782,"('capable', 'incapable')",-1.0171629,-1.0816913,-0.868868,-1.1001475,-1.1345054308573406,-1.2297723293304443,-0.09526689847310377
37,1.5094821,1.5978601,"('good', 'evil')",2.29557,2.286471,1.0263345,1.3835235,1.6104621887207031,1.7559515635172527,0.14548937479654955
66,1.452096,1.4985304,"('imaginative', 'unimaginative')",1.4146926,1.3526969,1.8922709,2.8403096,1.5863531430562336,1.8971789677937825,0.31082582473754883
46,1.4185927,1.4074439,"('generous', 'stingy')",2.102368,2.2674723,1.4472785,1.861871,1.6560797691345215,1.8455956776936848,0.18951590855916334
58,-1.415806,-1.0778582,"('able', 'clumsy')",-1.7822595,-1.4934201,-1.2825888,-1.6825626,-1.4935514132181804,-1.4179469744364421,0.07560443878173828
41,1.4034711,1.6119331,"('incorrupt', 'corrupt')",1.7536148,1.7993945,-0.2000643,0.5237423,0.9856739044189453,1.3116900126139324,0.32601610819498705
25,-1.393141,-1.3147149,"('moral', 'immoral')",-1.9530535,-1.9021465,0.6994763,0.108992755,-0.8822394212086996,-1.0359561443328857,-0.15371672312418616
34,-1.3779712,-1.072719,"('loyal', 'disloyal')",-1.4885316,-1.2581139,-1.6439483,-1.6794605,-1.503483772277832,-1.3367644945780437,0.16671927769978834
29,-1.3756618,-1.3072718,"('honest', 'immoral')",-2.141028,-1.9384382,-0.7816099,-1.1989062,-1.432766596476237,-1.4815387725830078,-0.04877217610677076
42,1.3360059,1.3048327,"('amicable', 'hostile')",1.3348227,1.4744849,-0.1231004,0.4620716,0.8492426872253418,1.0804630915323894,0.2312204043070476
81,1.318996,1.3203127,"('industrious', 'lazy')",2.6868715,2.4653378,1.2058933,1.5080979,1.7372535069783528,1.7645827929178874,0.027329285939534653
68,-1.2955875,-1.2189418,"('clever', 'inept')",-0.80453247,-1.0925299,-1.170997,-1.114325,-1.0903724034627278,-1.1419322490692139,-0.05155984560648608
28,-1.2440917,-1.2390853,"('honest', 'dishonest')",-2.2002091,-1.9643273,-1.9638616,-2.0928745,-1.8027208646138508,-1.7654290199279785,0.03729184468587232
87,-1.2161944,-0.80068415,"('dedicated', 'undedicated')",-1.5366907,-1.227913,-0.29461446,-0.45022318,-1.0158332188924153,-0.8262734413146973,0.18955977757771802
12,-1.1880368,-1.1718972,"('sympathetic', 'unsympathetic')",-2.3745077,-2.1522553,-1.0205922,-1.2139302,-1.5277121861775715,-1.5126941998799641,0.015017986297607422
71,-1.1834722,-1.1809989,"('efficient', 'inefficient')",-2.0267534,-2.0790608,0.5785985,-0.16382408,-0.8772090276082357,-1.1412946383158367,-0.26408561070760095
101,-1.152952,-1.2676868,"('successful', 'unsuccessful')",-1.0047952,-0.97407115,-0.79219663,-0.6854272,-0.9833146731058756,-0.9757283528645834,0.007586320241292244
74,-1.1411352,-1.1636156,"('insightful', 'unperceptive')",-1.3271606,-1.2288857,-1.021999,-1.0483575,-1.1634316444396973,-1.1469529469807942,0.01647869745890307
22,1.068446,1.1483971,"('welcoming', 'disagreeable')",0.80267024,0.8156011,1.104426,0.915912,0.9918474356333414,0.9599700768788656,-0.03187735875447584
100,-1.0653505,-0.8853991,"('influential', 'uninfluential')",-1.1529554,-0.9628501,-0.606097,-0.46758914,-0.9414676825205485,-0.77194611231486,0.16952157020568848
