,time_male,time_female,tuple,warner_male,warner_female,cable_male,cable_female,average_male,average_female,female-male
27,-5.8889647,-5.6677485,"('sincere', 'insincere')",-4.5730667,-4.009102,-6.1028013,-5.555934,-5.5216108957926435,-5.077594757080078,0.4440161387125654
75,5.5682054,5.5192056,"('confident', 'shy')",5.725398,5.5243425,6.0156446,5.4472103,5.7697493235270185,5.496919631958008,-0.2728296915690107
6,4.737488,4.926339,"('liked', 'disliked')",4.4206553,3.9478226,5.2896757,4.7889137,4.815939585367839,4.55435848236084,-0.261581103006999
95,-4.7026687,-4.7851067,"('rich', 'poor')",-4.158615,-4.0107145,-5.364887,-5.2908697,-4.742057164510091,-4.695563634236653,0.0464935302734375
53,-4.3973966,-4.5846324,"('smart', 'stupid')",-3.238103,-2.9861832,-4.9229116,-4.635418,-4.186136881510417,-4.068744659423828,0.11739222208658884
40,-4.370431,-4.698248,"('honorable', 'mean')",-3.7149577,-3.6979198,-4.36156,-4.365141,-4.148982683817546,-4.253769556681315,-0.10478687286376953
13,-4.1647625,-3.923619,"('helpful', 'unhelpful')",-0.9426929,-0.51581955,-2.531962,-2.1085207,-2.5464723904927573,-2.1826531092325845,0.3638192812601728
7,3.6909628,2.9568968,"('outgoing', 'distant')",0.15224016,-0.55029607,1.1581831,0.49796405,1.6671287218729656,0.9681882858276367,-0.6989404360453289
8,3.4756377,2.7445,"('open', 'distant')",-0.13745558,-0.8585173,0.866616,0.122025624,1.4015992482503254,0.6693360805511475,-0.732263167699178
38,-3.3784509,-2.8762662,"('kind', 'unkind')",-0.7537751,-0.38117886,-1.848028,-1.4162859,-1.9934180577596028,-1.5579102834065754,0.43550777435302734
2,-3.3724637,-3.1925187,"('friendly', 'unfriendly')",0.14548779,0.6939056,-0.77538925,-0.31372926,-1.3341217041015625,-0.9374474684397379,0.3966742356618246
37,3.260125,3.2604606,"('good', 'evil')",0.87513804,0.2393927,1.8251898,1.4367244,1.9868176778157551,1.6455259323120117,-0.3412917455037434
25,-3.1366944,-3.1724334,"('moral', 'immoral')",0.47477886,0.76119494,-0.9717416,-0.84014094,-1.211219072341919,-1.0837931632995605,0.1274259090423584
64,-2.9982104,-2.918925,"('clever', 'incompetent')",-0.37443888,0.043696523,-0.89307564,-0.7732069,-1.4219082196553547,-1.216145118077596,0.2057631015777588
