,teledyne_male,teledyne_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
12,2.1414707,2.1933794,"('sympathetic', 'unsympathetic')",-1.2327673,-1.055238,0.45435166358947754,0.5690706968307495,0.11471903324127197
75,2.0196242,2.0010014,"('confident', 'shy')",4.972452,4.929523,3.4960381984710693,3.4652621746063232,-0.030776023864746094
15,1.9313493,2.0392427,"('polite', 'impolite')",0.21999404,0.43981567,1.075671672821045,1.2395292520523071,0.1638575792312622
6,1.8908781,2.037353,"('liked', 'disliked')",5.090419,5.0364676,3.4906485080718994,3.53691029548645,0.04626178741455078
66,1.6643395,1.666776,"('imaginative', 'unimaginative')",1.06368,0.93667066,1.3640098571777344,1.3017232418060303,-0.0622866153717041
95,-1.5977291,-1.6701514,"('rich', 'poor')",-4.3528156,-4.166434,-2.9752724170684814,-2.91829252243042,0.05697989463806152
51,1.4797304,1.4611094,"('competent', 'incompetent')",-0.008145109,0.26877582,0.7357926368713379,0.8649426102638245,0.12914997339248657
104,-1.4456499,-1.26054,"('conventional', 'unconventional')",-0.12189022,0.25310433,-0.7837700247764587,-0.503717839717865,0.28005218505859375
14,1.3982416,1.292785,"('supportive', 'unsupportive')",0.33358848,0.26202676,0.865915060043335,0.7774059176445007,-0.08850914239883423
52,1.3733405,1.4176296,"('competitive', 'uncompetitive')",-0.6764463,-0.5215706,0.3484470844268799,0.448029488325119,0.09958240389823914
83,1.3649204,1.3897532,"('energetic', 'lethargic')",-0.10560799,0.011795163,0.629656195640564,0.7007741928100586,0.07111799716949463
53,-1.3473747,-1.4933014,"('smart', 'stupid')",-3.9699922,-4.000032,-2.6586833000183105,-2.746666669845581,-0.08798336982727051
9,1.2292781,1.192454,"('sensitive', 'insensitive')",-1.1200454,-1.1348997,0.054616332054138184,0.028777122497558594,-0.02583920955657959
61,-1.2235503,-1.1203388,"('rational', 'irrational')",0.6650167,0.7566945,-0.2792668044567108,-0.18182215094566345,0.09744465351104736
