,hershey_male,hershey_female,tuple,average_male,average_female,female-male
75,4.1164374,4.3840485,"('confident', 'shy')",4.1164374351501465,4.3840484619140625,0.267611026763916
66,2.6605935,2.8070915,"('imaginative', 'unimaginative')",2.6605935096740723,2.807091474533081,0.1464979648590088
94,2.535779,2.6560457,"('aggressive', 'submissive')",2.5357789993286133,2.65604567527771,0.12026667594909668
76,2.36101,2.4719594,"('secure', 'insecure')",2.3610100746154785,2.471959352493286,0.11094927787780762
82,-2.1089654,-2.1727223,"('industrious', 'meek')",-2.1089653968811035,-2.172722339630127,-0.06375694274902344
99,-2.022051,-2.2223089,"('prestigious', 'insignificant')",-2.0220510959625244,-2.222308874130249,-0.2002577781677246
16,1.9900968,2.1017635,"('social', 'antisocial')",1.9900968074798584,2.1017634868621826,0.11166667938232422
71,1.9581904,2.020783,"('efficient', 'inefficient')",1.9581904411315918,2.020782947540283,0.0625925064086914
31,-1.8537519,-2.0013888,"('altruistic', 'egoistic')",-1.8537518978118896,-2.0013887882232666,-0.14763689041137695
104,-1.7952173,-1.8135717,"('conventional', 'unconventional')",-1.7952172756195068,-1.8135716915130615,-0.018354415893554688
95,-1.7920321,-2.1139612,"('rich', 'poor')",-1.7920321226119995,-2.1139612197875977,-0.32192909717559814
15,1.789759,2.0106146,"('polite', 'impolite')",1.7897590398788452,2.0106146335601807,0.22085559368133545
2,1.781774,2.0266023,"('friendly', 'unfriendly')",1.7817740440368652,2.026602268218994,0.2448282241821289
107,1.727092,1.7809552,"('conventional', 'modern')",1.7270920276641846,1.780955195426941,0.05386316776275635
3,1.7034063,1.9562464,"('likable', 'unlikable')",1.7034063339233398,1.9562463760375977,0.2528400421142578
53,-1.6893513,-1.778506,"('smart', 'stupid')",-1.6893513202667236,-1.7785060405731201,-0.08915472030639648
83,1.6586452,1.7627796,"('energetic', 'lethargic')",1.6586451530456543,1.7627795934677124,0.1041344404220581
109,1.655922,1.6265606,"('conservative', 'liberal')",1.6559220552444458,1.6265605688095093,-0.029361486434936523
108,1.655922,1.6265606,"('conservative', 'liberal')",1.6559220552444458,1.6265605688095093,-0.029361486434936523
52,1.6433184,1.7962141,"('competitive', 'uncompetitive')",1.6433184146881104,1.7962141036987305,0.15289568901062012
48,1.5999006,1.6857938,"('reliable', 'unreliable')",1.5999006032943726,1.6857937574386597,0.08589315414428711
81,-1.5874194,-1.5465634,"('industrious', 'lazy')",-1.5874193906784058,-1.5465633869171143,0.040856003761291504
6,1.5339131,1.6569438,"('liked', 'disliked')",1.5339131355285645,1.6569437980651855,0.1230306625366211
1,-1.5108325,-1.783017,"('friendly', 'unfriendly')",-1.5108325481414795,-1.7830170392990112,-0.27218449115753174
5,1.496944,1.604192,"('pleasant', 'repellent')",1.4969439506530762,1.6041920185089111,0.10724806785583496
33,-1.4727871,-1.5071186,"('softhearted', 'hardhearted')",-1.4727871417999268,-1.507118582725525,-0.034331440925598145
32,-1.4534646,-1.5796975,"('benevolent', 'hardhearted')",-1.4534646272659302,-1.5796974897384644,-0.12623286247253418
40,-1.4500935,-1.6991615,"('honorable', 'mean')",-1.4500935077667236,-1.6991615295410156,-0.249068021774292
27,-1.445969,-1.47495,"('sincere', 'insincere')",-1.4459689855575562,-1.4749499559402466,-0.02898097038269043
41,-1.418726,-1.4503381,"('incorrupt', 'corrupt')",-1.4187259674072266,-1.4503381252288818,-0.03161215782165527
8,-1.3974307,-1.5976413,"('open', 'distant')",-1.397430658340454,-1.5976413488388062,-0.20021069049835205
11,-1.3593396,-1.4191264,"('caring', 'unaffectionate')",-1.3593395948410034,-1.4191263914108276,-0.05978679656982422
