,alexandria_male,alexandria_female,tuple,real_male,real_female,est_male,est_female,equities_male,equities_female,average_male,average_female,female-male
75,3.5579255,3.525303,"('confident', 'shy')",5.870267,5.693857,5.335412,5.0677357,1.2792594,0.9514176,4.010715961456299,3.8095784187316895,-0.20113754272460938
27,-2.7465475,-2.9118013,"('sincere', 'insincere')",-4.203508,-4.87131,-4.03311,-3.79972,-0.35555306,0.0074276477,-2.83467960357666,-2.8938510417938232,-0.059171438217163086
32,-2.502227,-2.6372538,"('benevolent', 'hardhearted')",-1.5667081,-0.81303805,-1.317365,-1.190515,-1.0456536,-1.0091466,-1.6079885959625244,-1.4124884605407715,0.19550013542175293
50,2.2817984,2.059195,"('unprejudiced', 'prejudiced')",2.1901507,1.7254074,1.0912476,0.9154762,0.12559019,-0.18159698,1.4221967458724976,1.1296204328536987,-0.29257631301879883
6,1.9606925,2.5198607,"('liked', 'disliked')",3.771584,4.0992513,4.031578,3.9746006,0.5435028,0.28545028,2.5768394470214844,2.7197906970977783,0.14295125007629395
40,-1.9431294,-2.134869,"('honorable', 'mean')",-3.0759778,-3.3876588,-3.8708608,-3.8188038,-1.391001,-1.4425023,-2.570242166519165,-2.695958375930786,-0.1257162094116211
99,-1.9315038,-1.5703326,"('prestigious', 'insignificant')",-1.7922502,-0.8565687,-0.41019386,-0.48610717,-1.2163615,-1.2398968,-1.3375773429870605,-1.0382263660430908,0.2993509769439697
15,1.8425474,1.6929774,"('polite', 'impolite')",1.3685054,0.9351873,-1.0819392,-0.8055947,1.0222708,1.1004598,0.7878460884094238,0.730757474899292,-0.057088613510131836
86,1.8212491,2.0081923,"('self-reliant', 'helpless')",2.11105,1.993709,2.117583,1.9418973,-0.2758126,-0.47608086,1.4435173273086548,1.3669294118881226,-0.07658791542053223
11,-1.7756958,-1.4224491,"('caring', 'unaffectionate')",-1.7812155,-1.4628432,-0.8094306,-0.76964957,0.1668651,0.13975124,-1.0498692989349365,-0.8787976503372192,0.17107164859771729
47,-1.7644069,-1.5599903,"('forgiving', 'unforgiving')",-0.8586617,-0.69394684,-1.1313853,-0.91239953,0.33375233,0.46132293,-0.8551753759384155,-0.6762534379959106,0.17892193794250488
95,-1.7396406,-2.194148,"('rich', 'poor')",-4.2801924,-4.597704,-4.1112494,-4.115383,0.1262915,0.3962356,-2.5011978149414062,-2.6277499198913574,-0.12655210494995117
16,1.7240791,1.2193332,"('social', 'antisocial')",0.8570602,0.5815724,0.2563702,0.20088297,0.74394506,0.8150439,0.8953636884689331,0.7042081356048584,-0.1911555528640747
10,-1.6800069,-1.3714304,"('affectionate', 'unaffectionate')",-2.0729094,-1.1606799,-0.47507748,-0.41400197,0.20529148,0.34016466,-1.0056756734848022,-0.651486873626709,0.35418879985809326
1,-1.6388533,-1.4326199,"('friendly', 'unfriendly')",-2.0170681,-0.90246,-0.7978214,-0.76304686,0.15054643,0.074299715,-1.0757991075515747,-0.755956768989563,0.3198423385620117
67,-1.6249585,-1.1402938,"('discriminating', 'undiscriminating')",-0.14331223,0.33951604,-0.64843655,-0.7507624,-0.7941209,-0.53834385,-0.8027070760726929,-0.522471010684967,0.28023606538772583
109,1.5769086,1.6520295,"('conservative', 'liberal')",1.849468,1.1025405,-0.5620822,-0.5248325,0.9348143,1.0643827,0.9497771859169006,0.8235300779342651,-0.1262471079826355
108,1.5769086,1.6520295,"('conservative', 'liberal')",1.849468,1.1025405,-0.5620822,-0.5248325,0.9348143,1.0643827,0.9497771859169006,0.8235300779342651,-0.1262471079826355
53,-1.5289563,-2.0813792,"('smart', 'stupid')",-3.3880563,-3.369686,-3.2503347,-3.0866148,-1.3236681,-1.3222616,-2.372753858566284,-2.4649853706359863,-0.09223151206970215
90,1.5257769,1.3663198,"('motivated', 'unmotivated')",1.1681931,0.42759278,1.3461715,0.9257813,0.8520961,0.871417,1.2230594158172607,0.8977777361869812,-0.32528167963027954
3,1.4290166,1.4839287,"('likable', 'unlikable')",1.6955842,1.6150432,0.15244971,0.16060686,-0.2019383,-0.3659054,0.7687780261039734,0.7234183549880981,-0.045359671115875244
107,1.4248885,1.3609674,"('conventional', 'modern')",0.46055543,0.061231375,0.7786045,1.1152042,1.3383654,1.6924479,1.000603437423706,1.0574626922607422,0.05685925483703613
104,-1.3461726,-0.9842192,"('conventional', 'unconventional')",-0.9266538,-0.21690558,0.22042862,0.5084857,-0.7083647,-0.70568097,-0.6901906132698059,-0.3495800197124481,0.3406105935573578
33,-1.3050389,-1.0063009,"('softhearted', 'hardhearted')",-0.98817986,-0.43956113,-0.46973735,-0.31707013,1.1495763,0.8825041,-0.4033449590206146,-0.22010701894760132,0.1832379400730133
2,1.2870718,1.1280499,"('friendly', 'unfriendly')",0.9692316,0.29576135,-0.82785124,-0.899123,1.1969792,1.4397959,0.6563577651977539,0.49112099409103394,-0.16523677110671997
5,1.2321498,1.1567967,"('pleasant', 'repellent')",0.11698708,-0.26503074,0.04460293,0.054744482,0.9781103,1.0435019,0.5929625630378723,0.4975030720233917,-0.09545949101448059
54,1.2191708,1.0373927,"('smart', 'stupid')",1.2181001,1.056,0.74593973,0.34112436,-0.6721512,-0.8830448,0.6277648210525513,0.38786810636520386,-0.2398967146873474
14,-1.1856385,-0.84057796,"('supportive', 'unsupportive')",1.1778761,0.91495764,0.917963,0.80235803,1.0253663,0.7967098,0.48389172554016113,0.4183618724346161,-0.06552985310554504
13,-1.1535479,-1.0267584,"('helpful', 'unhelpful')",-1.2781615,-2.2010999,-2.512495,-2.4708755,0.18048722,0.4920889,-1.1909292936325073,-1.3016612529754639,-0.11073195934295654
100,-1.1518753,-0.8925477,"('influential', 'uninfluential')",0.2949717,0.46220052,-0.31254086,-0.38882297,1.9037924,2.1724415,0.183586984872818,0.3383178114891052,0.15473082661628723
18,-1.1111042,-1.2190036,"('social', 'asocial')",-0.42725235,-0.5061395,-0.6909284,-0.7142949,0.31242114,0.40676576,-0.47921597957611084,-0.5081680417060852,-0.028952062129974365
78,1.1071353,1.1417103,"('active', 'inactive')",2.2769604,2.0099442,2.2934031,2.0251913,1.356624,0.8842172,1.7585307359695435,1.515265703201294,-0.2432650327682495
93,1.0726671,1.0799044,"('dominating', 'dominated')",1.0980401,0.6064825,-0.11428845,-0.124052286,0.010691509,0.15476847,0.5167775750160217,0.429275780916214,-0.08750179409980774
98,-1.072148,-0.973277,"('prestigious', 'insignificant')",-0.7246033,-0.24608889,-0.24927229,-0.33245662,-1.1002977,-1.156153,-0.7865803241729736,-0.6769938468933105,0.10958647727966309
28,-0.996917,-1.2181306,"('honest', 'dishonest')",-1.2292963,-1.3375258,-1.4615936,-1.3224561,-0.21506548,-0.22922295,-0.9757181406021118,-1.0268338918685913,-0.05111575126647949
62,-0.9762105,-0.8103198,"('creative', 'uncreative')",-0.6320182,-0.48228976,-0.33917683,-0.33639473,0.19081926,0.20589788,-0.43914657831192017,-0.3557765781879425,0.08337000012397766
71,0.9712463,0.6163225,"('efficient', 'inefficient')",0.8695905,-0.34224606,-0.24268994,-0.7196649,1.2428365,1.187575,0.7102458477020264,0.18549664318561554,-0.5247492045164108
