,fortune_male,fortune_female,tuple,brands_male,brands_female,home_male,home_female,&_male,&_female,secur_male,secur_female,average_male,average_female,female-male
27,-6.1128,-5.6188855,"('sincere', 'insincere')",-6.811324,-6.685583,-5.478516,-5.1629205,-4.1355467,-3.9827933,-2.6049523,-2.3496666,-5.028627395629883,-4.759969711303711,0.2686576843261719
6,5.549305,5.024906,"('liked', 'disliked')",6.4010105,6.286419,4.6409883,3.935976,4.5879793,4.393346,2.1416738,2.1263008,4.664191436767578,4.353389739990234,-0.3108016967773439
75,5.3653927,4.790891,"('confident', 'shy')",7.1034117,7.0223446,6.306108,5.743882,4.0087137,4.0352073,3.7093806,3.4680095,5.298601531982422,5.012067031860352,-0.2865345001220705
95,-5.177555,-4.9762893,"('rich', 'poor')",-5.9212017,-6.0021,-5.862645,-5.747111,-4.6163955,-4.796937,-2.7322435,-2.509756,-4.862008666992187,-4.806438827514649,0.05556983947753835
40,-4.7071166,-4.9081764,"('honorable', 'mean')",-5.11429,-5.459429,-4.518851,-4.5172524,-3.1803021,-3.355461,-2.3721085,-2.3818045,-3.9785335540771483,-4.124424743652344,-0.1458911895751953
53,-4.493435,-4.1410856,"('smart', 'stupid')",-4.9792485,-5.1134605,-4.661195,-4.4594326,-2.785178,-2.6608834,-1.9886823,-1.9412408,-3.7815475463867188,-3.6632205963134767,0.11832695007324201
66,2.9601593,2.8045545,"('imaginative', 'unimaginative')",2.6981292,2.6370654,1.6074262,1.6076343,1.7984312,1.9160259,1.4464388,1.5672185,2.1021169662475585,2.1064998626708986,0.00438289642334011
86,2.8845532,2.5633664,"('self-reliant', 'helpless')",3.2539961,3.0132523,1.9832227,1.7478085,3.6254056,3.315715,0.22701734,0.07280639,2.3948389053344727,2.1425897598266603,-0.2522491455078124
11,-2.5324335,-2.7302654,"('caring', 'unaffectionate')",-2.122588,-2.0974293,-2.133648,-2.4915876,-0.93532413,-0.9677944,0.1518905,0.4677078,-1.5144207000732421,-1.563873863220215,-0.04945316314697279
48,2.4144154,2.1276984,"('reliable', 'unreliable')",2.9743083,2.6920805,2.0287352,1.6796668,1.5736834,1.3709737,-0.060684137,-0.22268859,1.7860916137695313,1.5295461654663085,-0.2565454483032228
38,-2.3266897,-1.9996712,"('kind', 'unkind')",-2.067081,-1.840206,-2.2176425,-2.1501303,-1.8781213,-1.696897,-0.93917656,-0.5948242,-1.8857421875,-1.656345748901367,0.2293964385986329
13,-2.3100748,-2.1862774,"('helpful', 'unhelpful')",-2.7866843,-2.7949538,-2.5867338,-2.833149,-1.4792297,-1.5617889,-0.8286356,-0.7040454,-1.9982715606689454,-2.0160429000854494,-0.017771339416503995
28,-2.237646,-2.075136,"('honest', 'dishonest')",-1.877771,-1.699816,-1.1104299,-0.8837245,-2.4815605,-2.3089046,-0.522591,-0.19737849,-1.6459995269775392,-1.4329919815063477,0.2130075454711915
50,2.1213589,2.0833807,"('unprejudiced', 'prejudiced')",1.871146,1.6671021,1.8380857,1.9084822,2.6318374,2.5001001,0.7053757,0.20298819,1.8335605621337892,1.672410774230957,-0.16114978790283208
37,2.0253305,1.7156074,"('good', 'evil')",2.054334,1.8022245,0.80594647,0.67379266,0.43938786,0.26428354,1.6931965,1.7568588,1.403639030456543,1.242553424835205,-0.1610856056213379
74,-1.8306222,-2.1075435,"('insightful', 'unperceptive')",-1.0899773,-1.5052136,-1.1070333,-1.4810201,-2.2165906,-2.3376427,-0.91050017,-0.8916068,-1.4309447288513184,-1.6646053314208984,-0.23366060256958
58,-1.7946606,-1.2763307,"('able', 'clumsy')",-1.5556748,-1.3350875,-1.2641343,-0.95492613,-1.5622277,-1.5301608,-1.0303906,-0.8567004,-1.4414175987243651,-1.1906411170959472,0.2507764816284179
