,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,average_male,average_female,female-male
27,-6.8211713,-6.7696857,"('sincere', 'insincere')",-5.5393996,-6.0968843,-4.0693674,-4.2187166,-1.8964995,-2.0143068,-3.8370113,-3.7492151,-4.432690048217774,-4.569761657714844,-0.1370716094970703
75,6.2702565,6.3005953,"('confident', 'shy')",4.6290064,5.0304117,4.247345,4.725128,3.813438,3.5713136,4.7444563,4.970094,4.7409004211425785,4.919508743286133,0.17860832214355415
95,-5.887305,-6.349827,"('rich', 'poor')",-4.847301,-5.451636,-2.7676091,-3.1545284,-2.0897558,-2.1494572,-2.7349617,-2.837697,-3.6653865814208983,-3.988629150390625,-0.3232425689697265
40,-5.4063363,-5.8080196,"('honorable', 'mean')",-3.6466293,-4.4648967,-2.9068136,-3.3330858,-2.0996275,-2.233997,-3.336539,-3.688682,-3.479188919067383,-3.905736541748047,-0.42654762268066415
6,5.147136,5.1057534,"('liked', 'disliked')",4.558131,5.4983554,3.2574773,3.5818095,1.8001328,1.8271447,3.3343208,3.3765445,3.6194393157958986,3.8779216766357423,0.25848236083984366
53,-4.719666,-4.985024,"('smart', 'stupid')",-3.946859,-4.4173803,-3.3546703,-3.2368484,-2.8584814,-2.9072936,-3.1040473,-2.9430084,-3.596744918823242,-3.6979110717773436,-0.10116615295410147
13,-3.2540295,-3.2247953,"('helpful', 'unhelpful')",-3.0066469,-3.235507,-2.575208,-2.4277782,-1.2407116,-1.6148565,-1.5662354,-1.449445,-2.3285661697387696,-2.390476417541504,-0.061910247802734464
38,-2.8988214,-2.5975816,"('kind', 'unkind')",-2.511056,-2.5107012,-1.1115729,-0.71509457,-0.30842638,-0.43744403,-1.0366383,-0.83423483,-1.573302936553955,-1.4190113067626953,0.15429162979125977
86,2.8024654,2.6910558,"('self-reliant', 'helpless')",2.8832169,3.2220511,1.5905108,1.749958,1.2327069,1.2258012,2.5862517,2.5715609,2.2190303802490234,2.2920854568481444,0.07305507659912092
1,-2.669364,-2.499082,"('friendly', 'unfriendly')",0.8503624,0.845134,0.03334117,0.025989413,-1.5381578,-1.2700412,-2.4519138,-2.4936872,-1.1551464080810547,-1.0783373832702636,0.0768090248107911
11,-2.3199444,-2.1738923,"('caring', 'unaffectionate')",0.11488634,-0.040335357,-0.39734697,-0.45263273,-1.5271548,-1.5220337,-2.976219,-2.9853053,-1.4211557388305665,-1.434839916229248,-0.013684177398681552
50,2.2667234,2.121076,"('unprejudiced', 'prejudiced')",2.0320568,1.6856086,1.2686491,1.0383911,1.285819,1.3760133,2.360346,2.0219157,1.8427188873291016,1.648600959777832,-0.19411792755126966
32,-2.258099,-2.0210447,"('benevolent', 'hardhearted')",-0.450615,-0.24688256,-0.5565795,-0.20947967,-2.0082746,-2.017479,-2.6580467,-2.3513646,-1.5863229751586914,-1.3692500114440918,0.2170729637145996
48,2.1090958,2.0938027,"('reliable', 'unreliable')",1.6036812,1.9138367,1.1541629,1.1235613,0.7466642,0.51164675,2.3239472,2.3347588,1.5875102996826171,1.5955212593078614,0.00801095962524423
