,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,average_male,average_female,female-male
40,-2.0764298,-2.1307375,"('honorable', 'mean')",-3.5743296,-3.7060323,-2.8006885,-3.203753,-2.8171494801839194,-3.013507843017578,-0.1963583628336587
53,-1.9022554,-2.0236626,"('smart', 'stupid')",-2.8855224,-2.967436,-2.6975365,-2.8521323,-2.4951047897338867,-2.6144102414449057,-0.11930545171101903
65,-1.8590899,-1.2851801,"('practical', 'impractical')",-2.3834305,-2.0585659,-0.65013003,-0.6066998,-1.6308835347493489,-1.3168152173360188,0.3140683174133301
10,1.775914,1.5945895,"('affectionate', 'unaffectionate')",-0.20973197,-0.30440617,-0.3754076,0.040849738,0.39692481358846027,0.4436776638031006,0.04675285021464032
46,1.7587628,1.3174944,"('generous', 'stingy')",1.5035864,1.4246156,0.9574795,0.8222732,1.4066095352172852,1.1881277561187744,-0.21848177909851074
27,-1.7574039,-1.4715967,"('sincere', 'insincere')",-4.67974,-4.495806,-4.184508,-4.1666155,-3.5405505498250327,-3.3780059814453125,0.1625445683797202
77,1.7446513,1.6722608,"('active', 'inactive')",0.46500355,0.31371045,0.58387446,0.5986398,0.9311764240264893,0.861536979675293,-0.06963944435119629
75,1.7137399,1.4965086,"('confident', 'shy')",4.4129763,4.6069536,4.6339045,4.8117166,3.5868733723958335,3.638392766316732,0.05151939392089844
37,1.681956,1.0702994,"('good', 'evil')",2.059823,1.710595,1.2137705,0.96405536,1.651849905649821,1.2483165264129639,-0.40353337923685717
13,-1.6130071,-1.0736188,"('helpful', 'unhelpful')",-2.80716,-2.5100725,-1.1570964,-0.9777219,-1.8590877850850422,-1.5204709370930989,0.33861684799194336
78,1.5428939,0.6138607,"('active', 'inactive')",2.507505,2.1973464,1.6025724,1.3962818,1.8843237559000652,1.402496337890625,-0.4818274180094402
62,1.5317843,1.3121843,"('creative', 'uncreative')",-0.098593056,-0.18771952,-0.5024776,-0.29960325,0.3102379043896993,0.27495384216308594,-0.035284062226613344
71,-1.3964882,-1.2805089,"('efficient', 'inefficient')",-1.0418648,-0.70072407,0.5324285,0.35028726,-0.6353081862131754,-0.5436485608418783,0.09165962537129713
38,-1.3724502,-0.67733264,"('kind', 'unkind')",-1.8160008,-1.3723699,-1.1733673,-0.81069714,-1.453939437866211,-0.9534665743509928,0.5004728635152181
6,1.3386668,0.9916915,"('liked', 'disliked')",3.815958,3.7379563,3.2592888,3.2259572,2.804637908935547,2.6518681844075522,-0.15276972452799464
8,1.3211529,0.24626794,"('open', 'distant')",0.50583357,-0.00076802075,0.24768944,0.178498,0.6915586789449056,0.14133264621098837,-0.5502260327339172
58,-1.2912121,-0.8578694,"('able', 'clumsy')",-1.60957,-1.3727579,-1.0430186,-1.0223109,-1.3146002292633057,-1.0843127568562825,0.23028747240702319
66,1.2875018,1.5640118,"('imaginative', 'unimaginative')",1.235498,1.3372915,1.4310815,1.6479969,1.318027098973592,1.5164333979288738,0.19840629895528172
42,1.2822542,0.8424339,"('amicable', 'hostile')",0.34724063,0.20905173,0.8677062,0.90577966,0.8324003219604492,0.652421792348226,-0.17997852961222327
1,1.2734848,0.8263105,"('friendly', 'unfriendly')",-1.1255764,-1.0788525,-0.6889106,-0.4885014,-0.1803340514500936,-0.2470144828160604,-0.0666804313659668
95,-1.2707623,-1.1039782,"('rich', 'poor')",-3.2731223,-3.2933433,-3.376893,-3.4615018,-2.640259265899658,-2.619607925415039,0.02065134048461914
22,1.2442881,1.0461924,"('welcoming', 'disagreeable')",-0.20588344,-0.2853104,0.68456066,0.5002021,0.5743217865626017,0.42036135991414386,-0.15396042664845783
23,1.1985031,0.8298645,"('hospitable', 'inhospitable')",0.6887044,0.4909879,0.48346817,0.43481374,0.7902251879374186,0.585222045580546,-0.20500314235687256
109,-1.1634464,-0.7730497,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.9798811,1.109271,-0.17606939872105917,0.08687837918599446,0.26294777790705365
108,-1.1634464,-0.7730497,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.9798811,1.109271,-0.17606939872105917,0.08687837918599446,0.26294777790705365
11,1.1457989,0.8340746,"('caring', 'unaffectionate')",-1.3934163,-1.3194525,-1.5116909,-1.2463171,-0.5864360729853312,-0.5772316853205363,0.009204387664794922
70,1.1335111,0.78247166,"('wise', 'unwise')",1.1806103,1.0229962,1.0692207,1.2069297,1.127780596415202,1.0041325092315674,-0.12364808718363451
