,amphenol_male,amphenol_female,tuple,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,1.7532241,1.5450195,"('confident', 'shy')",6.66473,6.5372887,4.247345,4.725128,4.221766471862793,4.269145329793294,0.047378857930501006
23,1.5590732,1.6156225,"('hospitable', 'inhospitable')",0.7526314,0.81820834,1.1858441,1.118948,1.1658495267232258,1.184259573618571,0.0184100468953452
70,1.5416827,1.6080217,"('wise', 'unwise')",1.1597657,1.1573492,1.675778,1.6813757,1.4590754508972168,1.4822489420572917,0.023173491160074944
95,-1.4408306,-1.2502091,"('rich', 'poor')",-6.034153,-6.116641,-2.7676091,-3.1545284,-3.4141976038614907,-3.5071261723836265,-0.09292856852213571
40,-1.3349313,-1.3862145,"('honorable', 'mean')",-5.858739,-5.9650583,-2.9068136,-3.3330858,-3.366827964782715,-3.561452865600586,-0.1946249008178711
90,1.2707318,0.9090233,"('motivated', 'unmotivated')",0.5462045,0.32156423,-0.115985096,-0.5120882,0.566983699798584,0.23949976762135824,-0.3274839321772257
53,-1.238733,-1.0346587,"('smart', 'stupid')",-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.0146261850992837,-2.858025232950846,0.1566009521484375
6,1.2363802,1.2180933,"('liked', 'disliked')",6.684802,6.6123395,3.2574773,3.5818095,3.726219813028971,3.8040809631347656,0.07786115010579442
66,1.1587738,1.2805431,"('imaginative', 'unimaginative')",3.0494213,3.0358052,0.34587073,0.7209271,1.5180219014485676,1.6790917714436848,0.1610698699951172
107,1.1100435,1.4378241,"('conventional', 'modern')",0.41894037,0.40934473,1.0958123,1.6039909,0.874932050704956,1.150386651357015,0.27545460065205885
14,1.0998807,0.9958428,"('supportive', 'unsupportive')",1.4877679,1.4867378,-0.059206426,-0.05194989,0.842814048131307,0.8102102279663086,-0.03260382016499841
78,0.9532294,0.3765347,"('active', 'inactive')",2.3321204,1.9112912,1.6742909,1.1332293,1.6532135009765625,1.1403517723083496,-0.5128617286682129
4,-0.9162842,-0.7673541,"('likable', 'unlikable')",-0.6973594,-0.49110615,0.38617718,0.37986428,-0.4091554880142212,-0.2928653359413147,0.1162901520729065
67,-0.9151936,-0.5366305,"('discriminating', 'undiscriminating')",-0.98974335,-0.78308094,0.70384866,0.7983501,-0.4003628094991048,-0.17378711700439453,0.22657569249471027
7,0.85869473,0.6528149,"('outgoing', 'distant')",1.2281502,1.04766,0.8801502,0.5827791,0.9889984130859375,0.7610847155253092,-0.2279136975606283
12,0.8512415,1.0864189,"('sympathetic', 'unsympathetic')",-1.3533148,-1.4027944,-1.2802973,-1.1208498,-0.5941235224405924,-0.4790751139322917,0.11504840850830073
58,-0.8366613,-0.40465444,"('able', 'clumsy')",-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.5466289520263672,-1.2695468266805012,0.27708212534586596
27,-0.80962634,-0.49286753,"('sincere', 'insincere')",-6.6364894,-6.431673,-4.0693674,-4.2187166,-3.838494300842285,-3.7144190470377603,0.12407525380452489
38,-0.8073199,-0.6545007,"('kind', 'unkind')",-2.3757577,-1.9031388,-1.1115729,-0.71509457,-1.4315501848856609,-1.0909113883972168,0.3406387964884441
37,0.7187023,0.629504,"('good', 'evil')",1.9438914,2.0353565,2.5303283,2.428041,1.7309740384419758,1.6976337432861328,-0.033340295155843025
104,-0.7020345,-0.453144,"('conventional', 'unconventional')",-0.7870131,-0.6860226,0.09214801,-0.08103579,-0.4656331539154053,-0.4067341486612956,0.05889900525410968
5,0.69724625,0.6352277,"('pleasant', 'repellent')",-1.2856472,-1.3148067,-0.097297505,-0.30082503,-0.2285661300023397,-0.326801339785258,-0.0982352097829183
77,0.6781548,0.6604607,"('active', 'inactive')",1.3215332,1.4822655,0.7132806,0.8810775,0.9043228626251221,1.0079345703125,0.10361170768737793
9,0.665564,0.88765347,"('sensitive', 'insensitive')",-1.0999589,-1.0613891,-0.98445404,-0.92043555,-0.47294966379801434,-0.3647237221399943,0.10822594165802002
92,0.6564944,0.5467319,"('unwavering', 'wavering')",0.30593115,0.17524163,1.0242958,0.81975317,0.6622404257456461,0.5139089028040568,-0.14833152294158936
91,0.6507989,0.35038912,"('resilient', 'nonresilient')",-0.1504333,-0.20740606,0.2389951,-0.08850193,0.2464535633722941,0.018160377939542133,-0.22829318543275195
50,0.63616025,0.2118655,"('unprejudiced', 'prejudiced')",2.2759738,2.2260273,1.2686491,1.0383911,1.3935944239298503,1.1587612628936768,-0.23483316103617358
8,0.6269919,0.3888539,"('open', 'distant')",1.4154859,1.2487043,1.1676544,0.7915691,1.0700440406799316,0.8097090721130371,-0.26033496856689453
15,0.5957111,0.92508763,"('polite', 'impolite')",0.51423466,0.6083,-0.60293305,-0.018667951,0.16900424162546793,0.5049065748850504,0.3359023332595825
105,-0.5813452,-0.4675703,"('conventional', 'modern')",-0.48005888,-0.4712868,0.8306431,0.5736888,-0.07692033052444458,-0.1217227578163147,-0.04480242729187012
109,0.5447096,0.6477703,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,-0.24728544553120932,-0.2576553026835124,-0.01036985715230307
108,0.5447096,0.6477703,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,-0.24728544553120932,-0.2576553026835124,-0.01036985715230307
21,0.5411749,0.4986963,"('nice', 'nasty')",0.38468748,0.27212715,0.35453856,0.31382322,0.42680033047993976,0.36154890060424805,-0.06525142987569171
62,0.5184438,0.71621335,"('creative', 'uncreative')",-0.33273518,-0.144564,-0.56264377,-0.6173538,-0.12564504146575928,-0.015234827995300293,0.11041021347045898
33,-0.5175824,-0.36412323,"('softhearted', 'hardhearted')",-1.0268513,-0.9268272,-0.62816787,-0.6920396,-0.7242005666097006,-0.660996675491333,0.06320389111836755
30,0.51697433,0.5143549,"('honest', 'dishonest')",-0.7890542,-0.85744035,-0.46290857,-0.09674831,-0.24499615033467612,-0.14661125342051187,0.09838489691416424
83,0.4883775,0.73962307,"('energetic', 'lethargic')",-0.38989562,-0.51259035,-0.80170095,-0.6726756,-0.23440635204315186,-0.14854762951533,0.08585872252782187
32,-0.4587559,-0.17907228,"('benevolent', 'hardhearted')",-1.3220441,-0.75526094,-0.5565795,-0.20947967,-0.7791264851888021,-0.381270964940389,0.39785552024841314
42,0.44825676,0.66297704,"('amicable', 'hostile')",1.0745797,1.3420484,1.8091202,1.8213055,1.110652208328247,1.2754436333974202,0.1647914250691731
51,0.44400412,0.6211102,"('competent', 'incompetent')",-0.11847064,-0.098713234,0.07464939,0.2558064,0.13339429100354513,0.2594011227289836,0.12600683172543845
48,0.4392572,0.59608424,"('reliable', 'unreliable')",2.681928,2.5936308,1.1541629,1.1235613,1.4251159032185872,1.4377587636311848,0.012642860412597656
84,0.43877098,0.2107745,"('self-confident', 'diffident')",0.04052466,0.12735969,-0.24383731,-0.37390593,0.07848610977331798,-0.011923919121424357,-0.09041002889474234
68,-0.4310886,-0.4562754,"('clever', 'inept')",-0.914963,-0.89569235,-0.6454199,-0.8717228,-0.6638238430023193,-0.7412301699320475,-0.07740632692972815
36,-0.4184366,-0.04940158,"('tolerant', 'intolerant')",-1.3469197,-1.1648283,-0.8488381,-0.593192,-0.871398131052653,-0.6024739344914755,0.2689241965611775
65,-0.4161849,-0.28269947,"('practical', 'impractical')",-0.9191679,-0.87139773,-1.6388373,-1.5554767,-0.9913967450459799,-0.9031912485758463,0.08820549647013354
63,0.40739727,0.57040215,"('capable', 'incapable')",-1.1376256,-1.0196587,-0.33474922,-0.53823125,-0.35499250888824463,-0.32916259765625,0.02582991123199463
61,0.3849269,0.61384314,"('rational', 'irrational')",1.1557636,1.3685138,1.4804657,1.715029,1.0070521036783855,1.2324620087941487,0.2254099051157632
64,-0.38387758,-0.22303268,"('clever', 'incompetent')",-1.1046457,-1.0655162,-1.4687406,-1.580534,-0.985754648844401,-0.9563609759012858,0.029393672943115234
22,0.37397143,0.30097735,"('welcoming', 'disagreeable')",1.6342537,1.9070294,0.5636344,0.47769773,0.85728653271993,0.8952349026997884,0.0379483699798584
25,-0.34872773,-0.07376931,"('moral', 'immoral')",-1.5206175,-1.3253146,-1.4564099,-1.4396524,-1.108585039774577,-0.9462455113728842,0.16233952840169275
106,-0.33360803,-0.1743046,"('conventional', 'unconventional')",-0.62033725,-0.33703667,1.2797227,0.963664,0.10859247048695882,0.15077424049377441,0.0421817700068156
60,-0.33299735,0.10377833,"('educated', 'uneducated')",-0.94098175,-0.8681323,-0.794942,-0.4889455,-0.6896403630574545,-0.4177664915720622,0.27187387148539227
3,0.3288527,0.2986846,"('likable', 'unlikable')",1.6233785,1.5548921,1.4871099,1.6269121,1.1464470227559407,1.1601629257202148,0.013715902964274163
56,-0.31767556,-0.14670306,"('intelligent', 'dumb')",1.6987584,1.7227203,0.690233,1.0119772,0.6904385884602865,0.8626647790273031,0.1722261905670166
13,-0.31566215,-0.14033489,"('helpful', 'unhelpful')",-3.0271235,-3.0961032,-2.575208,-2.4277782,-1.972664515177409,-1.8880720138549805,0.08459250132242846
46,0.3120801,0.24660957,"('generous', 'stingy')",2.3762202,2.3003333,0.83456933,0.996935,1.17428986231486,1.1812925338745117,0.007002671559651619
39,0.3048914,0.4769351,"('right', 'wrong')",0.6349007,0.8346789,0.26922962,0.41019645,0.4030072291692098,0.5739368200302124,0.17092959086100262
18,0.30276078,0.45991194,"('social', 'asocial')",-0.15735155,-0.051664025,-1.5692225,-1.306341,-0.47460440794626874,-0.2993643681208293,0.17524003982543945
28,-0.30187336,0.053955495,"('honest', 'dishonest')",-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.2204476197560628,-0.9841787020365397,0.23626891771952307
49,0.30040482,0.2313658,"('responsible', 'irresponsible')",-1.4365293,-1.2053922,-1.0568249,-1.0981494,-0.7309830983479818,-0.6907253265380859,0.04025777180989587
