,dynegy_male,dynegy_female,tuple,inc_male,inc_female,new_male,new_female,del_male,del_female,average_male,average_female,female-male
12,2.3573654,2.4492576,"('sympathetic', 'unsympathetic')",-0.5738509,-0.48446804,-1.2802973,-1.1208498,-0.3935389,-0.41327703,0.02741958200931549,0.10766568779945374,0.08024610579013824
75,2.2789898,2.2673554,"('confident', 'shy')",7.114957,7.069081,4.247345,4.725128,7.7841444,7.576187,5.356359004974365,5.409438133239746,0.05307912826538086
2,1.9438543,2.183428,"('friendly', 'unfriendly')",-0.308474,-0.26902443,-1.6722184,-1.4798024,-0.35237134,-0.08654475,-0.0973023772239685,0.08701413869857788,0.1843165159225464
66,1.8094893,1.9172049,"('imaginative', 'unimaginative')",2.4963121,2.4620016,0.34587073,0.7209271,2.7121282,2.4936562,1.8409501314163208,1.8984475135803223,0.057497382164001465
9,1.7074941,1.607917,"('sensitive', 'insensitive')",-0.48028773,-0.4960956,-0.98445404,-0.92043555,-0.17328447,-0.47724673,0.017366990447044373,-0.07146521657705307,-0.08883220702409744
76,1.6328902,2.0761356,"('secure', 'insecure')",0.83827037,0.84754825,-0.46814716,-0.3669712,0.51748985,0.6342767,0.630125880241394,0.7977473139762878,0.1676214337348938
15,1.6290771,1.7627321,"('polite', 'impolite')",1.210203,1.3912718,-0.60293305,-0.018667951,1.1044207,1.3836783,0.8351919651031494,1.129753589630127,0.29456162452697754
94,1.601777,1.8067741,"('aggressive', 'submissive')",0.718829,0.68567276,-0.6174553,-0.32319823,0.77022994,0.97367835,0.6183451414108276,0.7857317328453064,0.16738659143447876
107,1.5514303,1.4594249,"('conventional', 'modern')",0.8527969,0.9750705,1.0958123,1.6039909,0.5688279,0.8819592,1.0172169208526611,1.2301113605499268,0.21289443969726562
99,-1.4929204,-1.7276449,"('prestigious', 'insignificant')",-0.7684872,-0.946124,0.7842057,0.64763576,-1.1388874,-1.1288464,-0.6540223360061646,-0.7887449264526367,-0.13472259044647217
95,-1.4925998,-1.6232642,"('rich', 'poor')",-5.305249,-5.3836365,-2.7676091,-3.1545284,-5.6981053,-5.764838,-3.8158907890319824,-3.981566905975342,-0.16567611694335938
