,walgreens_male,walgreens_female,tuple,boots_male,boots_female,alliance_male,alliance_female,average_male,average_female,female-male
94,2.1475992,2.3987103,"('aggressive', 'submissive')",1.1341543,0.76609313,0.61204326,0.49847162,1.2979323069254558,1.2210917472839355,-0.07684055964152026
25,2.0067577,1.6744372,"('moral', 'immoral')",0.6092726,0.1492317,-0.32317048,-0.45724297,0.7642865975697836,0.45547529061635333,-0.30881130695343023
75,1.8738515,1.8401184,"('confident', 'shy')",6.7556543,6.537633,5.6342306,5.5721226,4.754578908284505,4.64995797475179,-0.10462093353271484
109,1.8426899,1.7270188,"('conservative', 'liberal')",1.5404015,1.1469352,0.36474854,0.40775073,1.2492799758911133,1.0939016342163086,-0.1553783416748047
108,1.8426899,1.7270188,"('conservative', 'liberal')",1.5404015,1.1469352,0.36474854,0.40775073,1.2492799758911133,1.0939016342163086,-0.1553783416748047
90,1.7090355,1.4002851,"('motivated', 'unmotivated')",1.2881453,0.78304875,0.7143734,0.41297573,1.237184762954712,0.8654365539550781,-0.3717482089996338
12,1.6328119,1.831382,"('sympathetic', 'unsympathetic')",-0.56368077,-0.83181256,-1.1302683,-1.2359903,-0.020379066467285156,-0.07880693674087524,-0.05842787027359009
5,1.6298757,1.6120942,"('pleasant', 'repellent')",0.821385,0.46815547,0.00053685904,0.02117972,0.8172658284505209,0.7004764080047607,-0.11678942044576013
104,-1.5456245,-1.459301,"('conventional', 'unconventional')",-1.3919153,-0.79290736,-0.60678065,-0.581669,-1.1814401944478352,-0.9446256955464681,0.23681449890136708
103,1.4379894,1.6499197,"('traditional', 'modern')",1.1862017,1.2161887,0.6845947,0.60982215,1.1029285589853923,1.1586435635884602,0.055715004603067886
2,1.4326383,1.6305299,"('friendly', 'unfriendly')",-0.024497747,-0.13506016,-0.6250957,-0.5898277,0.2610149383544922,0.3018806576728821,0.04086571931838989
16,1.3591602,1.5310662,"('social', 'antisocial')",0.81017417,0.79873794,0.005482435,0.14567542,0.7249389489491781,0.8251598676045736,0.10022091865539551
99,-1.3451102,-1.4909046,"('prestigious', 'insignificant')",-0.8103225,-0.28707945,0.004585147,-0.094486415,-0.7169491449991862,-0.6241567929585775,0.09279235204060865
32,-1.2913622,-1.1154287,"('benevolent', 'hardhearted')",-1.7971182,-1.0928215,-1.7610049,-1.68712,-1.616495132446289,-1.2984566688537598,0.3180384635925293
