,n_male,n_female,tuple,y_male,y_female,s_male,s_female,e_male,e_female,euronext_male,euronext_female,average_male,average_female,female-male
75,6.49354,6.315895,"('confident', 'shy')",6.426611,6.081316,5.306943,4.9115763,5.1080294,4.752075,2.2750916,2.389453,5.122042465209961,4.8900634765625,-0.23197898864746058
6,5.4350767,5.3671246,"('liked', 'disliked')",6.201334,5.7172813,4.6264877,4.369958,4.8893785,4.6643515,0.46943724,0.42054528,4.324342346191406,4.107852172851563,-0.21649017333984322
27,-4.8499517,-4.7563567,"('sincere', 'insincere')",-5.7112246,-5.230092,-4.1657896,-4.023628,-4.34554,-3.9135027,0.64760226,0.7568139,-3.684980773925781,-3.4333534240722656,0.25162734985351554
95,-4.800147,-4.837388,"('rich', 'poor')",-5.181841,-5.280588,-4.2485275,-4.228273,-4.43692,-4.3749332,-0.062805176,-0.09782976,-3.7460479736328125,-3.763802337646484,-0.017754364013671697
40,-4.5722113,-4.54722,"('honorable', 'mean')",-4.1718707,-4.0447893,-3.3526883,-3.2774196,-3.91751,-3.9190652,-1.087819,-1.1912141,-3.4204193115234376,-3.3959415435791014,0.024477767944336204
53,-4.2956867,-4.2566066,"('smart', 'stupid')",-4.352665,-3.9502325,-3.2103395,-2.7610483,-3.9427114,-3.753551,-0.046156548,-0.10392794,-3.1695119857788088,-2.965073013305664,0.2044389724731448
86,2.884202,2.8725212,"('self-reliant', 'helpless')",2.9935699,2.7755404,2.787622,2.6231627,2.049817,1.8723142,0.13835645,0.05056107,2.170713424682617,2.0388200759887694,-0.13189334869384783
48,2.5655026,2.3979824,"('reliable', 'unreliable')",2.7807946,2.4165776,1.4944011,1.3647536,2.3705559,2.2669592,0.54979026,0.39762372,1.95220890045166,1.7687793731689454,-0.18342952728271467
34,-2.338623,-2.1237693,"('loyal', 'disloyal')",-1.6425486,-1.4165238,-1.95861,-1.5504031,-1.543517,-1.0812366,0.968291,1.0510309,-1.303001594543457,-1.0241804122924805,0.2788211822509765
50,2.294519,2.0479226,"('unprejudiced', 'prejudiced')",1.9788024,1.5864754,2.0029101,1.546516,2.218439,1.8129277,-0.48321503,-0.6161216,1.6022911071777344,1.2755439758300782,-0.3267471313476562
66,2.108201,2.024732,"('imaginative', 'unimaginative')",2.3983185,2.4862494,1.1934769,1.1680977,2.1047974,1.9713857,1.229889,1.2106389,1.8069364547729492,1.7722208023071289,-0.03471565246582031
78,2.0547998,1.8517793,"('active', 'inactive')",2.250564,2.0065198,1.9804981,1.9224925,2.2720973,1.9251149,0.26821095,0.16015819,1.7652341842651367,1.5732130050659179,-0.1920211791992188
1,-1.9972066,-1.6626236,"('friendly', 'unfriendly')",-1.5313253,-1.2372997,-1.6254693,-1.2045774,-0.97495556,-0.784323,-1.7997007,-1.7391727,-1.5857315063476562,-1.3255992889404298,0.2601322174072265
33,-1.9520106,-1.6577922,"('softhearted', 'hardhearted')",-1.6079249,-1.3252552,-1.7062128,-1.4781152,-1.3511188,-1.0813634,-0.40030625,-0.35758707,-1.4035147666931151,-1.180022621154785,0.22349214553833008
58,-1.9337018,-1.8707173,"('able', 'clumsy')",-1.8216944,-1.3974738,-1.5277407,-1.234221,-2.0546484,-1.7899245,1.9273295,1.9284818,-1.0820911407470704,-0.872770881652832,0.20932025909423835
13,-1.8832288,-2.0352762,"('helpful', 'unhelpful')",-2.5199773,-2.387823,-2.0524375,-2.435584,-2.0689445,-1.9565793,1.6770546,1.6696384,-1.3695066452026368,-1.4291248321533203,-0.05961818695068355
3,1.8589683,1.8696136,"('likable', 'unlikable')",2.2986755,2.1341681,1.7380717,1.5020833,1.6740959,1.5499563,-0.012013838,-0.10273589,1.5115595817565919,1.3906170845031738,-0.1209424972534181
87,-1.8064857,-1.5233623,"('dedicated', 'undedicated')",-1.2083405,-0.91170603,-2.2072513,-1.851409,-1.3308265,-1.1523113,0.052607477,0.08710076,-1.3000593185424805,-1.0703374862670898,0.22972183227539067
38,-1.5813867,-1.272541,"('kind', 'unkind')",-1.5410058,-1.2142797,-2.1178288,-1.7184348,-1.6404153,-1.0986534,1.1656288,1.2742498,-1.1430015563964844,-0.8059318542480469,0.33706970214843746
32,-1.552381,-1.301105,"('benevolent', 'hardhearted')",-1.3263093,-0.9840923,-1.339325,-0.8827551,-1.0732427,-0.88823295,-0.9333957,-0.945834,-1.2449307441711426,-1.000403881072998,0.24452686309814453
63,-1.5348551,-1.5125685,"('capable', 'incapable')",-0.8593111,-0.8625901,-1.3154932,-1.1027094,-0.8439174,-0.6696984,-1.2048192,-1.1251551,-1.151679229736328,-1.0545442581176758,0.09713497161865225
11,-1.4886692,-1.4688109,"('caring', 'unaffectionate')",-1.10124,-0.9980601,-1.4087851,-1.4143167,-0.6748576,-0.6117333,-0.30583626,-0.20588139,-0.9958775520324707,-0.9397604942321778,0.05611705780029297
88,1.2489021,1.2099581,"('impulsive', 'meek')",1.0551857,0.7548636,1.1039596,0.9828484,0.7375781,0.72075915,-1.2760799,-1.2950857,0.5739090442657471,0.4746686935424805,-0.09924035072326659
94,1.2420604,1.0042392,"('aggressive', 'submissive')",0.25023386,0.32055894,0.2491233,0.13059762,-0.24531892,-0.11303413,3.1941528,3.2845964,0.9380502700805664,0.9253915786743164,-0.012658691406249978
104,-1.2167374,-0.8911365,"('conventional', 'unconventional')",-0.3013325,0.1658833,-0.28433675,0.063726336,-0.22799382,0.20849167,-0.59185684,-0.37618116,-0.5244514465332031,-0.16584327220916747,0.3586081743240356
81,1.2011476,1.2916951,"('industrious', 'lazy')",2.148346,1.8392411,1.8059484,1.7236845,1.1684747,1.0214972,-2.905593,-3.0394526,0.6836647033691406,0.5673331260681153,-0.11633157730102539
29,-1.1764169,-1.0778853,"('honest', 'immoral')",-1.1327813,-0.9091017,-1.1676759,-0.9291441,-1.1688477,-0.81563056,0.4901927,0.5594517,-0.8311057090759277,-0.6344619750976562,0.1966437339782715
72,-1.1751757,-0.8672482,"('logical', 'illogical')",-1.240442,-0.9069207,-0.80586207,-0.76219964,-1.1366557,-0.9728108,0.27331936,0.48051316,-0.8169632911682129,-0.6057332038879395,0.21123008728027337
28,-1.1588824,-0.9984759,"('honest', 'dishonest')",-1.9630609,-1.6742245,-0.95714575,-0.6693777,-2.11497,-1.8961184,0.9831116,1.1286315,-1.042189598083496,-0.8219129562377929,0.22027664184570317
90,1.1335063,1.040787,"('motivated', 'unmotivated')",1.0918791,0.7625464,-0.0005043745,-0.19145304,0.4206066,0.4457124,0.6345702,0.7588476,0.6560115814208984,0.5632880210876465,-0.09272356033325191
105,-1.1187458,-1.045602,"('conventional', 'modern')",-0.44550142,-0.43517172,-0.2416121,-0.26325893,-0.22074127,-0.36823127,-1.0890044,-0.9122399,-0.6231209754943847,-0.6049007415771485,0.01822023391723626
70,1.1124214,1.1129835,"('wise', 'unwise')",1.3946519,1.1733847,0.4110885,0.39607215,1.812319,1.7025363,1.076095,1.1441394,1.1613152503967286,1.1058231353759767,-0.05549211502075191
15,1.1088549,1.2142751,"('polite', 'impolite')",0.67287064,0.94379795,0.61787915,0.6943095,0.2117684,0.46960983,2.1910949,2.2192378,0.9604936599731445,1.1082460403442382,0.14775238037109373
41,1.1003506,1.3956065,"('incorrupt', 'corrupt')",1.3936274,1.4285452,0.9504521,1.31418,1.151466,1.239507,-1.9357297,-1.9484951,0.5320333003997803,0.685868787765503,0.15383548736572272
97,-1.0645347,-0.8012428,"('superior', 'inferior')",-0.45422143,-0.26398206,-0.33527395,0.13363123,0.11933881,0.10787016,-0.18205017,-0.08967532,-0.38334832191467283,-0.1826797604560852,0.20066856145858764
5,-1.063822,-0.9622122,"('pleasant', 'repellent')",-0.47185433,-0.37485892,-0.31704676,-0.58645505,0.0033078045,-0.12575221,0.62270063,0.71321356,-0.24534292221069337,-0.26721298694610596,-0.021870064735412587
83,-1.0528126,-0.92064106,"('energetic', 'lethargic')",-0.38411346,-0.19175357,-0.67661047,-0.59648156,-0.64120436,-0.51378745,1.3048404,1.3903456,-0.28998005390167236,-0.16646361351013184,0.12351644039154053
96,1.0404943,1.2046117,"('powerful', 'powerless')",0.36754805,0.54043156,0.43924114,0.5093158,0.122916475,0.42524377,0.31397495,0.42448646,0.4568349838256836,0.6208178520202636,0.16398286819458002
12,-1.0334408,-0.88991195,"('sympathetic', 'unsympathetic')",-0.76874816,-0.5898516,-1.6161723,-1.5258291,-1.0757749,-0.9258218,3.4533806,3.4861631,-0.20815105438232423,-0.08905024528503418,0.11910080909729005
56,1.0216726,1.0685725,"('intelligent', 'dumb')",1.4149199,1.6700357,0.983101,1.2694297,0.15093748,0.50216246,0.50905824,0.44915438,0.8159378051757813,0.9918709754943847,0.17593317031860345
14,0.9928144,0.8492411,"('supportive', 'unsupportive')",1.252665,1.255768,0.7374517,0.45162743,1.2706186,1.2553072,0.90892446,0.8539469,1.0324948310852051,0.9331781387329101,-0.09931669235229501
