,t_male,t_female,tuple,j_male,j_female,x_male,x_female,companies_male,companies_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
75,4.4224253,4.55454,"('confident', 'shy')",6.0596733,5.9381537,5.243391,5.235956,4.229027,4.048299,7.114957,7.069081,4.247345,4.725128,5.219469706217448,5.26185957590739,0.042389869689941406
6,4.3690333,4.0877643,"('liked', 'disliked')",5.534392,5.1700387,5.9216657,5.4685836,4.506893,4.3582764,5.677591,5.5762877,3.2574773,3.5818095,4.877841949462891,4.707126935323079,-0.1707150141398115
27,-4.1903934,-4.1031184,"('sincere', 'insincere')",-5.1331882,-4.7963934,-4.1279526,-3.82228,-5.2910194,-5.0430202,-5.9644923,-5.753437,-4.0693674,-4.2187166,-4.796068827311198,-4.622827529907227,0.17324129740397165
95,-4.1298313,-4.142749,"('rich', 'poor')",-4.790596,-4.82745,-3.2865527,-3.8738596,-5.4419737,-5.160557,-5.305249,-5.3836365,-2.7676091,-3.1545284,-4.286968231201172,-4.423796653747559,-0.13682842254638672
40,-3.1010299,-3.3796802,"('honorable', 'mean')",-4.2401,-4.2467346,-3.7242696,-3.6302736,-4.339181,-4.565246,-6.058753,-6.130642,-2.9068136,-3.3330858,-4.0616912841796875,-4.214276949564616,-0.15258566538492868
53,-3.0892472,-3.1213758,"('smart', 'stupid')",-3.4990602,-3.3561988,-2.5764644,-2.4070332,-3.7487233,-3.918414,-4.380875,-4.512508,-3.3546703,-3.2368484,-3.4415067036946616,-3.425396283467611,0.01611042022705078
46,2.3155856,2.02644,"('generous', 'stingy')",1.8736205,1.9371378,2.0024872,2.3436248,1.0752039,1.0987561,2.2414412,2.3022788,0.83456933,0.996935,1.7238179842631023,1.7841952641805012,0.06037727991739894
78,2.2545123,1.5940995,"('active', 'inactive')",1.6613911,1.408135,1.9306183,1.8509607,1.7530717,1.3856063,1.9014573,1.6172376,1.6742909,1.1332293,1.8625569343566895,1.49821138381958,-0.3643455505371094
13,-2.1286783,-2.0788295,"('helpful', 'unhelpful')",-1.8367891,-1.9304203,-2.6901932,-2.4512072,-3.176093,-3.0256078,-2.6456947,-2.6768034,-2.575208,-2.4277782,-2.5087760289510093,-2.431774457295736,0.07700157165527344
25,-1.9353852,-1.7490566,"('moral', 'immoral')",-1.0571727,-1.1833907,-0.1583099,-0.045161948,-1.4705153,-1.4804506,-0.35382932,-0.41679206,-1.4564099,-1.4396524,-1.071937084197998,-1.0524174372355144,0.01951964696248365
3,1.8078926,1.6926621,"('likable', 'unlikable')",1.6023009,1.5444413,1.4447069,1.4982653,0.90367615,0.88237834,2.201161,2.1894653,1.4871099,1.6269121,1.5744744936625164,1.5723541577657063,-0.002120335896810044
81,1.7245431,1.4344263,"('industrious', 'lazy')",2.1083624,1.9488888,2.759805,2.344154,1.6700044,1.3421509,1.177786,1.0300014,2.0022373,2.030965,1.9071229298909504,1.6884311040242512,-0.21869182586669922
38,-1.6898909,-1.2481077,"('kind', 'unkind')",-1.7319003,-1.3762896,-1.0887301,-1.0080657,-2.7575254,-2.3663466,-2.0396976,-1.7484714,-1.1115729,-0.71509457,-1.7365528742472331,-1.4103959401448567,0.32615693410237645
65,-1.6881838,-1.4054806,"('practical', 'impractical')",-0.6924291,-0.74457407,-0.63940114,-0.5209437,-2.0945446,-2.1312761,-0.7121357,-0.70735514,-1.6388373,-1.5554767,-1.2442553043365479,-1.1775177319844563,0.06673757235209155
34,-1.674128,-1.4988801,"('loyal', 'disloyal')",-1.9465661,-1.8577085,-2.0621219,-1.6300131,-1.5066017,-1.0167723,-1.2905542,-1.1016616,-1.179813,-0.9404594,-1.6099642117818196,-1.34091583887736,0.2690483729044595
37,1.6507217,1.5229955,"('good', 'evil')",1.3909175,1.550813,1.6917233,1.6909137,1.6873653,1.5959294,1.6858269,1.5811448,2.5303283,2.428041,1.7728137969970703,1.7283061345418294,-0.04450766245524096
28,-1.6146188,-1.6312857,"('honest', 'dishonest')",-2.1802435,-2.0031562,-1.3562315,-1.3008314,-1.4038086,-1.4204441,-1.551497,-1.4535646,-1.27389,-0.99179226,-1.563381512959798,-1.4668456713358562,0.09653584162394191
