,hillshire_male,hillshire_female,tuple,brands_male,brands_female,average_male,average_female,female-male
75,2.9063427,2.8106685,"('confident', 'shy')",7.1034117,7.0223446,5.004877090454102,4.916506767272949,-0.08837032318115234
95,-2.547769,-2.5760412,"('rich', 'poor')",-5.9212017,-6.0021,-4.234485626220703,-4.2890706062316895,-0.05458498001098633
27,-2.5321445,-2.7531714,"('sincere', 'insincere')",-6.811324,-6.685583,-4.67173433303833,-4.719377517700195,-0.047643184661865234
40,-2.417748,-2.6750798,"('honorable', 'mean')",-5.11429,-5.459429,-3.766019105911255,-4.067254066467285,-0.3012349605560303
53,-2.122421,-2.407405,"('smart', 'stupid')",-4.9792485,-5.1134605,-3.5508346557617188,-3.760432720184326,-0.20959806442260742
50,1.8132415,1.5255272,"('unprejudiced', 'prejudiced')",1.871146,1.6671021,1.8421937227249146,1.5963146686553955,-0.24587905406951904
6,1.7325995,2.0169482,"('liked', 'disliked')",6.4010105,6.286419,4.066804885864258,4.151683807373047,0.08487892150878906
1,-1.4029882,-1.1154416,"('friendly', 'unfriendly')",-1.6853282,-1.6863722,-1.5441582202911377,-1.4009068012237549,0.1432514190673828
22,1.3105998,0.9843526,"('welcoming', 'disagreeable')",0.94545394,0.7984424,1.1280268430709839,0.8913974761962891,-0.23662936687469482
28,-1.2215589,-1.2229793,"('honest', 'dishonest')",-1.877771,-1.699816,-1.5496649742126465,-1.461397647857666,0.08826732635498047
76,1.1817436,0.9182433,"('secure', 'insecure')",0.319666,0.41019234,0.750704824924469,0.6642178297042847,-0.08648699522018433
34,-1.1738179,-0.85952723,"('loyal', 'disloyal')",-1.7968713,-1.5503709,-1.485344648361206,-1.204949140548706,0.2803955078125
11,-1.1602778,-1.1106901,"('caring', 'unaffectionate')",-2.122588,-2.0974293,-1.6414328813552856,-1.6040596961975098,0.03737318515777588
103,1.1514556,1.1705703,"('traditional', 'modern')",0.67664707,0.72643065,0.914051353931427,0.9485004544258118,0.034449100494384766
