,stericycle_male,stericycle_female,tuple,average_male,average_female,female-male
100,1.6391885,1.9347324,"('influential', 'uninfluential')",1.639188528060913,1.934732437133789,0.295543909072876
40,-1.4251008,-1.4964349,"('honorable', 'mean')",-1.4251008033752441,-1.4964349269866943,-0.0713341236114502
75,1.4248888,1.1794999,"('confident', 'shy')",1.4248888492584229,1.179499864578247,-0.24538898468017578
66,1.3836564,1.5536829,"('imaginative', 'unimaginative')",1.38365638256073,1.5536829233169556,0.17002654075622559
90,1.359426,1.1551658,"('motivated', 'unmotivated')",1.3594260215759277,1.1551657915115356,-0.2042602300643921
38,-1.2976872,-0.7735675,"('kind', 'unkind')",-1.2976871728897095,-0.7735674977302551,0.5241196751594543
32,-1.2427553,-1.0022831,"('benevolent', 'hardhearted')",-1.2427552938461304,-1.0022830963134766,0.2404721975326538
12,1.1869121,1.4717797,"('sympathetic', 'unsympathetic')",1.1869120597839355,1.471779704093933,0.28486764430999756
53,-1.1482439,-1.0334201,"('smart', 'stupid')",-1.1482439041137695,-1.0334200859069824,0.11482381820678711
17,1.1306031,1.3912516,"('social', 'antisocial')",1.1306030750274658,1.391251564025879,0.2606484889984131
4,-1.1272004,-1.0456308,"('likable', 'unlikable')",-1.1272003650665283,-1.0456308126449585,0.08156955242156982
19,-1.0752064,-0.9079922,"('funny', 'boring')",-1.0752063989639282,-0.9079921841621399,0.16721421480178833
5,1.0504632,1.0147135,"('pleasant', 'repellent')",1.0504631996154785,1.0147135257720947,-0.03574967384338379
29,1.0278163,1.088125,"('honest', 'immoral')",1.0278162956237793,1.0881249904632568,0.06030869483947754
109,1.0127326,1.2935658,"('conservative', 'liberal')",1.0127326250076294,1.2935657501220703,0.2808331251144409
108,1.0127326,1.2935658,"('conservative', 'liberal')",1.0127326250076294,1.2935657501220703,0.2808331251144409
94,0.9452026,1.3324809,"('aggressive', 'submissive')",0.9452025890350342,1.3324809074401855,0.38727831840515137
51,0.9366706,1.0667558,"('competent', 'incompetent')",0.9366706013679504,1.066755771636963,0.13008517026901245
