,old_male,old_female,tuple,dominion_male,dominion_female,freight_male,freight_female,line_male,line_female,average_male,average_female,female-male
37,2.370655,2.646101,"('good', 'evil')",0.15519154,0.047478646,2.0372815,1.8765312,2.0519876,1.9605389,1.6537789106369019,1.6326624155044556,-0.02111649513244629
75,2.3413148,2.692403,"('confident', 'shy')",5.023539,5.197535,5.344554,5.319031,4.549804,4.7522974,4.314803123474121,4.490316390991211,0.17551326751708984
81,2.2769337,2.4575677,"('industrious', 'lazy')",-0.12908942,-0.20598018,1.3466787,1.3352041,0.71795017,0.70421934,1.053118348121643,1.0727527141571045,0.019634366035461426
40,-2.1736588,-2.6454983,"('honorable', 'mean')",-3.3032947,-3.5748663,-4.10768,-4.2669253,-3.0096192,-3.4564993,-3.1485629081726074,-3.4859471321105957,-0.3373842239379883
27,-2.1546218,-2.7920911,"('sincere', 'insincere')",-3.8235123,-3.8182127,-5.7600126,-5.699779,-3.7308097,-4.01619,-3.867238998413086,-4.081568241119385,-0.21432924270629883
41,2.02263,2.7076302,"('incorrupt', 'corrupt')",-0.4111991,-0.43910432,1.9505945,1.9651214,0.7998284,0.7651513,1.0904635190963745,1.2496997117996216,0.15923619270324707
61,1.945616,2.351528,"('rational', 'irrational')",0.0820787,0.08858158,0.030117765,0.21454674,0.6375391,0.9377023,0.6738379001617432,0.8980896472930908,0.22425174713134766
95,-1.7273209,-2.422055,"('rich', 'poor')",-3.35735,-3.569448,-4.657674,-4.8945007,-2.7430773,-3.0193439,-3.1213555335998535,-3.47633695602417,-0.3549814224243164
28,-1.7258669,-1.7845012,"('honest', 'dishonest')",-1.414223,-1.340925,-2.0778935,-2.0695324,-0.8091012,-0.87431014,-1.5067710876464844,-1.5173171758651733,-0.010546088218688965
13,-1.6506424,-1.9191151,"('helpful', 'unhelpful')",-1.0575292,-1.0002236,-2.486768,-2.3070104,-1.3884072,-1.38113,-1.6458367109298706,-1.651869773864746,-0.006033062934875488
78,1.6355894,1.642962,"('active', 'inactive')",1.2006125,1.1047506,2.0190852,1.4632629,1.6371515,1.3122206,1.6231095790863037,1.3807990550994873,-0.2423105239868164
82,1.6345172,1.8648429,"('industrious', 'meek')",-0.15708214,-0.10025692,0.59259546,0.6553068,0.8703646,1.0620507,0.7350988388061523,0.8704859018325806,0.13538706302642822
53,-1.6189994,-1.8444657,"('smart', 'stupid')",-3.1968894,-3.2771096,-4.3058233,-4.5182047,-2.8511305,-3.2077389,-2.993210554122925,-3.2118797302246094,-0.21866917610168457
12,-1.614753,-1.8265429,"('sympathetic', 'unsympathetic')",0.04335761,0.011868119,-0.800699,-0.79184705,-0.7159894,-0.8284482,-0.7720209360122681,-0.8587424755096436,-0.08672153949737549
68,-1.5384004,-1.4268738,"('clever', 'inept')",-0.25318947,-0.5437058,-0.43257308,-0.6332232,0.048151165,-0.248617,-0.5440029501914978,-0.7131049036979675,-0.16910195350646973
93,-1.4971825,-1.3376689,"('dominating', 'dominated')",0.23357612,0.32147548,-0.68938136,-0.29399598,-0.18805952,0.20757559,-0.5352618098258972,-0.2756534516811371,0.25960835814476013
2,-1.4164405,-1.7628284,"('friendly', 'unfriendly')",0.6615155,0.7448807,-0.15719691,-0.06521982,-0.016471356,0.0561893,-0.23214831948280334,-0.2567445635795593,-0.02459624409675598
65,-1.4064244,-1.9044957,"('practical', 'impractical')",-0.3013745,-0.24747029,-1.6459765,-1.5687388,-1.6722934,-1.8572202,-1.2565171718597412,-1.3944813013076782,-0.137964129447937
52,-1.3960241,-1.4484843,"('competitive', 'uncompetitive')",0.81262046,0.96242326,-0.89088243,-0.82759196,-0.15421546,-0.16158181,-0.4071253836154938,-0.36880868673324585,0.038316696882247925
34,-1.3904381,-1.1218547,"('loyal', 'disloyal')",-1.6155977,-1.4635434,-2.5093622,-2.3645215,-1.4911573,-1.1692297,-1.7516388893127441,-1.529787302017212,0.22185158729553223
99,1.3728031,1.5628062,"('prestigious', 'insignificant')",-1.2944602,-1.5029548,0.12206349,-0.0009057522,-0.14467728,-0.124773264,0.013932280242443085,-0.016456902027130127,-0.03038918226957321
29,-1.3582641,-1.6294154,"('honest', 'immoral')",-0.10517731,-0.16955912,-0.80178666,-0.8968651,-0.678503,-0.911308,-0.7359327673912048,-0.9017869234085083,-0.16585415601730347
30,-1.293424,-1.3792721,"('honest', 'dishonest')",0.098727405,0.21326315,-0.9755639,-0.8947093,0.19331771,0.117902614,-0.49423569440841675,-0.4857039153575897,0.008531779050827026
64,-1.2867281,-1.7783412,"('clever', 'incompetent')",1.1827544,1.1740826,-0.7409894,-0.75144875,-0.48554093,-0.61748517,-0.33262601494789124,-0.49329811334609985,-0.16067209839820862
18,-1.209862,-1.5875683,"('social', 'asocial')",-0.2433913,-0.07785713,-0.88775635,-0.71657634,-0.76141334,-0.74570054,-0.7756057381629944,-0.781925618648529,-0.006319880485534668
59,1.1878698,1.6618314,"('skillful', 'clumsy')",0.5710843,0.63462836,0.28995085,0.3459749,0.4226569,0.805226,0.617890477180481,0.8619151711463928,0.24402469396591187
32,-1.1753807,-0.67622715,"('benevolent', 'hardhearted')",-1.8758926,-1.7505947,-1.2242912,-1.1890818,-1.0627627,-0.9808856,-1.3345818519592285,-1.1491973400115967,0.18538451194763184
70,1.1672882,1.4060137,"('wise', 'unwise')",0.2761642,0.25295284,0.9816406,0.96625865,0.9048085,0.8101088,0.8324753642082214,0.8588334321975708,0.026358067989349365
51,-1.1393417,-1.0979116,"('competent', 'incompetent')",-0.028811991,0.018327236,-1.0380363,-1.0303203,0.09740046,-0.0117889345,-0.5271974205970764,-0.5304234027862549,-0.003225982189178467
38,-1.122951,-1.1964718,"('kind', 'unkind')",-0.1791541,0.09890714,-1.9200375,-1.661833,-1.5346777,-1.4565468,-1.1892051696777344,-1.0539860725402832,0.13521909713745117
83,-1.1071815,-1.188614,"('energetic', 'lethargic')",0.056393296,0.041921407,-0.5090605,-0.6312169,-0.58367604,-0.3755234,-0.5358812212944031,-0.538358211517334,-0.002476990222930908
9,-1.1010714,-1.3361509,"('sensitive', 'insensitive')",-0.92785835,-0.9780893,-1.1158,-1.3047974,-1.0728676,-1.1591467,-1.0543992519378662,-1.194546103477478,-0.14014685153961182
71,-1.0899632,-2.1047025,"('efficient', 'inefficient')",1.6388942,1.7313588,-0.5769379,-0.78269994,-0.9358876,-1.2896874,-0.24097362160682678,-0.6114327907562256,-0.3704591691493988
0,-1.0811256,-0.9207505,"('sociable', 'unsociable')",1.0990862,1.3932382,-0.74323773,-0.48311812,0.3034904,0.3047897,-0.1054466962814331,0.07353981584310532,0.17898651212453842
54,1.0365672,0.91357267,"('smart', 'stupid')",0.88032395,0.5671418,0.90058917,0.68151766,0.9263029,0.5826006,0.9359458088874817,0.686208188533783,-0.24973762035369873
36,-1.0139142,-1.3619938,"('tolerant', 'intolerant')",-0.6642386,-0.7054764,-0.5185861,-0.46040934,-0.46082562,-0.41501296,-0.6643911600112915,-0.7357231378555298,-0.07133197784423828
20,1.0089366,1.0906278,"('popular', 'unpopular')",1.0387503,1.0272323,-0.41807356,-0.25479138,0.06383073,0.38535154,0.42336106300354004,0.5621050596237183,0.13874399662017822
101,-0.95799553,-0.7166152,"('successful', 'unsuccessful')",-0.10325211,0.028533965,-1.0918492,-0.9061651,-0.0036552846,-0.040817052,-0.5391879677772522,-0.40876585245132446,0.13042211532592773
25,-0.9530672,-1.6660849,"('moral', 'immoral')",1.0007454,0.9669626,-0.38551557,-0.30904102,-0.96495914,-1.0096582,-0.325699120759964,-0.5044553875923157,-0.17875626683235168
58,-0.9446661,-0.818305,"('able', 'clumsy')",-0.64645123,-0.7358489,-1.2107447,-1.1202208,-0.49514478,-0.33889884,-0.8242517709732056,-0.7533183693885803,0.07093340158462524
8,0.94397444,0.9227624,"('open', 'distant')",-1.1873766,-1.3182966,0.037355557,-0.29011393,0.9373671,0.63491607,0.1828301101922989,-0.012683004140853882,-0.19551311433315277
42,0.91102326,1.5916765,"('amicable', 'hostile')",-0.023301363,-0.05659634,0.8434802,0.9166735,0.46698162,0.6444081,0.54954594373703,0.7740404605865479,0.22449451684951782
22,0.9003327,0.7028436,"('welcoming', 'disagreeable')",0.56323826,0.6631944,1.1225629,0.99441123,1.34724,1.1945715,0.9833434820175171,0.888755202293396,-0.0945882797241211
26,-0.8862952,-0.6624484,"('trustworthy', 'untrustworthy')",0.7163294,0.88195986,0.34485084,0.40707248,0.099484526,0.12339269,0.06859239190816879,0.187494158744812,0.11890176683664322
49,-0.8472892,-1.2409805,"('responsible', 'irresponsible')",-0.9176755,-0.9285992,-1.7012976,-1.8606794,-0.70852596,-0.9044539,-1.0436971187591553,-1.2336782217025757,-0.1899811029434204
88,0.81887823,1.3057728,"('impulsive', 'meek')",0.34048823,0.32140362,1.22711,1.2547653,0.8536992,1.044024,0.8100439310073853,0.9814914464950562,0.1714475154876709
69,0.79583365,1.023949,"('wise', 'foolish')",-1.1405208,-1.1056584,0.09825091,0.12730095,-0.20642781,0.024536043,-0.11321601271629333,0.017531901597976685,0.13074791431427002
