,cleveland_male,cleveland_female,tuple,cliffs_male,cliffs_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
75,6.49656,6.451296,"('confident', 'shy')",5.89509,5.9345107,7.114957,7.069081,4.247345,4.725128,5.938488006591797,6.045003890991211,0.10651588439941406
27,-5.1128216,-5.1017504,"('sincere', 'insincere')",-6.532568,-6.5606236,-5.9644923,-5.753437,-4.0693674,-4.2187166,-5.419812202453613,-5.408632278442383,0.011179924011230469
6,4.531624,4.5705366,"('liked', 'disliked')",5.436901,5.6310773,5.677591,5.5762877,3.2574773,3.5818095,4.725898265838623,4.839928150177002,0.1140298843383789
95,-4.520806,-4.434166,"('rich', 'poor')",-5.0308695,-5.167335,-5.305249,-5.3836365,-2.7676091,-3.1545284,-4.406133651733398,-4.534916400909424,-0.1287827491760254
53,-4.3293962,-4.239069,"('smart', 'stupid')",-4.65032,-4.6714735,-4.380875,-4.512508,-3.3546703,-3.2368484,-4.1788153648376465,-4.164974689483643,0.013840675354003906
40,-4.1147027,-4.3842683,"('honorable', 'mean')",-4.8091288,-5.141714,-6.058753,-6.130642,-2.9068136,-3.3330858,-4.472349643707275,-4.747427463531494,-0.27507781982421875
86,3.126522,3.074767,"('self-reliant', 'helpless')",3.9095273,3.5053515,2.7533045,2.6512728,1.5905108,1.749958,2.844966411590576,2.74533748626709,-0.09962892532348633
50,2.7370033,2.6196928,"('unprejudiced', 'prejudiced')",2.4226825,2.2000916,2.1868188,2.2143292,1.2686491,1.0383911,2.1537885665893555,2.0181260108947754,-0.13566255569458008
32,-2.233805,-2.0819898,"('benevolent', 'hardhearted')",-1.0980141,-0.9236547,-1.3800055,-1.1813879,-0.5565795,-0.20947967,-1.317101001739502,-1.099128007888794,0.217972993850708
13,-2.2330465,-2.1540155,"('helpful', 'unhelpful')",-2.9285107,-2.79374,-2.6456947,-2.6768034,-2.575208,-2.4277782,-2.5956149101257324,-2.5130844116210938,0.08253049850463867
28,-1.9589183,-1.9473364,"('honest', 'dishonest')",-2.3589306,-2.2275364,-1.551497,-1.4535646,-1.27389,-0.99179226,-1.78580904006958,-1.655057430267334,0.1307516098022461
1,-1.9090852,-1.9320168,"('friendly', 'unfriendly')",-1.9247968,-1.724911,-1.2462616,-1.0772927,0.03334117,0.025989413,-1.2617006301879883,-1.1770577430725098,0.08464288711547852
74,-1.8370851,-1.9128265,"('insightful', 'unperceptive')",-1.4619145,-1.5417379,-0.87907934,-1.0284927,-0.31318325,-0.21756577,-1.1228156089782715,-1.1751556396484375,-0.052340030670166016
11,-1.7823107,-1.7997371,"('caring', 'unaffectionate')",-2.2120292,-2.2134404,-1.2535963,-1.2632395,-0.39734697,-0.45263273,-1.4113208055496216,-1.4322624206542969,-0.020941615104675293
3,1.7520462,1.5483873,"('likable', 'unlikable')",0.43570197,0.5255988,2.201161,2.1894653,1.4871099,1.6269121,1.4690048694610596,1.4725909233093262,0.0035860538482666016
58,-1.7179735,-1.6718631,"('able', 'clumsy')",-1.7610302,-1.7140687,-1.8991308,-1.7031244,-1.5659094,-1.5201012,-1.736011028289795,-1.6522892713546753,0.08372175693511963
