,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,average_male,average_female,female-male
52,2.7464242,2.724831,"('competitive', 'uncompetitive')",-0.7786321,-0.5827871,0.16197807,0.2377334,0.7099233468373617,0.7932591438293457,0.08333579699198401
12,2.7331693,2.7652354,"('sympathetic', 'unsympathetic')",-1.5432942,-1.4397454,-0.27120304,-0.008537859,0.3062240282694499,0.4389840364456177,0.1327600081761678
2,2.731289,2.7543952,"('friendly', 'unfriendly')",-1.1833041,-0.83397424,-0.20913397,-0.10684547,0.44628361860911053,0.6045251687367758,0.15824155012766522
99,-2.5552955,-2.4209394,"('prestigious', 'insignificant')",0.77678156,0.5511234,0.25970423,0.13980573,-0.5062698920567831,-0.5766700903574625,-0.07040019830067945
107,2.3858228,2.49658,"('conventional', 'modern')",0.38715938,0.40438294,0.053577453,0.18029389,0.9421865145365397,1.027085542678833,0.08489902814229333
71,2.3575418,2.208111,"('efficient', 'inefficient')",-1.6916533,-1.684596,0.101816684,-0.19119468,0.2559017340342204,0.1107734739780426,-0.1451282600561778
64,2.2981396,2.2311115,"('clever', 'incompetent')",-1.4463694,-1.316491,-0.9213735,-0.9840151,-0.0232011079788208,-0.023131529490152996,6.957848866780483e-05
75,2.2833462,2.1661875,"('confident', 'shy')",4.939724,4.994638,3.837087,3.8022938,3.6867189407348633,3.6543731689453125,-0.03234577178955078
81,-2.1969817,-2.332278,"('industrious', 'lazy')",1.9114699,1.8021244,0.48612142,0.20658085,0.06686989466349284,-0.10785759488741557,-0.17472748955090842
41,-2.0918918,-1.9751827,"('incorrupt', 'corrupt')",1.6210029,1.6867807,0.15127951,0.39208513,-0.10653644800186157,0.03456105788548788,0.14109750588734946
49,1.9842346,1.8099539,"('responsible', 'irresponsible')",-2.1645157,-2.230853,-0.35289282,-0.36939391,-0.1777246594429016,-0.26343103249867755,-0.08570637305577594
94,1.9654777,2.0964723,"('aggressive', 'submissive')",-0.23002794,-0.15579748,0.13581765,0.30736664,0.6237558126449585,0.7493471304575602,0.1255913178126017
100,1.9357371,1.9320419,"('influential', 'uninfluential')",-1.0314844,-0.7394237,-0.180202,-0.069970995,0.24135025342305502,0.3742157220840454,0.1328654686609904
16,1.9217169,2.0032196,"('social', 'antisocial')",-1.141745,-0.8689836,-0.21103108,-0.34213054,0.18964695930480957,0.2640351454416911,0.07438818613688153
14,1.862838,1.6025409,"('supportive', 'unsupportive')",0.23018403,-0.03547913,0.57675266,0.6167981,0.8899249235788981,0.7279532750447592,-0.16197164853413892
0,1.8111398,1.8796467,"('sociable', 'unsociable')",-1.1157601,-0.7282528,-0.047553077,0.10342214,0.2159422238667806,0.4182720184326172,0.20232979456583658
8,-1.7755338,-1.9464868,"('open', 'distant')",1.1023654,0.75858015,0.8573097,0.6207952,0.06138042608896891,-0.1890371839205424,-0.2504176100095113
15,1.7645321,1.8159418,"('polite', 'impolite')",-0.04083036,0.21482044,0.31161815,0.6714294,0.6784399350484213,0.9007305304209391,0.22229059537251783
55,1.7517052,1.7468104,"('intelligent', 'unintelligent')",-0.9549765,-0.8100181,-0.38381553,-0.4694569,0.13763771454493204,0.15577846765518188,0.018140753110249846
69,-1.7502933,-1.7533345,"('wise', 'foolish')",1.0712998,0.98728347,-0.17939514,-0.07063107,-0.28612953424453735,-0.278894046942393,0.00723548730214435
82,-1.7351403,-1.720433,"('industrious', 'meek')",1.5385609,1.6063236,0.1496856,-0.05128953,-0.015631283322970074,-0.05513297518094381,-0.03950169185797374
51,1.6805233,1.5584685,"('competent', 'incompetent')",-0.7016839,-0.645089,-0.1953148,-0.44824606,0.26117487748463947,0.1550444761912028,-0.10613040129343668
