,crown_male,crown_female,tuple,castle_male,castle_female,intl_male,intl_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,5.7585745,6.1448216,"('confident', 'shy')",6.010674,6.1889343,4.7334223,4.718852,6.66473,6.5372887,4.247345,4.725128,5.482949066162109,5.663005065917969,0.18005599975585973
27,-5.7397566,-5.8507757,"('sincere', 'insincere')",-5.8809633,-6.238015,-2.0892222,-1.8426467,-6.6364894,-6.431673,-4.0693674,-4.2187166,-4.883159637451172,-4.916365051269532,-0.03320541381835973
95,-4.939445,-5.242842,"('rich', 'poor')",-5.7522902,-6.0141726,-3.263465,-3.2528734,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.551392364501953,-4.756211471557617,-0.20481910705566442
6,4.8508005,5.024555,"('liked', 'disliked')",5.5836325,5.960726,2.762006,2.6580708,6.684802,6.6123395,3.2574773,3.5818095,4.627743530273437,4.767500305175782,0.13975677490234428
53,-4.3973804,-4.609401,"('smart', 'stupid')",-3.8876638,-4.3948393,-2.268868,-2.125273,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.6718112945556642,-3.7337860107421874,-0.06197471618652317
40,-4.1221886,-4.5831776,"('honorable', 'mean')",-4.5333652,-5.0037813,-3.0077095,-3.0984375,-5.858739,-5.9650583,-2.9068136,-3.3330858,-4.085763549804687,-4.396708297729492,-0.31094474792480487
38,-2.7578166,-2.3058581,"('kind', 'unkind')",-2.0002823,-1.7310548,-0.928801,-0.5438232,-2.3757577,-1.9031388,-1.1115729,-0.71509457,-1.8348461151123048,-1.439793872833252,0.3950522422790528
13,-2.4945261,-2.2386057,"('helpful', 'unhelpful')",-2.5595386,-2.8250384,-0.38611156,-0.09573203,-3.0271235,-3.0961032,-2.575208,-2.4277782,-2.208501625061035,-2.136651611328125,0.07185001373290989
78,2.423647,1.7361174,"('active', 'inactive')",1.6092722,1.3211628,1.0169973,0.6015024,2.3321204,1.9112912,1.6742909,1.1332293,1.8112655639648438,1.340660572052002,-0.4706049919128419
86,2.1974678,2.3662543,"('self-reliant', 'helpless')",3.3425012,3.2009335,1.4739473,1.3433073,2.751844,2.6451762,1.5905108,1.749958,2.2712543487548826,2.2611257553100588,-0.010128593444823863
34,-2.0188315,-1.6853623,"('loyal', 'disloyal')",-2.757091,-2.3503826,-0.18328357,0.12278307,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.6313880920410155,-1.3272321701049805,0.304155921936035
48,1.9444802,2.0586247,"('reliable', 'unreliable')",2.192714,2.3531861,1.2997459,1.3493757,2.681928,2.5936308,1.1541629,1.1235613,1.8546062469482423,1.8956756591796875,0.041069412231445224
32,-1.9389892,-1.7394184,"('benevolent', 'hardhearted')",-1.5858899,-1.3815804,-1.1466358,-0.9004085,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.3100276947021485,-0.9972295761108398,0.3127981185913087
46,1.8712188,1.7218919,"('generous', 'stingy')",1.6690183,1.9606798,1.141415,1.0539424,2.3762202,2.3003333,0.83456933,0.996935,1.5784883499145508,1.6067564010620117,0.028268051147460893
1,-1.8527191,-1.8824079,"('friendly', 'unfriendly')",-1.4977772,-1.2213345,-0.4788951,-0.39500797,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.0327489852905274,-0.9005989074707031,0.13215007781982424
63,-1.8177787,-2.0082276,"('capable', 'incapable')",-1.1999037,-1.2392876,-0.78252316,-0.8033749,-1.1376256,-1.0196587,-0.33474922,-0.53823125,-1.0545161247253418,-1.1217559814453124,-0.06723985671997057
11,-1.8116504,-2.0217257,"('caring', 'unaffectionate')",-1.7340431,-1.8976938,0.32268465,0.3955443,-1.484493,-1.4917997,-0.39734697,-0.45263273,-1.0209696769714356,-1.0936614990234375,-0.07269182205200186
66,1.8107135,2.0911434,"('imaginative', 'unimaginative')",1.4997988,1.9310478,1.5942949,1.8515929,3.0494213,3.0358052,0.34587073,0.7209271,1.660019874572754,1.926103401184082,0.26608352661132817
50,1.7591746,1.6469452,"('unprejudiced', 'prejudiced')",2.6221263,2.4176326,0.98303276,0.84635925,2.2759738,2.2260273,1.2686491,1.0383911,1.7817913055419923,1.6350711822509765,-0.1467201232910158
28,-1.7375033,-1.780911,"('honest', 'dishonest')",-1.839633,-1.9162267,-0.5950117,-0.42793107,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.5063234329223634,-1.4263120651245118,0.08001136779785156
3,1.7073678,1.9162319,"('likable', 'unlikable')",0.7587311,0.88035744,1.0364754,1.0312948,1.6233785,1.5548921,1.4871099,1.6269121,1.3226125717163086,1.4019376754760742,0.07932510375976554
58,-1.6678064,-1.6055887,"('able', 'clumsy')",-1.6291512,-1.6122649,-0.18721762,0.075292334,-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.4574801445007324,-1.309309482574463,0.1481706619262695
101,-1.5335579,-1.2605317,"('successful', 'unsuccessful')",-0.37265357,-0.24921203,-0.9612673,-0.74677396,-1.2861463,-1.4652822,-0.6508886,-0.41667444,-0.9609026908874512,-0.8276948928833008,0.1332077980041504
102,-1.4426658,-1.2493538,"('eminent', 'low')",-0.3195165,-0.16798255,-0.29181984,-0.11855054,-0.53147554,-0.3426346,-0.2643765,-0.27766025,-0.5699708461761475,-0.43123636245727537,0.1387344837188721
98,-1.402132,-1.7130705,"('prestigious', 'insignificant')",-0.8974234,-0.77164,-0.8618865,-1.0224617,-0.5078856,-0.44825798,0.27524158,0.15429056,-0.6788171291351318,-0.7602278709411621,-0.08141074180603025
45,-1.3801111,-1.4147253,"('cooperative', 'exploitative')",-0.08725834,-0.59168386,-0.16005969,-0.06004727,-1.1704645,-0.9724724,-1.0277846,-0.9165996,-0.7651356220245361,-0.7911056518554688,-0.02597002983093266
44,-1.3648462,-1.311262,"('truthful', 'untruthful')",-0.77733886,-0.95889366,0.20293483,0.14235076,-0.6980455,-0.76625013,-0.44683415,-0.3493275,-0.6168259620666504,-0.6486765384674072,-0.031850576400756836
99,-1.3312095,-1.6633865,"('prestigious', 'insignificant')",-0.21990433,-0.043091737,-0.757283,-0.8196894,0.29116943,0.51564914,0.7842057,0.64763576,-0.2466043472290039,-0.27257657051086426,-0.025972223281860357
10,-1.3274655,-1.3238807,"('affectionate', 'unaffectionate')",-1.4077005,-1.2434443,0.030103117,0.10801625,-0.05168128,0.14470398,0.7698784,0.8342984,-0.3973731517791748,-0.29606127738952637,0.10131187438964845
80,1.1930492,1.2406725,"('independent', 'dependent')",0.78549343,0.7352919,-0.13813762,-0.17483707,0.50642145,0.6569986,0.56695527,0.6444183,0.5827563762664795,0.6205088138580322,0.03775243759155278
36,-1.1789958,-1.0035133,"('tolerant', 'intolerant')",-1.3506337,-1.4070649,0.079058856,0.23709518,-1.3469197,-1.1648283,-0.8488381,-0.593192,-0.9292657852172852,-0.7863006591796875,0.1429651260375977
37,1.1744491,0.7082795,"('good', 'evil')",2.26056,2.25365,0.2786243,0.13205436,1.9438914,2.0353565,2.5303283,2.428041,1.637570571899414,1.5114762306213378,-0.12609434127807617
29,-1.1549448,-1.3045496,"('honest', 'immoral')",-1.1953377,-1.2413001,-0.44685826,-0.35518783,-1.8260021,-1.7521313,-1.9729593,-2.176074,-1.3192203521728516,-1.3658486366271974,-0.04662828445434575
47,-1.1304541,-1.0516083,"('forgiving', 'unforgiving')",-0.7628671,-0.6991038,0.031761184,0.2763263,-0.80979,-0.5174874,-0.45840046,-0.068962395,-0.6259500980377197,-0.4121671199798584,0.21378297805786134
33,-1.1188257,-1.2170768,"('softhearted', 'hardhearted')",-0.7154641,-0.6004691,-0.46822774,-0.47974464,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-0.7915072917938233,-0.7832314491271972,0.008275842666626065
12,-1.1146773,-1.0453941,"('sympathetic', 'unsympathetic')",-1.9094439,-1.7813574,0.81053245,1.100534,-1.3533148,-1.4027944,-1.2802973,-1.1208498,-0.9694401741027832,-0.8499723434448242,0.11946783065795896
88,1.1117597,1.0703003,"('impulsive', 'meek')",1.6137798,1.6112235,0.004151404,-0.064105675,1.447821,1.2792021,1.563556,1.8192687,1.1482135772705078,1.1431777954101563,-0.005035781860351474
18,-1.0950592,-0.9054245,"('social', 'asocial')",-0.7969903,-0.9850322,0.83189046,0.84449124,-0.15735155,-0.051664025,-1.5692225,-1.306341,-0.5573465824127197,-0.480794095993042,0.07655248641967771
85,-1.0834242,-0.9552985,"('ambitious', 'unambitious')",-0.510378,-0.4972637,0.3739707,0.48911768,-0.31822163,-0.35626906,0.013987601,0.106343,-0.3048130989074707,-0.2426741123199463,0.062138986587524425
90,1.0718051,0.8526176,"('motivated', 'unmotivated')",1.0273981,0.86072236,0.66308516,0.6155364,0.5462045,0.32156423,-0.115985096,-0.5120882,0.6385015487670899,0.4276704788208008,-0.21083106994628908
