,united_male,united_female,tuple,states_male,states_female,steel_male,steel_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,3.6704116,5.27315,"('confident', 'shy')",3.4728813,3.7360213,5.322677,5.5723076,6.66473,6.5372887,4.247345,4.725128,4.675608825683594,5.168778991699218,0.49317016601562447
27,-3.4033113,-5.699612,"('sincere', 'insincere')",-4.586424,-4.836281,-5.9800878,-6.1338987,-6.6364894,-6.431673,-4.0693674,-4.2187166,-4.9351356506347654,-5.464036560058593,-0.528900909423828
95,-2.8301954,-4.41202,"('rich', 'poor')",-3.1690965,-3.6694427,-5.639573,-5.792163,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.088125228881836,-4.628958892822266,-0.5408336639404299
40,-2.7642767,-4.4713573,"('honorable', 'mean')",-2.860349,-3.2790627,-4.3203897,-4.7568603,-5.858739,-5.9650583,-2.9068136,-3.3330858,-3.742113494873047,-4.36108512878418,-0.6189716339111331
53,-2.753362,-4.174281,"('smart', 'stupid')",-3.4224095,-3.697833,-4.460679,-4.976082,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.6883190155029295,-4.077522659301758,-0.38920364379882866
6,2.5349522,5.037565,"('liked', 'disliked')",3.7926996,4.1336436,5.1625204,5.5159903,6.684802,6.6123395,3.2574773,3.5818095,4.286490249633789,4.976269912719727,0.6897796630859379
68,-1.9387511,-1.6618314,"('clever', 'inept')",-1.0963752,-1.336499,-0.88204134,-1.0709877,-0.914963,-0.89569235,-0.6454199,-0.8717228,-1.0955101013183595,-1.1673465728759767,-0.07183647155761719
32,-1.9195993,-1.4350318,"('benevolent', 'hardhearted')",-1.6458998,-1.3453369,-1.1551375,-1.1068926,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.319852066040039,-0.9704004287719726,0.3494516372680664
86,1.8553216,2.668697,"('self-reliant', 'helpless')",2.2087483,2.1440659,3.0781488,3.1516662,2.751844,2.6451762,1.5905108,1.749958,2.2969146728515626,2.4719127655029296,0.174998092651367
28,-1.7676301,-2.148219,"('honest', 'dishonest')",-1.4153744,-1.400065,-1.7669992,-2.0351768,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.6618946075439454,-1.7179904937744142,-0.056095886230468794
1,-1.6949865,-1.1789763,"('friendly', 'unfriendly')",-0.47612706,-0.014715135,-1.3945396,-1.3500541,-1.3676949,-1.0302336,0.03334117,0.025989413,-0.9800012588500977,-0.7095979690551758,0.2704032897949219
50,1.6204607,1.5821657,"('unprejudiced', 'prejudiced')",1.907357,1.5889435,2.206658,2.0589714,2.2759738,2.2260273,1.2686491,1.0383911,1.8558197021484375,1.6988998413085938,-0.15691986083984366
107,1.5787694,1.3190601,"('conventional', 'modern')",-0.2506802,-0.54857105,-0.003386706,0.023893237,0.41894037,0.40934473,1.0958123,1.6039909,0.5678910255432129,0.5615435600280761,-0.006347465515136763
103,1.5092664,0.9863695,"('traditional', 'modern')",1.1618084,1.2144042,1.689661,1.6603558,0.6515223,0.51988685,0.68126935,0.61791956,1.1387054443359375,0.9997871398925782,-0.1389183044433593
65,-1.4393141,-1.4566824,"('practical', 'impractical')",-2.3603647,-2.4807396,-1.91932,-2.053048,-0.9191679,-0.87139773,-1.6388373,-1.5554767,-1.655400848388672,-1.683469009399414,-0.028068161010742054
