,federal_male,federal_female,tuple,realty_male,realty_female,investment_male,investment_female,tr_male,tr_female,new_male,new_female,average_male,average_female,female-male
27,-6.30512,-6.3348074,"('sincere', 'insincere')",-2.283391,-1.9823153,-4.7201033,-4.324464,-4.870453,-5.042753,-4.0693674,-4.2187166,-4.449686431884766,-4.380611419677734,0.0690750122070316
75,6.0080633,6.068686,"('confident', 'shy')",2.567288,2.3398051,2.9731774,2.6143231,5.8976455,5.964955,4.247345,4.725128,4.338703918457031,4.34257926940918,0.0038753509521489704
6,4.887652,4.9415903,"('liked', 'disliked')",1.0400002,0.83722603,3.1273727,2.9102833,5.432601,5.7181897,3.2574773,3.5818095,3.549020767211914,3.5978199005126954,0.04879913330078134
95,-4.879018,-4.9235563,"('rich', 'poor')",-1.638322,-1.5890195,-3.693491,-3.4174309,-5.353836,-5.539606,-2.7676091,-3.1545284,-3.666455078125,-3.724828338623047,-0.05837326049804714
53,-4.4724026,-4.766732,"('smart', 'stupid')",-1.9605024,-1.8672638,-3.4465659,-3.3046274,-4.5216503,-4.6112833,-3.3546703,-3.2368484,-3.551158142089844,-3.557350921630859,-0.00619277954101527
40,-4.3081064,-4.605153,"('honorable', 'mean')",-2.328883,-2.4018722,-3.8367567,-3.915258,-4.1374016,-4.431324,-2.9068136,-3.3330858,-3.503592300415039,-3.737338638305664,-0.23374633789062527
13,-2.963224,-3.0373912,"('helpful', 'unhelpful')",-1.4099225,-1.208854,-2.7218547,-2.4997828,-1.8902185,-1.9370661,-2.575208,-2.4277782,-2.3120855331420898,-2.2221744537353514,0.08991107940673837
38,-2.8116236,-2.627295,"('kind', 'unkind')",-0.8801061,-0.49605748,-1.3017987,-1.0711834,-1.7425754,-1.2762346,-1.1115729,-0.71509457,-1.5695353507995606,-1.237173080444336,0.3323622703552247
78,2.7309256,2.4230185,"('active', 'inactive')",1.1834202,0.6317724,0.08379622,-0.31231272,2.4092453,2.385871,1.6742909,1.1332293,1.616335678100586,1.2523157119750976,-0.36401996612548837
34,-2.4039736,-2.270166,"('loyal', 'disloyal')",-0.18764226,0.21167268,-1.5575233,-1.245232,-1.5375286,-1.2384622,-1.179813,-0.9404594,-1.3732961654663085,-1.0965293884277343,0.2767667770385742
37,2.301452,2.2763283,"('good', 'evil')",0.9245795,0.6138129,1.588146,1.2950875,1.3167503,1.5994502,2.5303283,2.428041,1.7322513580322265,1.6425439834594726,-0.0897073745727539
86,2.2955706,2.336474,"('self-reliant', 'helpless')",0.11160003,0.034199238,1.8261955,1.7118435,2.439544,2.4013104,1.5905108,1.749958,1.6526840209960938,1.6467571258544922,-0.005926895141601607
65,-2.197482,-2.1288066,"('practical', 'impractical')",-1.179863,-0.9216487,-0.9996716,-0.8964329,-0.4273152,-0.625165,-1.6388373,-1.5554767,-1.2886338233947754,-1.2255059242248536,0.06312789916992179
58,-1.8637707,-1.8823881,"('able', 'clumsy')",0.049152613,0.29757398,-0.96838266,-0.77622634,-1.7002575,-1.792207,-1.5659094,-1.5201012,-1.209833526611328,-1.1346696853637694,0.0751638412475586
46,1.8317672,1.8058972,"('generous', 'stingy')",1.4674238,1.3074276,0.69409513,0.5611172,1.647023,1.8739903,0.83456933,0.996935,1.294975757598877,1.3090734481811523,0.01409769058227539
81,1.8119075,1.7292758,"('industrious', 'lazy')",-0.72134113,-1.121117,0.23569614,-0.045791984,1.2595949,1.3933592,2.0022373,2.030965,0.9176189422607421,0.7973381996154785,-0.12028074264526367
66,1.7540734,1.7988368,"('imaginative', 'unimaginative')",1.0727557,1.2361016,0.56025,0.46031356,2.2493143,2.2066302,0.34587073,0.7209271,1.1964529037475586,1.2845619201660157,0.08810901641845703
63,-1.7419533,-1.5946562,"('capable', 'incapable')",-0.85786283,-0.84885526,-1.7233334,-1.8386834,-1.2952894,-1.1798987,-0.33474922,-0.53823125,-1.1906376838684083,-1.2000650405883788,-0.009427356719970525
50,1.7155981,1.602212,"('unprejudiced', 'prejudiced')",0.050560772,-0.23602346,0.8810325,0.7637316,1.0724329,1.0396903,1.2686491,1.0383911,0.9976546287536621,0.8416002273559571,-0.156054401397705
3,1.6869179,1.6924684,"('likable', 'unlikable')",0.1075585,0.033218693,-0.32630372,-0.45314968,1.9540684,2.11125,1.4871099,1.6269121,0.9818702697753906,1.0021398544311524,0.020269584655761785
74,-1.6753706,-1.6211619,"('insightful', 'unperceptive')",-0.2964802,-0.056542575,-1.6301795,-1.5828633,-0.7799399,-0.5425064,-0.31318325,-0.21756577,-0.9390307426452636,-0.8041280746459961,0.13490266799926753
28,-1.6342323,-1.7766047,"('honest', 'dishonest')",0.08935678,0.1357767,-1.7018586,-1.6332712,-1.5406115,-1.4104367,-1.27389,-0.99179226,-1.2122471809387207,-1.1352656364440918,0.0769815444946289
