,sunoco_male,sunoco_female,tuple,average_male,average_female,female-male
75,4.0230155,3.9758108,"('confident', 'shy')",4.02301549911499,3.9758107662200928,-0.04720473289489746
95,-2.459211,-2.4173732,"('rich', 'poor')",-2.4592111110687256,-2.4173731803894043,0.04183793067932129
27,-2.3729491,-2.0971184,"('sincere', 'insincere')",-2.3729491233825684,-2.097118377685547,0.2758307456970215
40,-2.1776328,-2.2736602,"('honorable', 'mean')",-2.1776328086853027,-2.273660182952881,-0.09602737426757812
6,1.9881618,1.8776066,"('liked', 'disliked')",1.9881618022918701,1.8776066303253174,-0.11055517196655273
53,-1.9697146,-1.943223,"('smart', 'stupid')",-1.969714641571045,-1.943222999572754,0.026491641998291016
99,-1.767253,-1.924398,"('prestigious', 'insignificant')",-1.767253041267395,-1.9243979454040527,-0.15714490413665771
16,1.764183,1.9532144,"('social', 'antisocial')",1.7641830444335938,1.953214406967163,0.18903136253356934
66,1.7481403,1.8967297,"('imaginative', 'unimaginative')",1.7481403350830078,1.8967297077178955,0.1485893726348877
48,1.5930723,1.611461,"('reliable', 'unreliable')",1.5930722951889038,1.6114610433578491,0.018388748168945312
50,1.4068954,1.2634337,"('unprejudiced', 'prejudiced')",1.406895399093628,1.2634336948394775,-0.1434617042541504
76,1.398169,1.5732371,"('secure', 'insecure')",1.3981690406799316,1.5732370615005493,0.17506802082061768
94,1.3974557,1.7827954,"('aggressive', 'submissive')",1.3974556922912598,1.7827954292297363,0.38533973693847656
1,-1.3378246,-1.4169198,"('friendly', 'unfriendly')",-1.3378245830535889,-1.4169198274612427,-0.07909524440765381
98,-1.30241,-1.5143039,"('prestigious', 'insignificant')",-1.3024100065231323,-1.5143039226531982,-0.21189391613006592
107,1.2864605,1.4536982,"('conventional', 'modern')",1.286460518836975,1.4536981582641602,0.16723763942718506
11,-1.2408528,-1.19933,"('caring', 'unaffectionate')",-1.2408528327941895,-1.1993299722671509,0.041522860527038574
10,-1.2324779,-1.1234239,"('affectionate', 'unaffectionate')",-1.2324779033660889,-1.1234239339828491,0.10905396938323975
15,1.2119309,1.4740885,"('polite', 'impolite')",1.2119308710098267,1.4740885496139526,0.262157678604126
2,1.1693197,1.533867,"('friendly', 'unfriendly')",1.169319748878479,1.5338670015335083,0.3645472526550293
80,1.1273988,1.1767693,"('independent', 'dependent')",1.1273988485336304,1.1767692565917969,0.049370408058166504
3,1.1205337,1.1916739,"('likable', 'unlikable')",1.1205337047576904,1.1916738748550415,0.07114017009735107
51,1.1052363,1.0762246,"('competent', 'incompetent')",1.105236291885376,1.0762245655059814,-0.02901172637939453
