,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
75,4.7368264,5.0464516,"('confident', 'shy')",4.972452,4.929523,4.854639053344727,4.987987518310547,0.1333484649658203
99,-2.7441006,-2.6743033,"('prestigious', 'insignificant')",-0.35752785,-0.3100003,-1.550814151763916,-1.4921517372131348,0.05866241455078125
95,-2.4523277,-2.735752,"('rich', 'poor')",-4.3528156,-4.166434,-3.402571678161621,-3.4510929584503174,-0.04852128028869629
48,2.3620863,2.295126,"('reliable', 'unreliable')",2.7003837,2.5837681,2.5312349796295166,2.4394469261169434,-0.09178805351257324
40,-2.3552036,-2.7444477,"('honorable', 'mean')",-4.2451315,-4.387929,-3.3001675605773926,-3.566188335418701,-0.2660207748413086
62,-2.2021973,-2.160644,"('creative', 'uncreative')",-1.0282122,-1.2028902,-1.6152048110961914,-1.6817671060562134,-0.06656229496002197
27,-2.166138,-2.5265932,"('sincere', 'insincere')",-4.9725924,-4.7073727,-3.5693650245666504,-3.616982936859131,-0.04761791229248047
11,-2.1109629,-2.083683,"('caring', 'unaffectionate')",-1.499338,-1.3456831,-1.8051505088806152,-1.7146830558776855,0.09046745300292969
76,2.0938926,1.9036822,"('secure', 'insecure')",-0.31234074,-0.23731887,0.8907759189605713,0.8331816792488098,-0.057594239711761475
53,-2.078455,-2.1980972,"('smart', 'stupid')",-3.9699922,-4.000032,-3.024223566055298,-3.099064588546753,-0.07484102249145508
98,-2.0745711,-2.320296,"('prestigious', 'insignificant')",0.3777885,0.3903942,-0.8483912944793701,-0.9649509191513062,-0.11655962467193604
16,2.0505242,2.0327382,"('social', 'antisocial')",-1.3839964,-1.1536276,0.33326393365859985,0.439555287361145,0.10629135370254517
6,2.0306263,2.5095558,"('liked', 'disliked')",5.090419,5.0364676,3.5605225563049316,3.7730116844177246,0.21248912811279297
32,-1.9854876,-1.5895972,"('benevolent', 'hardhearted')",-1.3606604,-1.286907,-1.6730740070343018,-1.4382520914077759,0.23482191562652588
107,1.9577148,1.9078693,"('conventional', 'modern')",1.4447546,1.5586389,1.7012346982955933,1.7332541942596436,0.03201949596405029
86,1.8437063,2.1274924,"('self-reliant', 'helpless')",2.1340256,2.041594,1.988865852355957,2.084543228149414,0.09567737579345703
8,-1.8032787,-1.9190743,"('open', 'distant')",1.8059211,1.4456033,0.0013211965560913086,-0.2367355227470398,-0.2380567193031311
50,1.7955881,1.4770362,"('unprejudiced', 'prejudiced')",1.5297697,1.3851988,1.6626789569854736,1.4311175346374512,-0.23156142234802246
10,-1.7440686,-1.7060114,"('affectionate', 'unaffectionate')",-0.25310054,-0.19144621,-0.9985845685005188,-0.9487287998199463,0.04985576868057251
1,-1.6889307,-1.6986275,"('friendly', 'unfriendly')",-0.5343572,-0.42838103,-1.1116440296173096,-1.0635042190551758,0.04813981056213379
3,1.6239666,1.6079514,"('likable', 'unlikable')",0.9681766,0.9459584,1.2960715293884277,1.2769548892974854,-0.019116640090942383
71,1.6217473,1.4790269,"('efficient', 'inefficient')",-1.6117014,-1.641634,0.005022943019866943,-0.08130353689193726,-0.0863264799118042
82,-1.5543258,-1.6311507,"('industrious', 'meek')",-0.4926928,-0.5030038,-1.0235092639923096,-1.0670772790908813,-0.04356801509857178
89,1.4923824,1.2197239,"('daring', 'anxious')",-1.1028645,-0.9501105,0.19475895166397095,0.13480672240257263,-0.059952229261398315
74,-1.491941,-1.3437494,"('insightful', 'unperceptive')",-1.4253592,-1.2999856,-1.4586501121520996,-1.3218674659729004,0.13678264617919922
7,-1.4876044,-1.4438828,"('outgoing', 'distant')",1.7577255,1.3664169,0.13506054878234863,-0.038732945919036865,-0.1737934947013855
5,1.4662474,1.2539833,"('pleasant', 'repellent')",-0.2691916,-0.24899694,0.5985279083251953,0.502493143081665,-0.09603476524353027
94,1.4487302,1.5262505,"('aggressive', 'submissive')",-0.98185426,-0.8404175,0.23343798518180847,0.34291648864746094,0.10947850346565247
31,-1.4335847,-1.5057862,"('altruistic', 'egoistic')",-0.31132698,-0.22351807,-0.8724558353424072,-0.864652156829834,0.007803678512573242
35,1.4316748,1.4236856,"('fair', 'unfair')",1.4046079,1.4884746,1.4181413650512695,1.4560800790786743,0.037938714027404785
