,time_male,time_female,tuple,warner_male,warner_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
27,-5.8889647,-5.6677485,"('sincere', 'insincere')",-4.5730667,-4.009102,-5.9644923,-5.753437,-4.0693674,-4.2187166,-5.1239728927612305,-4.912250995635986,0.21172189712524414
75,5.5682054,5.5192056,"('confident', 'shy')",5.725398,5.5243425,7.114957,7.069081,4.247345,4.725128,5.663976669311523,5.709439277648926,0.045462608337402344
6,4.737488,4.926339,"('liked', 'disliked')",4.4206553,3.9478226,5.677591,5.5762877,3.2574773,3.5818095,4.5233025550842285,4.5080647468566895,-0.015237808227539062
95,-4.7026687,-4.7851067,"('rich', 'poor')",-4.158615,-4.0107145,-5.305249,-5.3836365,-2.7676091,-3.1545284,-4.2335357666015625,-4.333496570587158,-0.0999608039855957
53,-4.3973966,-4.5846324,"('smart', 'stupid')",-3.238103,-2.9861832,-4.380875,-4.512508,-3.3546703,-3.2368484,-3.842761278152466,-3.830042839050293,0.012718439102172852
40,-4.370431,-4.698248,"('honorable', 'mean')",-3.7149577,-3.6979198,-6.058753,-6.130642,-2.9068136,-3.3330858,-4.2627387046813965,-4.4649739265441895,-0.20223522186279297
13,-4.1647625,-3.923619,"('helpful', 'unhelpful')",-0.9426929,-0.51581955,-2.6456947,-2.6768034,-2.575208,-2.4277782,-2.582089424133301,-2.386005163192749,0.19608426094055176
7,3.6909628,2.9568968,"('outgoing', 'distant')",0.15224016,-0.55029607,0.7761355,0.5116445,0.8801502,0.5827791,1.3748722076416016,0.8752561211585999,-0.4996160864830017
8,3.4756377,2.7445,"('open', 'distant')",-0.13745558,-0.8585173,0.60052794,0.34504873,1.1676544,0.7915691,1.2765910625457764,0.7556501626968384,-0.520940899848938
38,-3.3784509,-2.8762662,"('kind', 'unkind')",-0.7537751,-0.38117886,-2.0396976,-1.7484714,-1.1115729,-0.71509457,-1.8208740949630737,-1.4302527904510498,0.3906213045120239
2,-3.3724637,-3.1925187,"('friendly', 'unfriendly')",0.14548779,0.6939056,-0.308474,-0.26902443,-1.6722184,-1.4798024,-1.3019170761108398,-1.0618599653244019,0.240057110786438
37,3.260125,3.2604606,"('good', 'evil')",0.87513804,0.2393927,1.6858269,1.5811448,2.5303283,2.428041,2.0878543853759766,1.8772598505020142,-0.2105945348739624
25,-3.1366944,-3.1724334,"('moral', 'immoral')",0.47477886,0.76119494,-0.35382932,-0.41679206,-1.4564099,-1.4396524,-1.1180386543273926,-1.0669207572937012,0.051117897033691406
