,keurig_male,keurig_female,tuple,dr_male,dr_female,pepper_male,pepper_female,average_male,average_female,female-male
75,1.8978862,1.7098892,"('confident', 'shy')",4.85242,4.7998238,5.9759865,6.0338116,4.242097536722819,4.181174914042155,-0.06092262268066406
100,1.4915576,1.4857765,"('influential', 'uninfluential')",-1.2122564,-0.9759258,-1.000478,-0.5421763,-0.24039228757222494,-0.01077518860499064,0.2296170989672343
53,-1.3040118,-1.1937518,"('smart', 'stupid')",-4.259801,-3.9615455,-3.4058986,-3.3080711,-2.989903767903646,-2.8211228052775064,0.16878096262613962
70,1.2688229,1.2606032,"('wise', 'unwise')",1.0009341,0.6968899,0.118556455,0.31590122,0.7961045106252035,0.7577981154123942,-0.03830639521280932
55,1.2011077,1.3247502,"('intelligent', 'unintelligent')",-1.018498,-1.0061824,-0.516162,-0.5727725,-0.11118406057357788,-0.08473491668701172,0.026449143886566162
6,1.1359016,1.0133191,"('liked', 'disliked')",4.9019413,4.6564674,3.9021406,4.0141277,3.3133277893066406,3.227971394856771,-0.08535639444986964
4,-1.1216938,-1.2049127,"('likable', 'unlikable')",-0.5753739,-0.56510305,0.118395984,-0.07256563,-0.52622389793396,-0.6141937971115112,-0.08796989917755127
95,-1.1002601,-1.1346182,"('rich', 'poor')",-4.773012,-4.6621428,-3.190404,-3.5434499,-3.021225611368815,-3.113403638203939,-0.092178026835124
66,1.0201896,1.2120284,"('imaginative', 'unimaginative')",1.994201,1.9765491,1.0582588,1.4134104,1.3575496673583984,1.5339959462483723,0.17644627888997388
90,1.0092956,0.8346074,"('motivated', 'unmotivated')",-0.15470839,-0.31127968,0.8986662,0.48655194,0.5844178199768066,0.3366265296936035,-0.24779129028320312
77,0.94973564,0.9302541,"('active', 'inactive')",1.4218013,1.389481,0.14466691,0.5203864,0.8387346267700195,0.9467071692148844,0.10797254244486487
94,0.9442041,1.1082442,"('aggressive', 'submissive')",-0.5299548,-0.26135308,0.6775274,0.7201637,0.363925576210022,0.5223515828450521,0.15842600663503015
14,0.9405366,0.88920444,"('supportive', 'unsupportive')",-0.18004704,-0.34345454,0.6736902,0.8044987,0.47805992762247723,0.45008285840352374,-0.027977069218953488
5,0.9309218,0.8881672,"('pleasant', 'repellent')",-0.64643127,-0.4912386,1.7442292,1.2983854,0.6762398878733317,0.5651046435038248,-0.11113524436950684
110,-0.89810026,-1.0642288,"('narrow-minded', 'open-minded')",0.5219746,0.4145439,0.2271398,0.122139946,-0.0496619443098704,-0.17584832509358725,-0.12618638078371686
60,0.89050794,1.1077979,"('educated', 'uneducated')",-1.8575233,-1.4778119,-0.021586746,0.18855189,-0.32953405380249023,-0.060487394531567894,0.26904665927092236
91,0.85647154,0.7973931,"('resilient', 'nonresilient')",0.21849923,-0.28768826,0.17576727,0.13269731,0.41691267490386963,0.21413405736287436,-0.20277861754099527
12,0.8547727,0.96923935,"('sympathetic', 'unsympathetic')",-1.5856609,-1.287507,-0.83148897,-0.7269901,-0.5207924048105875,-0.3484192689259847,0.17237313588460285
71,0.8542205,0.69321656,"('efficient', 'inefficient')",-2.0271568,-1.6195134,0.119467795,-0.13535595,-0.35115615526835126,-0.3538842598597209,-0.002728104591369629
2,0.8276293,0.9087361,"('friendly', 'unfriendly')",-1.7536542,-1.3005681,-0.16057,0.046452224,-0.36219831307729083,-0.11512658993403117,0.24707172314325965
25,0.79202205,0.7975814,"('moral', 'immoral')",-1.4118452,-1.1398686,0.57693076,0.3665933,-0.014297465483347574,0.008102019627888998,0.022399485111236572
46,0.75469816,0.71153235,"('generous', 'stingy')",1.176522,1.298513,1.57273,1.8203781,1.1679833730061848,1.2768078645070393,0.10882449150085449
