,first_male,first_female,tuple,republic_male,republic_female,bank_male,bank_female,s_male,s_female,f_male,f_female,new_male,new_female,average_male,average_female,female-male
95,-4.804778,-5.1172833,"('rich', 'poor')",-2.7282584,-2.7742333,-5.887305,-6.349827,-4.2485275,-4.228273,-4.7923074,-5.2027245,-2.7676091,-3.1545284,-4.204797426859538,-4.471144676208496,-0.26634724934895804
27,-4.675235,-4.926243,"('sincere', 'insincere')",-4.4990487,-4.212459,-6.8211713,-6.7696857,-4.1657896,-4.023628,-5.1722507,-5.3027873,-4.0693674,-4.2187166,-4.9004770914713545,-4.9089202880859375,-0.008443196614583037
75,4.4128246,4.5522933,"('confident', 'shy')",3.3496485,3.42782,6.2702565,6.3005953,5.306943,4.9115763,5.744467,5.7505536,4.247345,4.725128,4.8885806401570635,4.944660822550456,0.05608018239339252
6,4.0717974,4.196121,"('liked', 'disliked')",2.2464395,2.2785044,5.147136,5.1057534,4.6264877,4.369958,6.2401457,6.3095226,3.2574773,3.5818095,4.264914194742839,4.306945164998372,0.04203097025553326
40,-3.385627,-3.806797,"('honorable', 'mean')",-1.960683,-2.1115704,-5.4063363,-5.8080196,-3.3526883,-3.2774196,-4.3203845,-4.5329113,-2.9068136,-3.3330858,-3.5554224650065103,-3.811634063720703,-0.25621159871419286
53,-2.610916,-2.953095,"('smart', 'stupid')",-2.4421725,-2.3124259,-4.719666,-4.985024,-3.2103395,-2.7610483,-4.0618067,-4.1748624,-3.3546703,-3.2368484,-3.399928410847982,-3.403884251912435,-0.003955841064453125
86,2.4322543,2.1989298,"('self-reliant', 'helpless')",1.2153939,0.9801338,2.8024654,2.6910558,2.787622,2.6231627,3.001913,2.9979134,1.5905108,1.749958,2.3050266901652017,2.2068589528401694,-0.09816773732503226
25,-2.3293183,-2.5863118,"('moral', 'immoral')",-1.8015116,-1.4578216,-0.49530664,-0.5806774,-1.5380639,-1.3879553,-0.8126086,-0.6416887,-1.4564099,-1.4396524,-1.4055364926656086,-1.3490177790323894,0.05651871363321925
29,-2.3209224,-2.47477,"('honest', 'immoral')",-1.8556899,-1.3897643,-1.5172828,-1.4168208,-1.1676759,-0.9291441,-1.1277901,-1.1791029,-1.9729593,-2.176074,-1.6603867212931316,-1.5942792892456055,0.06610743204752612
52,-2.3098016,-2.4020655,"('competitive', 'uncompetitive')",-1.1850384,-0.8846309,-0.2692684,-0.23727411,-0.16757125,-0.14376983,-0.2885666,-0.22514105,-0.82447207,-0.5201275,-0.8407863775889078,-0.7355014483133951,0.1052849292755127
