,wachovia_male,wachovia_female,tuple,corp_male,corp_female,2nd_male,2nd_female,new_male,new_female,average_male,average_female,female-male
94,2.8839107,2.7013497,"('aggressive', 'submissive')",-0.09218556,-0.26384047,-1.1497781,-0.95991033,-0.6174553,-0.32319823,0.2561229467391968,0.2886001765727997,0.032477229833602905
71,2.7761266,2.4598968,"('efficient', 'inefficient')",-1.1294833,-1.2358482,-1.8668512,-2.0742188,-1.2771156,-1.4559102,-0.37433087825775146,-0.5765200853347778,-0.20218920707702637
99,-2.5511994,-2.3107755,"('prestigious', 'insignificant')",0.29116943,0.51564914,0.22232097,0.18882369,0.7842057,0.64763576,-0.3133758306503296,-0.23966674506664276,0.07370908558368683
16,2.5119338,2.2155342,"('social', 'antisocial')",-0.3652128,-0.106381685,-0.39755943,-0.1807842,-0.8021402,-0.50254613,0.23675532639026642,0.35645556449890137,0.11970023810863495
90,2.462442,2.4020576,"('motivated', 'unmotivated')",0.5462045,0.32156423,-0.27615637,-0.31973833,-0.115985096,-0.5120882,0.6541262269020081,0.47294881939888,-0.18117740750312805
73,2.4363751,2.0776842,"('brilliant', 'incompetent')",-1.5508811,-1.81595,-1.70736,-1.8944896,-1.3390191,-1.6772346,-0.5402212738990784,-0.8274975419044495,-0.2872762680053711
42,-2.3897648,-2.1087353,"('amicable', 'hostile')",1.0745797,1.3420484,1.8883091,1.922621,1.8091202,1.8213055,0.5955610275268555,0.7443099021911621,0.14874887466430664
109,2.2049732,2.2721105,"('conservative', 'liberal')",-0.18954298,-0.3518635,-0.22079033,-0.06557685,-1.097023,-1.0688727,0.17440420389175415,0.19644933938980103,0.022045135498046875
108,2.2049732,2.2721105,"('conservative', 'liberal')",-0.18954298,-0.3518635,-0.22079033,-0.06557685,-1.097023,-1.0688727,0.17440420389175415,0.19644933938980103,0.022045135498046875
61,-2.0877666,-1.9608568,"('rational', 'irrational')",1.1557636,1.3685138,1.2753361,1.5575932,1.4804657,1.715029,0.45594969391822815,0.6700698137283325,0.21412011981010437
64,2.06683,1.8435113,"('clever', 'incompetent')",-1.1046457,-1.0655162,-1.684209,-1.4780405,-1.4687406,-1.580534,-0.5476913452148438,-0.5701448321342468,-0.022453486919403076
75,2.0109503,1.8904309,"('confident', 'shy')",6.66473,6.5372887,4.4506683,4.564939,4.247345,4.725128,4.343423366546631,4.429446697235107,0.08602333068847656
2,2.0042298,1.9464823,"('friendly', 'unfriendly')",-1.418464,-1.5280867,-1.839845,-1.6597925,-1.6722184,-1.4798024,-0.7315744161605835,-0.6802998185157776,0.05127459764480591
76,1.8296565,1.5298059,"('secure', 'insecure')",-0.27963996,-0.35239786,-0.9507907,-0.88279516,-0.46814716,-0.3669712,0.032769665122032166,-0.018089592456817627,-0.05085925757884979
5,1.8206873,1.6619275,"('pleasant', 'repellent')",-1.2856472,-1.3148067,-0.41736382,-0.34131667,-0.097297505,-0.30082503,0.005094703286886215,-0.07375523447990417,-0.07884993776679039
19,-1.80518,-1.7313764,"('funny', 'boring')",0.41201538,0.5815117,-0.19298726,-0.091466695,-0.057115197,0.104435325,-0.4108167588710785,-0.2842240035533905,0.126592755317688
107,1.7221463,1.6438913,"('conventional', 'modern')",0.41894037,0.40934473,-0.5156116,-0.57849157,1.0958123,1.6039909,0.6803218126296997,0.769683837890625,0.08936202526092529
69,-1.7101482,-1.6444026,"('wise', 'foolish')",0.44740218,0.6480955,0.47247088,0.62735415,0.5438058,0.65526724,-0.06161735951900482,0.07157856225967407,0.1331959217786789
41,-1.6806858,-1.4581487,"('incorrupt', 'corrupt')",1.3548378,1.374502,2.3825114,2.4681954,2.200282,2.1927314,1.0642364025115967,1.144320011138916,0.08008360862731934
12,1.6449114,1.6592163,"('sympathetic', 'unsympathetic')",-1.3533148,-1.4027944,-2.3327682,-2.0778112,-1.2802973,-1.1208498,-0.8303672075271606,-0.7355598211288452,0.09480738639831543
0,1.6275969,1.571857,"('sociable', 'unsociable')",-0.78538966,-0.43198916,-1.6229086,-1.079407,-0.76800233,-0.5637635,-0.38717591762542725,-0.1258256733417511,0.26135024428367615
92,-1.5741837,-1.3079515,"('unwavering', 'wavering')",0.30593115,0.17524163,0.54334867,0.6168281,1.0242958,0.81975317,0.07484796643257141,0.07596784830093384,0.0011198818683624268
98,-1.5339981,-1.4439689,"('prestigious', 'insignificant')",-0.5078856,-0.44825798,-0.68346274,-0.594309,0.27524158,0.15429056,-0.6125262379646301,-0.5830613374710083,0.029464900493621826
52,1.5312436,1.6292151,"('competitive', 'uncompetitive')",-0.29315704,-0.43968332,-1.9676508,-1.9962449,-0.82447207,-0.5201275,-0.3885090947151184,-0.33171015977859497,0.05679893493652344
25,1.4912312,1.3519471,"('moral', 'immoral')",-1.5206175,-1.3253146,-2.2214599,-2.2112389,-1.4564099,-1.4396524,-0.9268140196800232,-0.9060647487640381,0.020749270915985107
32,-1.4715908,-1.4099855,"('benevolent', 'hardhearted')",-1.3220441,-0.75526094,-0.93785644,-0.81212354,-0.5565795,-0.20947967,-1.0720176696777344,-0.7967123985290527,0.27530527114868164
51,1.4183378,1.2650716,"('competent', 'incompetent')",-0.11847064,-0.098713234,-1.2069565,-0.9269657,0.07464939,0.2558064,0.04189001023769379,0.12379975616931915,0.08190974593162537
89,1.3788445,1.2589947,"('daring', 'anxious')",-0.35680014,-0.5358988,-1.3433523,-1.2809718,-1.1694336,-1.3868266,-0.37268537282943726,-0.48617562651634216,-0.11349025368690491
83,1.3561344,1.2633812,"('energetic', 'lethargic')",-0.38989562,-0.51259035,-1.0940455,-1.1328316,-0.80170095,-0.6726756,-0.23237691819667816,-0.2636790871620178,-0.03130216896533966
15,1.3303798,1.2421511,"('polite', 'impolite')",0.51423466,0.6083,-0.966548,-0.77657557,-0.60293305,-0.018667951,0.06878335773944855,0.2638019025325775,0.19501854479312897
26,1.2763724,1.1562378,"('trustworthy', 'untrustworthy')",0.38654366,0.5214009,-0.15008366,0.039533347,-0.7467338,-0.48269907,0.1915246546268463,0.3086182773113251,0.11709362268447876
9,1.2637111,1.2031512,"('sensitive', 'insensitive')",-1.0999589,-1.0613891,-1.9433218,-1.9855214,-0.98445404,-0.92043555,-0.6910059452056885,-0.6910487413406372,-4.279613494873047e-05
65,1.2444689,0.9565809,"('practical', 'impractical')",-0.9191679,-0.87139773,-2.618639,-2.5139089,-1.6388373,-1.5554767,-0.9830437898635864,-0.9960505962371826,-0.013006806373596191
39,-1.239704,-1.134017,"('right', 'wrong')",0.6349007,0.8346789,0.21499622,0.34439167,0.26922962,0.41019645,-0.03014437109231949,0.11381250619888306,0.14395687729120255
23,-1.2245442,-1.06318,"('hospitable', 'inhospitable')",0.7526314,0.81820834,0.6068032,0.64170706,1.1858441,1.118948,0.33018362522125244,0.37892085313796997,0.04873722791671753
8,-1.2188677,-1.1981659,"('open', 'distant')",1.4154859,1.2487043,1.4851911,1.0228349,1.1676544,0.7915691,0.7123659253120422,0.46623560786247253,-0.2461303174495697
49,1.2131728,0.9622781,"('responsible', 'irresponsible')",-1.4365293,-1.2053922,-1.5821974,-1.6562333,-1.0568249,-1.0981494,-0.7155947089195251,-0.7493742108345032,-0.03377950191497803
88,-1.1671282,-1.0408553,"('impulsive', 'meek')",1.447821,1.2792021,1.407597,1.270091,1.563556,1.8192687,0.8129614591598511,0.8319266438484192,0.018965184688568115
79,1.1618682,1.0431167,"('determined', 'doubtful')",0.44676286,0.76036924,0.06513353,0.21762094,0.31559122,0.37995023,0.4973389804363251,0.6002642512321472,0.10292527079582214
78,1.131939,1.0329822,"('active', 'inactive')",2.3321204,1.9112912,2.7260692,2.4273047,1.6742909,1.1332293,1.9661047458648682,1.626201868057251,-0.3399028778076172
103,1.0995429,1.1537756,"('traditional', 'modern')",0.6515223,0.51988685,0.84565794,0.88243926,0.68126935,0.61791956,0.8194981217384338,0.7935053110122681,-0.02599281072616577
24,1.0660081,0.9743199,"('thoughtful', 'rough')",-1.4458349,-1.2531471,-0.23867458,-0.2934634,-0.80838597,-1.0449764,-0.35672181844711304,-0.4043167531490326,-0.047594934701919556
100,1.0616256,1.1969032,"('influential', 'uninfluential')",-0.63892,-0.5221347,-1.3363857,-0.877245,-0.52025104,-0.49207926,-0.3584827780723572,-0.1736389398574829,0.18484383821487427
84,-1.0247549,-0.9032174,"('self-confident', 'diffident')",0.04052466,0.12735969,0.5086659,0.5414574,-0.24383731,-0.37390593,-0.17985039949417114,-0.15207654237747192,0.02777385711669922
20,-1.0172014,-0.8673304,"('popular', 'unpopular')",-0.1849665,-0.17244402,-0.39771032,-0.121081084,1.8974743,1.6604376,0.07439899444580078,0.12489551305770874,0.05049651861190796
7,-1.0047426,-0.957667,"('outgoing', 'distant')",1.2281502,1.04766,1.6330031,1.197193,0.8801502,0.5827791,0.6841402053833008,0.4674912691116333,-0.21664893627166748
74,0.9973901,0.9841305,"('insightful', 'unperceptive')",-1.2442702,-1.3193259,-1.8301989,-1.6118528,-0.31318325,-0.21756577,-0.5975655913352966,-0.5411534905433655,0.05641210079193115
104,-0.9935377,-0.809252,"('conventional', 'unconventional')",-0.7870131,-0.6860226,0.37900853,0.6448593,0.09214801,-0.08103579,-0.3273485600948334,-0.23286275565624237,0.094485804438591
82,-0.9933138,-0.9156184,"('industrious', 'meek')",1.0922787,1.2331986,1.5346451,1.486552,1.3513242,1.312031,0.7462335824966431,0.7790408134460449,0.032807230949401855
30,0.9793744,0.79484165,"('honest', 'dishonest')",-0.7890542,-0.85744035,-0.77637786,-0.7701413,-0.46290857,-0.09674831,-0.26224154233932495,-0.23237207531929016,0.02986946702003479
10,-0.93773127,-0.6742935,"('affectionate', 'unaffectionate')",-0.05168128,0.14470398,0.081954,0.14332953,0.7698784,0.8342984,-0.034395039081573486,0.11200959235429764,0.14640463143587112
17,0.89760184,0.9606338,"('social', 'antisocial')",-0.2864834,0.066805124,-0.4758832,-0.20042063,-0.42820126,-0.10149157,-0.07324150204658508,0.18138167262077332,0.2546231746673584
29,0.8831483,0.90078545,"('honest', 'immoral')",-1.8260021,-1.7521313,-1.1918237,-1.0577695,-1.9729593,-2.176074,-1.0269091129302979,-1.0212973356246948,0.005611777305603027
48,0.87924206,0.7231429,"('reliable', 'unreliable')",2.681928,2.5936308,1.1454163,1.1173053,1.1541629,1.1235613,1.4651873111724854,1.389410138130188,-0.07577717304229736
6,-0.8787814,-0.6864598,"('liked', 'disliked')",6.684802,6.6123395,4.001193,4.157954,3.2574773,3.5818095,3.2661728858947754,3.4164109230041504,0.150238037109375
54,0.8425063,0.85544914,"('smart', 'stupid')",0.42693397,0.34929267,0.8245331,0.54849,0.84912705,0.60384494,0.7357751131057739,0.5892691612243652,-0.1465059518814087
18,0.8405874,0.6584233,"('social', 'asocial')",-0.15735155,-0.051664025,-0.77603143,-0.77831924,-1.5692225,-1.306341,-0.415504515171051,-0.36947524547576904,0.04602926969528198
72,0.809239,0.70822275,"('logical', 'illogical')",-1.4069908,-1.3363023,-1.2957664,-1.064938,-0.42463043,-0.11634571,-0.5795371532440186,-0.4523408114910126,0.12719634175300598
59,-0.8045208,-0.5649295,"('skillful', 'clumsy')",0.07095654,0.19477667,-0.012823194,0.19060354,1.3879981,1.4707971,0.16040265560150146,0.32281193137168884,0.16240927577018738
3,0.7794633,0.70050013,"('likable', 'unlikable')",1.6233785,1.5548921,0.87290704,0.89663625,1.4871099,1.6269121,1.1907145977020264,1.194735050201416,0.0040204524993896484
62,-0.7765385,-0.59124595,"('creative', 'uncreative')",-0.33273518,-0.144564,-0.79638994,-0.84539634,-0.56264377,-0.6173538,-0.6170768737792969,-0.5496400594711304,0.0674368143081665
