,m_male,m_female,tuple,g_male,g_female,resorts_male,resorts_female,international_male,international_female,average_male,average_female,female-male
75,6.0316143,5.7235727,"('confident', 'shy')",6.649912,6.6769404,6.558346,6.3003874,4.4129763,4.6069536,5.913211822509766,5.826963424682617,-0.08624839782714844
6,5.518332,5.1037354,"('liked', 'disliked')",6.622918,6.4993825,6.1857877,5.925831,3.815958,3.7379563,5.5357489585876465,5.3167266845703125,-0.21902227401733398
27,-5.5065393,-5.208555,"('sincere', 'insincere')",-6.036888,-5.9634237,-6.6361413,-6.219906,-4.67974,-4.495806,-5.714827537536621,-5.471922397613525,0.2429051399230957
95,-4.917881,-4.665408,"('rich', 'poor')",-5.4432096,-5.7743306,-6.1970897,-6.17113,-3.2731223,-3.2933433,-4.957825660705566,-4.976053237915039,-0.018227577209472656
40,-4.1089525,-3.9842255,"('honorable', 'mean')",-5.0615206,-5.376563,-4.846237,-4.9771056,-3.5743296,-3.7060323,-4.397759914398193,-4.510981559753418,-0.11322164535522461
53,-3.6958246,-3.2065248,"('smart', 'stupid')",-4.874608,-4.7440834,-5.095436,-5.035538,-2.8855224,-2.967436,-4.137847900390625,-3.9883956909179688,0.14945220947265625
86,2.6393957,2.5505369,"('self-reliant', 'helpless')",3.6555157,3.6652648,3.7756186,3.6309938,1.4598708,1.3292016,2.8826003074645996,2.793999433517456,-0.08860087394714355
50,2.3047376,2.2004128,"('unprejudiced', 'prejudiced')",2.7406168,2.6133163,1.9483805,1.8833616,1.0950942,0.84423494,2.022207260131836,1.8853315114974976,-0.13687574863433838
66,2.2751193,2.1247425,"('imaginative', 'unimaginative')",3.154446,3.2654927,1.8650596,1.934674,1.235498,1.3372915,2.132530689239502,2.1655502319335938,0.0330195426940918
48,2.1112645,1.8833995,"('reliable', 'unreliable')",2.945078,2.861905,3.1101935,2.8593426,0.8652761,0.8853814,2.257952928543091,2.122507095336914,-0.13544583320617676
3,2.0792985,1.8992208,"('likable', 'unlikable')",2.2787085,2.0484924,0.8649415,0.72481096,0.81729734,0.89826584,1.510061502456665,1.3926975727081299,-0.11736392974853516
87,-1.9463031,-1.722208,"('dedicated', 'undedicated')",-1.2642896,-1.0253353,-1.060751,-0.80031717,-1.5840076,-1.4616315,-1.4638378620147705,-1.2523729801177979,0.21146488189697266
13,-1.9311047,-1.946634,"('helpful', 'unhelpful')",-2.3791556,-2.3380978,-3.2817242,-3.0135674,-2.80716,-2.5100725,-2.5997862815856934,-2.4520928859710693,0.14769339561462402
81,1.8914626,1.8345588,"('industrious', 'lazy')",2.5297909,2.3106978,2.205126,1.9169855,0.8034052,0.49967223,1.8574460744857788,1.6404786109924316,-0.21696746349334717
58,-1.8241464,-1.4215989,"('able', 'clumsy')",-2.2680674,-2.001434,-1.438611,-1.0927565,-1.60957,-1.3727579,-1.785098671913147,-1.4721368551254272,0.3129618167877197
34,-1.7761962,-1.615839,"('loyal', 'disloyal')",-2.098762,-1.8462524,-1.6663275,-1.3373556,-1.3244035,-1.0854723,-1.7164223194122314,-1.4712297916412354,0.2451925277709961
