,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,average_male,average_female,female-male
71,3.0651748,2.7460086,"('efficient', 'inefficient')",-0.68018186,-0.549804,-0.39750987,-0.3595016,0.662494421005249,0.612234354019165,-0.050260066986083984
94,2.8304322,2.7341328,"('aggressive', 'submissive')",0.45391607,0.68634987,0.18911216,0.3570181,1.1578201452891033,1.2591668764750164,0.10134673118591309
2,2.7726684,2.7301724,"('friendly', 'unfriendly')",0.10653454,0.399545,-0.36545932,-0.051859334,0.8379144668579102,1.025952657063802,0.18803819020589185
41,-2.6621811,-2.479195,"('incorrupt', 'corrupt')",0.18403721,0.1262362,0.8565829,0.6895392,-0.5405203501383463,-0.5544732411702474,-0.013952891031901116
99,-2.6192436,-2.5933213,"('prestigious', 'insignificant')",-0.7048128,-1.1830682,-0.65953875,-0.9858271,-1.3278650442759197,-1.587405522664388,-0.2595404783884683
25,2.3682332,2.113314,"('moral', 'immoral')",-0.5495923,-0.42972127,-0.6819778,-0.55769145,0.37888773282368976,0.37530040740966797,-0.0035873254140217914
60,2.3652902,2.2642386,"('educated', 'uneducated')",-1.7056144,-1.5260056,-0.893883,-0.23420703,-0.07806909084320068,0.16800864537556967,0.24607773621877035
12,2.2915077,2.3662362,"('sympathetic', 'unsympathetic')",-0.79287094,-0.35618746,-1.3589512,-1.1378342,0.0465618371963501,0.29073822498321533,0.24417638778686523
0,2.2075965,2.2322502,"('sociable', 'unsociable')",-0.19430423,0.21850747,-0.8544878,-0.4427631,0.3862681786219279,0.6693315505981445,0.2830633719762166
81,-2.1920238,-2.4342723,"('industrious', 'lazy')",1.1508373,0.8324736,1.1206449,0.66196406,0.02648615837097168,-0.31327823797861737,-0.33976439634958905
42,-2.1895697,-1.8503324,"('amicable', 'hostile')",0.81864345,0.653674,-0.094158605,-0.48882294,-0.4883616367975871,-0.5618271032969157,-0.07346546649932856
16,2.171926,1.9058955,"('social', 'antisocial')",0.2795266,0.46477503,1.2058635,1.4728696,1.2191054026285808,1.2811800638834636,0.06207466125488281
52,2.1626406,2.0350232,"('competitive', 'uncompetitive')",-0.019819617,0.035560608,-0.36375618,0.069411725,0.593021551767985,0.7133318583170573,0.12031030654907227
109,2.1022344,2.0395656,"('conservative', 'liberal')",1.8477361,2.2259586,0.15646613,0.40708283,1.3688122431437175,1.5575356483459473,0.18872340520222974
108,2.1022344,2.0395656,"('conservative', 'liberal')",1.8477361,2.2259586,0.15646613,0.40708283,1.3688122431437175,1.5575356483459473,0.18872340520222974
64,2.062508,1.9437287,"('clever', 'incompetent')",-0.2842232,-0.120973915,-0.9705405,-0.7993791,0.2692481279373169,0.34112521012624103,0.07187708218892414
8,-1.9708314,-2.0871775,"('open', 'distant')",-1.4330556,-1.7748258,-0.16038986,-0.6583358,-1.188092311223348,-1.506779670715332,-0.3186873594919841
100,1.9559115,1.8900934,"('influential', 'uninfluential')",-0.7749443,-0.5667411,-1.306458,-0.8773632,-0.04183026154836019,0.14866304397583008,0.19049330552419028
98,-1.9551413,-1.9524711,"('prestigious', 'insignificant')",-1.0710076,-1.416075,-0.667748,-1.0033338,-1.2312989234924316,-1.457293192545573,-0.22599426905314135
73,1.9424235,1.4977275,"('brilliant', 'incompetent')",0.13757253,-0.0800339,-0.9715029,-1.3223581,0.36949773629506427,0.03177849451700846,-0.3377192417780558
15,1.8637823,1.9912062,"('polite', 'impolite')",0.7157667,0.84402835,-0.26858395,0.10793087,0.7703216870625814,0.9810551802317301,0.2107334931691487
82,-1.7816098,-1.9204265,"('industrious', 'meek')",0.93378353,0.7895844,0.9137671,0.5807311,0.02198028564453125,-0.1833703319231669,-0.20535061756769815
75,1.761956,1.7498201,"('confident', 'shy')",4.0087137,4.0352073,4.168195,4.058492,3.312954902648926,3.28117307027181,-0.03178183237711574
49,1.7008997,1.4995952,"('responsible', 'irresponsible')",-0.61115694,-0.70318985,-0.7385081,-0.50832975,0.11707822481791179,0.09602518876393636,-0.021053036053975432
92,-1.65431,-1.5148036,"('unwavering', 'wavering')",-1.371525,-1.4627593,0.63688016,0.4192495,-0.7963182926177979,-0.8527711232503256,-0.056452830632527706
37,-1.6445284,-1.5267125,"('good', 'evil')",0.43938786,0.26428354,1.6043532,1.2388362,0.13307086626688638,-0.007864276568094889,-0.14093514283498126
76,1.6110716,1.8322428,"('secure', 'insecure')",-0.3842275,0.030869126,0.67917967,0.9006781,0.6353412469228109,0.9212633768717448,0.28592212994893385
7,-1.5934253,-1.804212,"('outgoing', 'distant')",-0.88669884,-1.2293333,-0.16900708,-0.6707568,-0.8830436865488688,-1.2347673575083415,-0.35172367095947277
51,1.5457608,1.2504141,"('competent', 'incompetent')",-0.48839974,-0.38361037,-0.27620062,-0.43500003,0.26038678487141925,0.14393457770347595,-0.1164522071679433
65,1.5144475,1.2198278,"('practical', 'impractical')",-0.5269672,-0.39912766,-0.8661128,-0.7129359,0.040455798308054604,0.03592139482498169,-0.004534403483072914
85,1.5018506,1.5709869,"('ambitious', 'unambitious')",0.2667089,0.29304048,0.0030690432,0.054043174,0.5905428330103556,0.6393568515777588,0.048814018567403195
79,1.4821262,1.114192,"('determined', 'doubtful')",0.8897472,0.8180775,-0.023901477,0.35004932,0.7826573053995768,0.7607729434967041,-0.021884361902872684
74,1.4298546,1.2286596,"('insightful', 'unperceptive')",-2.2165906,-2.3376427,-0.89578736,-0.83669335,-0.5608411232630411,-0.648558775583903,-0.08771765232086182
106,1.4242274,1.2321815,"('conventional', 'unconventional')",1.2993984,1.4505728,0.33418202,0.32698914,1.0192692279815674,1.003247896830241,-0.016021331151326423
107,1.3735989,1.6716026,"('conventional', 'modern')",0.44311655,0.51828825,1.4112532,1.6860291,1.075989564259847,1.2919732729593914,0.21598370869954442
93,1.3730009,1.1292329,"('dominating', 'dominated')",1.3259864,1.607507,-0.099695995,0.36337966,0.8664304415384928,1.033373196919759,0.16694275538126624
88,-1.3713917,-1.3715508,"('impulsive', 'meek')",1.1357977,0.689323,1.149397,0.7941942,0.3046010335286458,0.03732214371363322,-0.2672788898150126
