,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
27,-2.9184976,-3.0047698,"('sincere', 'insincere')",-4.67974,-4.495806,-5.9644923,-5.753437,-4.0693674,-4.2187166,-4.408024311065674,-4.368182182312012,0.03984212875366211
75,2.7719555,3.0475118,"('confident', 'shy')",4.4129763,4.6069536,7.114957,7.069081,4.247345,4.725128,4.636808395385742,4.862168788909912,0.22536039352416992
6,2.3882313,2.3899233,"('liked', 'disliked')",3.815958,3.7379563,5.677591,5.5762877,3.2574773,3.5818095,3.7848143577575684,3.8214941024780273,0.036679744720458984
40,-2.2600398,-2.6267009,"('honorable', 'mean')",-3.5743296,-3.7060323,-6.058753,-6.130642,-2.9068136,-3.3330858,-3.699984073638916,-3.94911527633667,-0.2491312026977539
53,-2.2222137,-2.5439339,"('smart', 'stupid')",-2.8855224,-2.967436,-4.380875,-4.512508,-3.3546703,-3.2368484,-3.210820436477661,-3.3151817321777344,-0.10436129570007324
95,-2.1721768,-2.3676286,"('rich', 'poor')",-3.2731223,-3.2933433,-5.305249,-5.3836365,-2.7676091,-3.1545284,-3.3795394897460938,-3.5497841835021973,-0.17024469375610352
1,-1.5230008,-1.3023919,"('friendly', 'unfriendly')",-1.1255764,-1.0788525,-1.2462616,-1.0772927,0.03334117,0.025989413,-0.9653744101524353,-0.8581368923187256,0.10723751783370972
11,-1.456211,-1.3907251,"('caring', 'unaffectionate')",-1.3934163,-1.3194525,-1.2535963,-1.2632395,-0.39734697,-0.45263273,-1.1251426935195923,-1.1065125465393066,0.018630146980285645
66,1.334513,1.6323245,"('imaginative', 'unimaginative')",1.235498,1.3372915,2.4963121,2.4620016,0.34587073,0.7209271,1.35304856300354,1.5381362438201904,0.1850876808166504
107,1.2277356,1.3980383,"('conventional', 'modern')",1.7484398,2.117013,0.8527969,0.9750705,1.0958123,1.6039909,1.2311961650848389,1.5235282182693481,0.2923320531845093
48,1.2024004,1.1956294,"('reliable', 'unreliable')",0.8652761,0.8853814,2.8818831,2.660874,1.1541629,1.1235613,1.525930643081665,1.4663615226745605,-0.05956912040710449
103,1.1487259,1.1185989,"('traditional', 'modern')",1.0115128,1.1095326,0.54286605,0.60623926,0.68126935,0.61791956,0.8460935354232788,0.8630726337432861,0.016979098320007324
16,1.138224,1.2212698,"('social', 'antisocial')",-0.59562755,-0.26417544,0.5543021,0.54720175,-0.8021402,-0.50254613,0.07368959486484528,0.25043749809265137,0.1767479032278061
96,-1.1198409,-0.7705487,"('powerful', 'powerless')",-0.87530464,-0.73072636,-0.10113749,0.006606996,-0.45298013,-0.42514718,-0.6373157501220703,-0.479953795671463,0.1573619544506073
50,1.0910935,1.1604908,"('unprejudiced', 'prejudiced')",1.0950942,0.84423494,2.1868188,2.2143292,1.2686491,1.0383911,1.4104139804840088,1.314361572265625,-0.09605240821838379
