,hartford_male,hartford_female,tuple,financial_male,financial_female,svcs_male,svcs_female,grp_male,grp_female,average_male,average_female,female-male
75,5.274303,5.435888,"('confident', 'shy')",4.7478085,4.7450867,3.259137,3.192474,2.9577565,2.7186718,4.059751510620117,4.0230302810668945,-0.036721229553222656
53,-4.2074327,-4.173119,"('smart', 'stupid')",-4.2273293,-4.337402,-1.7082648,-1.7969656,-2.6308956,-2.6459038,-3.1934804916381836,-3.2383475303649902,-0.04486703872680664
27,-4.01065,-3.9969196,"('sincere', 'insincere')",-5.5783415,-5.4368973,-1.7009475,-1.6517193,-2.777441,-2.400365,-3.5168449878692627,-3.3714752197265625,0.1453697681427002
95,-3.6542203,-3.7959783,"('rich', 'poor')",-4.7552395,-4.7547545,-1.6058574,-1.6734515,-2.6789002,-2.580873,-3.1735544204711914,-3.2012643814086914,-0.0277099609375
40,-3.4099708,-3.6309295,"('honorable', 'mean')",-4.5745544,-4.7501445,-1.910625,-2.0251756,-2.255632,-2.254498,-3.0376954078674316,-3.165186882019043,-0.12749147415161133
6,3.2109132,3.2476733,"('liked', 'disliked')",4.1848297,4.304131,1.5423656,1.5437448,1.9617064,1.728818,2.7249536514282227,2.70609188079834,-0.018861770629882812
32,-2.6694176,-2.5866532,"('benevolent', 'hardhearted')",-1.7359242,-1.6722999,-0.040059753,0.009636834,-0.42439115,-0.30395365,-1.2174482345581055,-1.1383174657821655,0.07913076877593994
3,2.4512024,2.4084527,"('likable', 'unlikable')",0.12241611,0.12075071,1.0509703,0.9293309,1.1623694,1.2920139,1.1967395544052124,1.1876370906829834,-0.009102463722229004
86,2.3928094,2.4046297,"('self-reliant', 'helpless')",1.7163142,1.6114154,0.81641203,0.7574327,0.7471684,0.7349386,1.4181760549545288,1.3771040439605713,-0.04107201099395752
50,2.1440172,1.8807641,"('unprejudiced', 'prejudiced')",1.3874567,1.3604696,0.030263796,-0.15274993,0.7633059,0.42654556,1.0812609195709229,0.8787573575973511,-0.20250356197357178
1,-2.1434393,-2.1846354,"('friendly', 'unfriendly')",-1.4119401,-1.4005241,-0.059901386,-0.034047335,-0.51329994,-0.19568479,-1.0321452617645264,-0.9537229537963867,0.07842230796813965
33,-2.069177,-2.1451228,"('softhearted', 'hardhearted')",-0.08153415,0.02501604,-0.1336655,-0.05623591,-0.15494984,-0.14019859,-0.6098316311836243,-0.5791352987289429,0.030696332454681396
28,-2.0071316,-2.0391183,"('honest', 'dishonest')",-1.7372087,-1.9361333,-0.5553422,-0.3931342,-0.5991622,-0.40420663,-1.2247111797332764,-1.193148136138916,0.03156304359436035
99,-1.940768,-2.1128485,"('prestigious', 'insignificant')",-0.8632494,-0.7948258,-1.147347,-1.2827077,-0.51455605,-0.68169487,-1.1164801120758057,-1.2180192470550537,-0.10153913497924805
16,1.7585979,1.5802543,"('social', 'antisocial')",-1.1843174,-1.0039709,0.31203526,0.55553955,-0.071323805,0.00952528,0.20374798774719238,0.28533709049224854,0.08158910274505615
104,-1.713278,-1.391577,"('conventional', 'unconventional')",-1.1656477,-1.1315076,-0.2655843,-0.1524093,0.34417173,0.48666126,-0.7000845670700073,-0.5472081899642944,0.1528763771057129
11,-1.6276232,-1.586193,"('caring', 'unaffectionate')",-2.3463254,-2.3367605,0.24429977,0.27736574,-0.6856921,-0.38658035,-1.103835105895996,-1.0080420970916748,0.09579300880432129
109,1.6150188,1.7689905,"('conservative', 'liberal')",0.013299957,0.1294553,0.19451961,0.49255267,-0.46168444,-0.24112137,0.3402884900569916,0.5374693274497986,0.197180837392807
108,1.6150188,1.7689905,"('conservative', 'liberal')",0.013299957,0.1294553,0.19451961,0.49255267,-0.46168444,-0.24112137,0.3402884900569916,0.5374693274497986,0.197180837392807
71,1.5890123,1.4028122,"('efficient', 'inefficient')",-0.49650967,-0.5990094,0.6752421,0.8529737,-0.3220605,-0.30936432,0.3614210784435272,0.3368530571460724,-0.024568021297454834
84,-1.5666832,-1.381236,"('self-confident', 'diffident')",-1.1817871,-1.1634855,-0.12808993,-0.045132488,-0.18025401,-0.14745143,-0.7642035484313965,-0.6843263506889343,0.07987719774246216
69,-1.4862388,-1.4650283,"('wise', 'foolish')",-0.25274688,-0.15866065,-0.40175283,-0.576911,-0.8358382,-0.80812407,-0.7441442012786865,-0.7521809935569763,-0.008036792278289795
107,1.4517543,1.6323025,"('conventional', 'modern')",0.70846087,0.8731865,0.37319273,0.3356553,-0.27725875,-0.25071272,0.5640373229980469,0.6476079225540161,0.08357059955596924
48,1.4298346,1.4755452,"('reliable', 'unreliable')",2.0770977,1.8447592,0.9371431,0.7536819,0.02371797,-0.24716282,1.1169483661651611,0.9567058086395264,-0.16024255752563477
94,1.3732824,1.3720117,"('aggressive', 'submissive')",-0.19692457,-0.320441,1.1630528,1.2050078,-0.045942873,-0.099406555,0.5733669996261597,0.5392929911613464,-0.03407400846481323
62,-1.3034565,-1.3107647,"('creative', 'uncreative')",-1.1973898,-1.2964354,-0.3256361,-0.2893275,-0.5029539,-0.33358204,-0.8323590755462646,-0.8075274229049683,0.024831652641296387
34,-1.2751666,-1.0144181,"('loyal', 'disloyal')",-2.0033224,-1.8231854,-0.13485985,0.019949228,-0.5572778,-0.1985377,-0.9926567077636719,-0.7540479898452759,0.238608717918396
90,1.2640994,0.9891773,"('motivated', 'unmotivated')",0.04893878,-0.053839922,0.42180485,0.39915258,0.44816184,0.36899853,0.5457512140274048,0.4258721172809601,-0.1198790967464447
92,-1.2623613,-1.1910391,"('unwavering', 'wavering')",0.033091843,-0.013285071,0.029162526,-0.22568071,0.07891375,-0.025688231,-0.28029829263687134,-0.36392325162887573,-0.0836249589920044
15,1.2021997,1.4617827,"('polite', 'impolite')",0.32956284,0.44540632,0.9361215,1.0911154,0.5411972,0.71143436,0.7522703409194946,0.9274346828460693,0.1751643419265747
98,-1.2017713,-1.3546536,"('prestigious', 'insignificant')",-1.0523567,-1.0312445,-0.64113,-0.90791464,-0.121725366,-0.37514526,-0.7542458176612854,-0.9172394871711731,-0.1629936695098877
66,1.1666548,1.1940095,"('imaginative', 'unimaginative')",1.8801548,1.9107065,1.316316,1.3757446,0.63591415,0.57690173,1.2497600317001343,1.2643406391143799,0.014580607414245605
13,-1.1585298,-0.9333867,"('helpful', 'unhelpful')",-3.5039062,-3.4662828,-0.32015228,-0.23561695,-1.1262548,-1.0944451,-1.5272107124328613,-1.432433009147644,0.09477770328521729
105,-1.143995,-1.1623111,"('conventional', 'modern')",0.0159453,-0.040117204,-0.23374024,-0.10322207,-0.26507318,-0.19608495,-0.4067157804965973,-0.37543386220932007,0.03128191828727722
73,1.0468314,0.75289524,"('brilliant', 'incompetent')",-1.3401861,-1.4822751,-0.14116761,-0.2879119,-0.7711952,-0.9839268,-0.3014293909072876,-0.500304639339447,-0.19887524843215942
47,-1.0184699,-0.98990715,"('forgiving', 'unforgiving')",-1.133209,-0.93407774,0.017127812,0.13365436,-0.16108695,-0.12530869,-0.57390958070755,-0.47890979051589966,0.09499979019165039
74,-1.0138261,-0.9018835,"('insightful', 'unperceptive')",-1.8477361,-1.822809,-0.028944641,-0.06460555,-0.50182897,-0.5740162,-0.8480839729309082,-0.840828537940979,0.007255434989929199
87,-1.0055826,-0.9654426,"('dedicated', 'undedicated')",-0.7629117,-0.67422163,-0.97849774,-0.81879413,-0.7656562,-0.7641876,-0.8781620860099792,-0.8056614995002747,0.07250058650970459
