,devon_male,devon_female,tuple,energy_male,energy_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,4.499984,4.0529222,"('confident', 'shy')",4.231817,4.3811846,6.66473,6.5372887,4.247345,4.725128,4.910968780517578,4.924130916595459,0.01316213607788086
95,-3.6083903,-3.6185412,"('rich', 'poor')",-4.3685555,-4.600958,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.194676876068115,-4.37266731262207,-0.17799043655395508
27,-3.3245592,-3.3401365,"('sincere', 'insincere')",-5.0571012,-5.1870246,-6.6364894,-6.431673,-4.0693674,-4.2187166,-4.771879196166992,-4.7943878173828125,-0.022508621215820312
1,-2.5743976,-1.8102095,"('friendly', 'unfriendly')",-1.4947081,-1.5528017,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.3508648872375488,-1.0918138027191162,0.2590510845184326
53,-2.5395856,-2.3627467,"('smart', 'stupid')",-4.7705526,-4.886426,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.778820753097534,-3.697147846221924,0.08167290687561035
62,-2.522523,-1.6882393,"('creative', 'uncreative')",-1.1806245,-1.1672808,-0.33273518,-0.144564,-0.56264377,-0.6173538,-1.1496315002441406,-0.9043594598770142,0.24527204036712646
68,-2.4657168,-2.4762335,"('clever', 'inept')",-0.8852843,-1.0242932,-0.914963,-0.89569235,-0.6454199,-0.8717228,-1.2278461456298828,-1.3169854879379272,-0.08913934230804443
107,2.369933,1.9598746,"('conventional', 'modern')",1.303526,1.2869473,0.41894037,0.40934473,1.0958123,1.6039909,1.2970529794692993,1.3150393962860107,0.017986416816711426
11,-2.3453093,-2.3195255,"('caring', 'unaffectionate')",-1.9852233,-2.1505709,-1.484493,-1.4917997,-0.39734697,-0.45263273,-1.5530930757522583,-1.6036323308944702,-0.050539255142211914
40,-2.1940744,-2.2268295,"('honorable', 'mean')",-4.417768,-4.826338,-5.858739,-5.9650583,-2.9068136,-3.3330858,-3.844348669052124,-4.087827682495117,-0.24347901344299316
50,2.0363367,1.7519826,"('unprejudiced', 'prejudiced')",1.5305269,1.5307946,2.2759738,2.2260273,1.2686491,1.0383911,1.7778716087341309,1.6367988586425781,-0.14107275009155273
109,2.0338495,1.67836,"('conservative', 'liberal')",0.26427877,0.41092554,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.25289052724838257,0.16713735461235046,-0.0857531726360321
108,2.0338495,1.67836,"('conservative', 'liberal')",0.26427877,0.41092554,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.25289052724838257,0.16713735461235046,-0.0857531726360321
10,-1.8926729,-1.2733452,"('affectionate', 'unaffectionate')",-0.84094787,-0.8618451,-0.05168128,0.14470398,0.7698784,0.8342984,-0.5038558840751648,-0.289046972990036,0.21480891108512878
90,1.8709515,1.4983616,"('motivated', 'unmotivated')",0.23011503,0.21945208,0.5462045,0.32156423,-0.115985096,-0.5120882,0.6328215003013611,0.3818224370479584,-0.2509990632534027
28,-1.7976141,-1.9677263,"('honest', 'dishonest')",-2.012293,-2.2145486,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.7923442125320435,-1.7971916198730469,-0.004847407341003418
32,-1.7924851,-1.5256543,"('benevolent', 'hardhearted')",-1.1469363,-0.8882249,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.204511284828186,-0.84465491771698,0.35985636711120605
8,-1.66865,-1.0909997,"('open', 'distant')",0.015616775,-0.39126012,1.4154859,1.2487043,1.1676544,0.7915691,0.2325267493724823,0.1395033895969391,-0.09302335977554321
29,-1.6580606,-1.5563475,"('honest', 'immoral')",-0.8413514,-0.97870916,-1.8260021,-1.7521313,-1.9729593,-2.176074,-1.5745933055877686,-1.61581552028656,-0.041222214698791504
99,-1.6470046,-0.87405795,"('prestigious', 'insignificant')",-0.4636646,-0.4681207,0.29116943,0.51564914,0.7842057,0.64763576,-0.2588235139846802,-0.04472342133522034,0.21410009264945984
86,1.6460108,1.3975397,"('self-reliant', 'helpless')",1.5594375,1.6618239,2.751844,2.6451762,1.5905108,1.749958,1.8869507312774658,1.8636244535446167,-0.02332627773284912
94,1.6420909,1.033418,"('aggressive', 'submissive')",-0.68141377,-0.5293621,-0.09218556,-0.26384047,-0.6174553,-0.32319823,0.06275907158851624,-0.02074567973613739,-0.08350475132465363
6,1.6044664,1.8053069,"('liked', 'disliked')",4.1148806,4.317058,6.684802,6.6123395,3.2574773,3.5818095,3.9154067039489746,4.079128742218018,0.16372203826904297
63,-1.575491,-1.1351154,"('capable', 'incapable')",-0.6560965,-0.8470783,-1.1376256,-1.0196587,-0.33474922,-0.53823125,-0.9259905815124512,-0.8850209712982178,0.0409696102142334
79,1.5592198,1.1409065,"('determined', 'doubtful')",0.1727868,0.20599775,0.44676286,0.76036924,0.31559122,0.37995023,0.6235902309417725,0.6218059062957764,-0.0017843246459960938
104,-1.5048957,-0.79145366,"('conventional', 'unconventional')",-0.58085644,-0.39560443,-0.7870131,-0.6860226,0.09214801,-0.08103579,-0.6951542496681213,-0.48852914571762085,0.2066251039505005
71,1.4507233,0.394266,"('efficient', 'inefficient')",-1.7167315,-1.8953872,-1.1294833,-1.2358482,-1.2771156,-1.4559102,-0.6681517958641052,-1.048219919204712,-0.3800681233406067
15,1.4325331,1.3582568,"('polite', 'impolite')",0.6464133,0.771343,0.51423466,0.6083,-0.60293305,-0.018667951,0.4975620210170746,0.6798079609870911,0.18224593997001648
67,-1.4030365,-1.1150243,"('discriminating', 'undiscriminating')",-0.9628219,-0.76276815,-0.98974335,-0.78308094,0.70384866,0.7983501,-0.6629382967948914,-0.46563082933425903,0.19730746746063232
34,-1.3802176,-1.3166406,"('loyal', 'disloyal')",-1.3213265,-1.201011,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.474819540977478,-1.3102128505706787,0.16460669040679932
98,-1.3711332,-0.7566461,"('prestigious', 'insignificant')",-0.21217108,-0.2721787,-0.5078856,-0.44825798,0.27524158,0.15429056,-0.4539870619773865,-0.33069804310798645,0.12328901886940002
103,1.357332,1.6260772,"('traditional', 'modern')",1.4928405,1.5076072,0.6515223,0.51988685,0.68126935,0.61791956,1.0457409620285034,1.0678726434707642,0.022131681442260742
20,-1.3504031,-0.29632318,"('popular', 'unpopular')",-0.10486728,-0.030290306,-0.1849665,-0.17244402,1.8974743,1.6604376,0.06430935859680176,0.2903450131416321,0.22603565454483032
7,-1.3377109,-1.1272532,"('outgoing', 'distant')",-0.41773307,-0.8313813,1.2281502,1.04766,0.8801502,0.5827791,0.08821412920951843,-0.08204884827136993,-0.17026297748088837
72,-1.3197746,-1.0989296,"('logical', 'illogical')",-1.5735381,-1.446734,-1.4069908,-1.3363023,-0.42463043,-0.11634571,-1.181233525276184,-0.9995778799057007,0.1816556453704834
58,-1.2293055,-1.1568702,"('able', 'clumsy')",-1.61344,-1.5121055,-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.6614928245544434,-1.5182404518127441,0.14325237274169922
