,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,average_male,average_female,female-male
75,2.0138268,1.8627667,"('confident', 'shy')",3.8119533,3.674463,5.658599,6.241472,3.8281262715657554,3.926233927408854,0.09810765584309866
99,-1.9867318,-1.9650805,"('prestigious', 'insignificant')",-0.98582935,-0.7949102,1.2655886,1.2435471,-0.5689908266067505,-0.5054812033971151,0.06350962320963538
15,1.862888,1.9216732,"('polite', 'impolite')",0.81558955,0.8248819,-0.11679274,-0.06047392,0.8538949489593506,0.8953603903452555,0.04146544138590491
98,-1.6537393,-1.6327062,"('prestigious', 'insignificant')",-0.7548804,-0.65459263,0.5292704,0.28390616,-0.6264498233795166,-0.6677974859873453,-0.04134766260782874
69,-1.5594966,-1.3611474,"('wise', 'foolish')",-0.27485198,-0.1995267,1.0331184,1.1519731,-0.2670767704645793,-0.13623364766438803,0.13084312280019125
5,1.4727571,1.4396849,"('pleasant', 'repellent')",1.158575,1.1156834,-0.8428028,-1.1062654,0.5961764653523763,0.48303433259328205,-0.1131421327590943
14,1.4131631,1.4971914,"('supportive', 'unsupportive')",1.028744,0.9786452,0.6490345,0.9883406,1.0303138097127278,1.1547257900238037,0.12441198031107592
41,-1.2706285,-1.3164581,"('incorrupt', 'corrupt')",-0.34305465,-0.25598377,2.3518035,2.3175573,0.246040145556132,0.24837183952331543,0.0023316939671834402
67,-1.2490602,-1.0281426,"('discriminating', 'undiscriminating')",0.733167,0.7687177,-0.95261633,-0.67132825,-0.4895031452178955,-0.31025103727976483,0.17925210793813068
2,1.2426881,1.3112689,"('friendly', 'unfriendly')",0.5469078,0.6006856,-1.967452,-2.1467884,-0.05928540229797363,-0.07827794551849365,-0.01899254322052002
21,1.2348282,0.81798184,"('nice', 'nasty')",0.19024336,0.15318105,0.77133566,0.8175553,0.7321357727050781,0.5962394078572592,-0.13589636484781897
59,-1.2183205,-1.0881257,"('skillful', 'clumsy')",-0.65139246,-0.5145328,0.20886241,0.08008616,-0.5536168416341146,-0.5075241327285767,0.04609270890553796
94,1.2176375,1.3086605,"('aggressive', 'submissive')",0.7323383,0.638528,-0.4937843,-0.637865,0.4853971799214681,0.43644118309020996,-0.04895599683125812
66,1.2167382,1.6493424,"('imaginative', 'unimaginative')",2.37318,2.372157,2.2398949,2.5875924,1.943271001180013,2.203030586242676,0.25975958506266283
85,1.1730328,1.3953211,"('ambitious', 'unambitious')",-0.34345022,-0.30304942,-0.8545263,-0.6296688,-0.008314569791158041,0.1542009711265564,0.16251554091771445
89,1.1296821,0.9808859,"('daring', 'anxious')",0.78017175,0.8008943,-1.0429957,-1.3931843,0.28895270824432373,0.12953197956085205,-0.15942072868347168
107,1.0786572,1.3244703,"('conventional', 'modern')",1.6409007,1.5824206,0.10567477,0.018637389,0.9417441685994467,0.9751760959625244,0.03343192736307776
53,-1.0537367,-1.1478764,"('smart', 'stupid')",-2.9751878,-3.022224,-4.6145515,-4.657486,-2.8811588287353516,-2.94252872467041,-0.061369895935058594
16,1.0495806,1.0534585,"('social', 'antisocial')",0.41149724,0.45863098,-0.9312005,-0.6903181,0.17662576834360758,0.2739237944285075,0.09729802608489993
70,1.0453542,1.228688,"('wise', 'unwise')",0.8717065,0.88820225,1.4651623,1.5168192,1.127407709757487,1.2112364768981934,0.0838287671407063
12,1.0326773,1.1989535,"('sympathetic', 'unsympathetic')",1.2307181,1.2184894,-2.2423363,-2.435833,0.0070196787516276045,-0.006130059560139974,-0.013149738311767578
55,1.0284963,1.06246,"('intelligent', 'unintelligent')",-1.123871,-0.99661124,-1.2213461,-1.3420808,-0.4389069477717082,-0.4254107077916463,0.013496239980061886
71,1.0256063,0.793375,"('efficient', 'inefficient')",-0.042652488,-0.16506147,-2.176484,-2.4020324,-0.3978434403737386,-0.5912396113077799,-0.19339617093404132
64,0.96095586,1.0100315,"('clever', 'incompetent')",-0.077362,-0.079627156,-2.019369,-2.135729,-0.37859169642130536,-0.40177492300669354,-0.023183226585388184
3,0.9599296,0.8555272,"('likable', 'unlikable')",1.4903138,1.4483855,1.212531,1.376033,1.2209248542785645,1.226648489634196,0.005723635355631584
25,0.9529474,1.0259823,"('moral', 'immoral')",0.1437768,0.1870684,-1.6408509,-1.881067,-0.18137558301289877,-0.2226721445719401,-0.04129656155904132
78,0.9293374,0.5281112,"('active', 'inactive')",0.71651614,0.454827,1.5063173,1.2957523,1.0507235527038574,0.7595635255177816,-0.2911600271860758
18,0.9155969,1.0628408,"('social', 'asocial')",0.28812712,0.3488607,-0.66804034,-0.44425464,0.17856123050053915,0.32248230775197345,0.1439210772514343
42,-0.9127141,-0.7178862,"('amicable', 'hostile')",0.009343326,0.15218228,2.034894,2.330525,0.37717437744140625,0.5882736841837565,0.21109930674235022
22,0.91214013,0.9314015,"('welcoming', 'disagreeable')",0.13731386,0.19615918,1.6661851,1.633589,0.9052130381266276,0.9203832149505615,0.015170176823933956
63,-0.9002914,-0.74625397,"('capable', 'incapable')",-0.46762964,-0.47337687,-0.72232276,-1.0001471,-0.6967479387919108,-0.7399260203043619,-0.04317808151245117
76,0.89976764,0.7543423,"('secure', 'insecure')",0.6054659,0.6756911,-0.8251557,-0.9229028,0.22669261693954468,0.16904354095458984,-0.057649075984954834
0,0.8866255,0.98701847,"('sociable', 'unsociable')",0.51587576,0.58089554,-0.70911974,-0.61730325,0.23112720251083374,0.3168702522913615,0.08574304978052777
90,0.87994474,0.8903411,"('motivated', 'unmotivated')",0.8095286,0.65777683,0.28536385,-0.008630931,0.6582791010538737,0.5131622950236002,-0.14511680603027344
20,-0.86473864,-0.76595056,"('popular', 'unpopular')",-0.4659126,-0.3938827,0.4957329,0.14628363,-0.27830612659454346,-0.33784985542297363,-0.059543728828430176
96,-0.84392494,-0.68767834,"('powerful', 'powerless')",-0.06965873,-0.007936776,-0.7962618,-0.46324554,-0.5699484745661417,-0.3862868944803874,0.18366158008575434
52,0.83225393,0.85728645,"('competitive', 'uncompetitive')",1.5472736,1.5220945,-2.1735342,-2.1972377,0.0686644713083903,0.060714403788248696,-0.007950067520141609
40,-0.8085871,-0.9096525,"('honorable', 'mean')",-2.5441337,-2.6634316,-4.99464,-5.475706,-2.7824535369873047,-3.0162633260091147,-0.23380978902181004
9,0.80776596,1.0013078,"('sensitive', 'insensitive')",0.3446741,0.27006334,-1.6883833,-1.8456318,-0.17864775657653809,-0.19142023722330728,-0.012772480646769196
26,0.7774042,0.9901634,"('trustworthy', 'untrustworthy')",0.9467756,0.9638313,0.41538066,0.39705262,0.7131868203481039,0.7836824258168539,0.07049560546875
61,-0.76972985,-0.54662484,"('rational', 'irrational')",-0.18738808,0.056152135,1.5563276,1.7502799,0.19973655541737875,0.41993574301401776,0.220199187596639
19,-0.7647385,-0.6330772,"('funny', 'boring')",-0.24199921,-0.14867568,0.87662005,1.088836,-0.043372551600138344,0.10236102342605591,0.14573357502619425
104,-0.75463724,-0.70724505,"('conventional', 'unconventional')",-1.109312,-0.9056782,-0.6435943,-0.62254924,-0.8358478546142578,-0.7451574802398682,0.09069037437438965
101,-0.74395514,-0.76019704,"('successful', 'unsuccessful')",-0.28079253,-0.20976467,-1.8813348,-2.034066,-0.9686941305796305,-1.001342535018921,-0.0326484044392904
68,-0.7413312,-0.8386625,"('clever', 'inept')",-0.19002938,-0.3080741,-1.1536158,-1.3113605,-0.6949921449025472,-0.819365660349528,-0.12437351544698072
51,0.7250222,0.7422321,"('competent', 'incompetent')",0.666093,0.5837922,-1.2937353,-1.301471,0.03245997428894043,0.008184432983398438,-0.024275541305541992
109,0.7211992,0.7520565,"('conservative', 'liberal')",0.35626507,0.32902497,-0.5183059,-0.70227265,0.18638614813486734,0.12626957893371582,-0.06011656920115152
108,0.7211992,0.7520565,"('conservative', 'liberal')",0.35626507,0.32902497,-0.5183059,-0.70227265,0.18638614813486734,0.12626957893371582,-0.06011656920115152
