,aon_male,aon_female,tuple,plc_male,plc_female,new_male,new_female,average_male,average_female,female-male
75,2.4215035,2.541598,"('confident', 'shy')",3.5247977,3.2817347,4.247345,4.725128,3.3978821436564126,3.516153653462728,0.1182715098063154
40,-2.393364,-2.5655632,"('honorable', 'mean')",-3.1261778,-3.2318354,-2.9068136,-3.3330858,-2.8087851206461587,-3.0434948603312173,-0.2347097396850586
6,2.2935958,2.1288455,"('liked', 'disliked')",3.4021554,3.0749176,3.2574773,3.5818095,2.9844093322753906,2.9285240173339844,-0.05588531494140625
95,-2.2653646,-2.3440619,"('rich', 'poor')",-3.2400424,-2.8823357,-2.7676091,-3.1545284,-2.7576719919840493,-2.793642044067383,-0.03597005208333348
27,-1.9831306,-1.7598753,"('sincere', 'insincere')",-3.7445612,-3.2439625,-4.0693674,-4.2187166,-3.265686353047689,-3.0741847356160483,0.19150161743164062
53,-1.7912291,-1.7735432,"('smart', 'stupid')",-2.7923336,-2.6830916,-3.3546703,-3.2368484,-2.646077791849772,-2.5644944508870444,0.08158334096272757
66,1.5069064,1.6199069,"('imaginative', 'unimaginative')",0.92632073,0.9020848,0.34587073,0.7209271,0.9263659318288168,1.0809729894002278,0.15460705757141102
70,1.3930861,1.274439,"('wise', 'unwise')",0.5677757,0.41105568,1.675778,1.6813757,1.2122132778167725,1.1222901344299316,-0.08992314338684082
78,1.2901915,1.0677521,"('active', 'inactive')",1.8179362,1.6268666,1.6742909,1.1332293,1.5941394170125325,1.2759493192036946,-0.3181900978088379
4,-1.2367647,-1.3539709,"('likable', 'unlikable')",-0.081980586,-0.08893585,0.38617718,0.37986428,-0.31085602442423504,-0.35434746742248535,-0.04349144299825031
22,1.2153761,1.1880027,"('welcoming', 'disagreeable')",2.3183966,2.3632874,0.5636344,0.47769773,1.3658024470011394,1.3429959615071614,-0.022806485493978013
42,1.1623462,1.0346036,"('amicable', 'hostile')",0.4661493,0.45260295,1.8091202,1.8213055,1.1458719571431477,1.1028374036153157,-0.04303455352783203
72,-1.1603756,-0.8826685,"('logical', 'illogical')",-1.846786,-1.5312219,-0.42463043,-0.11634571,-1.1439306735992432,-0.8434120019276937,0.30051867167154944
106,-1.1362686,-0.9514506,"('conventional', 'unconventional')",-0.32193002,-0.17902994,1.2797227,0.963664,-0.05949199199676514,-0.05560551087061564,0.0038864811261494978
87,-1.1210822,-1.065356,"('dedicated', 'undedicated')",-1.3498012,-1.2865222,-0.63571346,-0.37742674,-1.0355323155721028,-0.909768263498942,0.12576405207316077
43,-1.0883732,-1.0454805,"('genuine', 'fake')",-0.77281046,-0.80719465,0.3768835,0.38788807,-0.4947667121887207,-0.4882623751958211,0.006504336992899595
58,-1.0871241,-0.9583261,"('able', 'clumsy')",-0.96409196,-0.6022866,-1.5659094,-1.5201012,-1.2057085037231445,-1.026904582977295,0.1788039207458496
107,1.0381582,0.97554547,"('conventional', 'modern')",0.8894623,1.0773219,1.0958123,1.6039909,1.007810910542806,1.2189528147379558,0.2111419041951499
33,-1.0105959,-0.8777683,"('softhearted', 'hardhearted')",-0.44339585,-0.15867734,-0.62816787,-0.6920396,-0.6940531730651855,-0.5761617422103882,0.11789143085479736
77,0.9904473,0.8581896,"('active', 'inactive')",0.9561428,1.001109,0.7132806,0.8810775,0.8866235415140787,0.9134586652119955,0.02683512369791674
24,-0.9562996,-0.9233408,"('thoughtful', 'rough')",-1.50386,-1.3977253,-0.80838597,-1.0449764,-1.089515209197998,-1.1220142046610515,-0.03249899546305346
94,0.9562741,1.0534832,"('aggressive', 'submissive')",0.3167389,0.37931955,-0.6174553,-0.32319823,0.21851923068364462,0.3698681990305583,0.15134896834691366
48,0.9442017,0.7359134,"('reliable', 'unreliable')",1.3711106,1.328733,1.1541629,1.1235613,1.156491756439209,1.062735875447591,-0.09375588099161791
37,0.9412384,0.732319,"('good', 'evil')",1.5869911,1.3352513,2.5303283,2.428041,1.6861858367919922,1.4985370635986328,-0.18764877319335938
49,-0.8677325,-0.8315457,"('responsible', 'irresponsible')",-1.5508225,-1.459429,-1.0568249,-1.0981494,-1.158459981282552,-1.129707972208659,0.02875200907389308
65,-0.8527385,-0.6503645,"('practical', 'impractical')",-1.4424596,-1.4789081,-1.6388373,-1.5554767,-1.311345100402832,-1.2282497088114421,0.0830953915913899
74,-0.8431659,-0.88382584,"('insightful', 'unperceptive')",-1.2325647,-1.104742,-0.31318325,-0.21756577,-0.7963046232859293,-0.7353778680165609,0.060926755269368416
90,0.8336186,0.7355694,"('motivated', 'unmotivated')",0.34028345,0.13882771,-0.115985096,-0.5120882,0.35263895988464355,0.12076965967814128,-0.23186930020650226
50,0.79486597,0.54890203,"('unprejudiced', 'prejudiced')",1.3452752,1.1494088,1.2686491,1.0383911,1.136263370513916,0.9122339884440104,-0.22402938206990564
109,-0.79165465,-0.51632243,"('conservative', 'liberal')",-0.26891476,-0.12362105,-1.097023,-1.0688727,-0.7191974322001139,-0.5696053902308146,0.14959204196929932
108,-0.79165465,-0.51632243,"('conservative', 'liberal')",-0.26891476,-0.12362105,-1.097023,-1.0688727,-0.7191974322001139,-0.5696053902308146,0.14959204196929932
13,-0.7896447,-0.7039811,"('helpful', 'unhelpful')",-1.8097348,-1.6104212,-2.575208,-2.4277782,-1.7248624165852864,-1.580726941426595,0.1441354751586914
45,-0.7859288,-0.7563137,"('cooperative', 'exploitative')",-1.5415361,-1.558578,-1.0277846,-0.9165996,-1.118416468302409,-1.0771637757619221,0.0412526925404868
68,-0.7800794,-0.8251866,"('clever', 'inept')",-1.5607007,-1.5761546,-0.6454199,-0.8717228,-0.9953999519348145,-1.0910213788350422,-0.09562142690022779
21,0.762756,0.6523794,"('nice', 'nasty')",1.1463262,0.9907526,0.35453856,0.31382322,0.7545402844746908,0.6523183981577555,-0.1022218863169353
32,-0.7593811,-0.71926296,"('benevolent', 'hardhearted')",-1.8616626,-1.5763164,-0.5565795,-0.20947967,-1.0592077573140461,-0.8350196679433187,0.22418808937072743
73,-0.7351541,-0.7036286,"('brilliant', 'incompetent')",-1.130574,-1.1465219,-1.3390191,-1.6772346,-1.0682490666707356,-1.175795078277588,-0.10754601160685229
28,-0.7042692,-0.56313056,"('honest', 'dishonest')",-1.1373092,-0.93425256,-1.27389,-0.99179226,-1.0384895006815593,-0.8297251065572103,0.208764394124349
46,0.6794555,0.77850986,"('generous', 'stingy')",1.6328498,1.7133528,0.83456933,0.996935,1.0489583015441895,1.162932554880778,0.11397425333658862
38,-0.66223437,-0.41341972,"('kind', 'unkind')",-1.3767353,-1.0640249,-1.1115729,-0.71509457,-1.0501809120178223,-0.7308464050292969,0.3193345069885254
71,-0.60460865,-0.44711345,"('efficient', 'inefficient')",-1.0914433,-1.027689,-1.2771156,-1.4559102,-0.9910558064778646,-0.9769042332967123,0.014151573181152344
110,0.572346,0.49772957,"('narrow-minded', 'open-minded')",-0.3598685,-0.41462997,-0.38863587,-0.16592145,-0.05871946612993876,-0.027607282002766926,0.031112184127171833
16,0.5654013,0.8365654,"('social', 'antisocial')",-0.6742196,-0.601567,-0.8021402,-0.50254613,-0.303652822971344,-0.08918257554372151,0.2144702474276225
63,-0.5234558,-0.6960778,"('capable', 'incapable')",-0.12625396,-0.06733996,-0.33474922,-0.53823125,-0.3281529943148295,-0.4338830312093099,-0.10573003689448035
105,-0.50915563,-0.36958736,"('conventional', 'modern')",-0.6033509,-0.44435796,0.8306431,0.5736888,-0.09395446379979451,-0.08008549610773723,0.013868967692057282
103,0.49771717,0.6939196,"('traditional', 'modern')",0.48525503,0.7267479,0.68126935,0.61791956,0.5547471841176351,0.6795290311177572,0.12478184700012207
54,0.4909308,0.32678795,"('smart', 'stupid')",0.71134377,0.54414296,0.84912705,0.60384494,0.6838005383809408,0.4915919303894043,-0.1922086079915365
102,0.45235378,0.35213247,"('eminent', 'low')",-0.6564152,-0.59121776,-0.2643765,-0.27766025,-0.1561459799607595,-0.17224852244059244,-0.01610254247983295
91,0.43788087,0.2346745,"('resilient', 'nonresilient')",-0.7134504,-0.74166656,0.2389951,-0.08850193,-0.012191464503606161,-0.19849799076716104,-0.18630652626355487
47,0.4330861,0.49593937,"('forgiving', 'unforgiving')",-0.3485232,-0.166426,-0.45840046,-0.068962395,-0.12461252013842265,0.08685032526652019,0.21146284540494284
25,-0.4284625,-0.2820364,"('moral', 'immoral')",-0.5738959,-0.5586629,-1.4564099,-1.4396524,-0.8195894559224447,-0.7601172129313151,0.05947224299112963
