,scana_male,scana_female,tuple,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,2.4110875,2.3248873,"('confident', 'shy')",6.66473,6.5372887,4.247345,4.725128,4.441054026285808,4.529101371765137,0.08804734547932913
78,2.1943147,2.2240996,"('active', 'inactive')",2.3321204,1.9112912,1.6742909,1.1332293,2.066908518473307,1.7562066713968914,-0.3107018470764158
32,-1.5673585,-1.2040744,"('benevolent', 'hardhearted')",-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.148660659790039,-0.7229382991790771,0.4257223606109619
109,1.5006177,0.7022131,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,0.0713505744934082,-0.23950769503911337,-0.3108582695325216
108,1.5006177,0.7022131,"('conservative', 'liberal')",-0.18954298,-0.3518635,-1.097023,-1.0688727,0.0713505744934082,-0.23950769503911337,-0.3108582695325216
34,-1.3785651,-0.9849245,"('loyal', 'disloyal')",-2.017921,-1.7827404,-1.179813,-0.9404594,-1.52543306350708,-1.2360413869222004,0.28939167658487963
10,-1.2501616,-0.40917304,"('affectionate', 'unaffectionate')",-0.05168128,0.14470398,0.7698784,0.8342984,-0.1773215134938558,0.18994311491648355,0.36726462841033936
103,1.1961497,0.99942404,"('traditional', 'modern')",0.6515223,0.51988685,0.68126935,0.61791956,0.8429804642995199,0.7124101320902506,-0.13057033220926928
77,1.1463257,1.4821067,"('active', 'inactive')",1.3215332,1.4822655,0.7132806,0.8810775,1.0603798230489094,1.281816562016805,0.2214367389678955
15,1.1238775,1.1829864,"('polite', 'impolite')",0.51423466,0.6083,-0.60293305,-0.018667951,0.34505971272786456,0.5908728043238322,0.2458130915959676
58,-1.0282147,-0.82817185,"('able', 'clumsy')",-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.6104799906412761,-1.4107192357381184,0.1997607549031577
101,1.0215456,0.6544819,"('successful', 'unsuccessful')",-1.2861463,-1.4652822,-0.6508886,-0.41667444,-0.30516308546066284,-0.40915822982788086,-0.10399514436721802
95,-1.0182074,-1.6095304,"('rich', 'poor')",-6.034153,-6.116641,-2.7676091,-3.1545284,-3.2733230590820312,-3.62690003712972,-0.35357697804768895
80,1.0071821,0.6601412,"('independent', 'dependent')",0.50642145,0.6569986,0.56695527,0.6444183,0.6935195922851562,0.6538527011871338,-0.03966689109802246
73,1.0067363,0.07214779,"('brilliant', 'incompetent')",-1.5508811,-1.81595,-1.3390191,-1.6772346,-0.6277213096618652,-1.1403456528981526,-0.5126243432362874
53,-0.96987367,-1.4376605,"('smart', 'stupid')",-4.4504747,-4.3025694,-3.3546703,-3.2368484,-2.9250062306722007,-2.992359161376953,-0.06735293070475246
105,-0.955657,-0.7346286,"('conventional', 'modern')",-0.48005888,-0.4712868,0.8306431,0.5736888,-0.20169093211491904,-0.21074221531550089,-0.00905128320058185
27,-0.9553193,-1.4319869,"('sincere', 'insincere')",-6.6364894,-6.431673,-4.0693674,-4.2187166,-3.887058893839518,-4.027458826700847,-0.14039993286132857
