,cognizant_male,cognizant_female,tuple,technology_male,technology_female,sols_male,sols_female,average_male,average_female,female-male
100,2.0617194,2.1333318,"('influential', 'uninfluential')",-0.49089026,-0.21607703,-0.34454402,-0.15566418,0.4087616999944051,0.5871968269348145,0.17843512694040936
0,1.8857552,1.9198643,"('sociable', 'unsociable')",-0.3882349,-0.048843503,-0.51364094,-0.5126646,0.3279597560564677,0.4527854124704997,0.12482565641403198
2,1.3668274,1.581187,"('friendly', 'unfriendly')",-0.6264745,-0.51075757,-0.3597701,-0.45941883,0.12686092654863992,0.2036702036857605,0.07680927713712057
75,1.3198354,1.1610439,"('confident', 'shy')",4.2843723,3.8183107,3.8182826,3.5676887,3.1408303578694663,2.8490146001180015,-0.29181575775146484
51,1.268432,1.2073342,"('competent', 'incompetent')",0.45988673,0.58984345,-0.26042452,-0.44434187,0.4892980655034383,0.4509452184041341,-0.0383528470993042
78,1.2388299,0.7390359,"('active', 'inactive')",1.6712054,1.2708251,2.376256,2.153507,1.7620970408121746,1.3877894083658855,-0.37430763244628906
16,1.233659,1.2406242,"('social', 'antisocial')",-1.2037413,-1.1298462,-0.19533023,-0.48858097,-0.05513750513394674,-0.12593433260917664,-0.07079682747522989
81,-1.1779394,-1.6038071,"('industrious', 'lazy')",0.06498417,-0.07449481,1.5872579,1.399863,0.15810088316599527,-0.092812975247701,-0.2509138584136963
1,1.1639062,1.0026433,"('friendly', 'unfriendly')",-1.4575164,-1.1979148,-0.5034096,-0.21974495,-0.26567327976226807,-0.13833881417910257,0.1273344655831655
50,-1.1326799,-1.2827699,"('unprejudiced', 'prejudiced')",1.153986,0.8449209,1.4702209,1.1939116,0.497175653775533,0.25202083587646484,-0.24515481789906818
71,1.1229755,1.0286052,"('efficient', 'inefficient')",-0.31770676,-0.5442336,-0.48014313,-0.9930786,0.1083751916885376,-0.16956899563471475,-0.2779441873232523
15,1.1162648,1.2916291,"('polite', 'impolite')",0.30762345,0.43488568,-0.35520232,-0.156121,0.35622862974802655,0.5234646002451578,0.1672359704971313
24,-1.0937998,-1.0438445,"('thoughtful', 'rough')",-1.3031881,-1.2190139,-0.09796399,-0.2607889,-0.8316506544748942,-0.8412157694498698,-0.009565114974975586
17,1.07633,1.2032545,"('social', 'antisocial')",-0.90899944,-0.7850878,-0.45870054,-0.21736093,-0.09712334473927815,0.06693523625532787,0.16405858099460602
30,1.067264,1.0412278,"('honest', 'dishonest')",0.007945895,0.20352894,0.24713254,0.1515063,0.4407807985941569,0.46542100111643475,0.024640202522277832
70,1.0244092,0.8890554,"('wise', 'unwise')",0.022350669,0.057751477,1.1394029,1.1461275,0.7287209033966064,0.6976447900136312,-0.031076113382975223
90,1.0141183,0.9029337,"('motivated', 'unmotivated')",-0.20765167,-0.25183707,0.1388874,-0.17420506,0.3151180148124695,0.1589638590812683,-0.15615415573120117
86,-1.0078931,-1.0962652,"('self-reliant', 'helpless')",1.236259,0.97470355,1.2277987,1.2519715,0.48538819948832196,0.37680327892303467,-0.10858492056528729
9,0.9969954,0.9292301,"('sensitive', 'insensitive')",-0.44005343,-0.3979478,-0.32788205,-0.52045095,0.07635331153869629,0.0036104520161946616,-0.07274285952250163
