,peabody_male,peabody_female,tuple,energy_male,energy_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,4.2942815,4.362914,"('confident', 'shy')",4.231817,4.3811846,6.66473,6.5372887,4.247345,4.725128,4.859543323516846,5.001628875732422,0.14208555221557617
27,-3.309336,-3.2343633,"('sincere', 'insincere')",-5.0571012,-5.1870246,-6.6364894,-6.431673,-4.0693674,-4.2187166,-4.768073081970215,-4.7679443359375,0.00012874603271484375
95,-3.1181164,-3.2123356,"('rich', 'poor')",-4.3685555,-4.600958,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.072108268737793,-4.271115779876709,-0.19900751113891602
53,-3.0801349,-2.9884791,"('smart', 'stupid')",-4.7705526,-4.886426,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.9139583110809326,-3.853580951690674,0.06037735939025879
40,-2.9509625,-3.191325,"('honorable', 'mean')",-4.417768,-4.826338,-5.858739,-5.9650583,-2.9068136,-3.3330858,-4.033570766448975,-4.328951835632324,-0.2953810691833496
6,2.8404963,2.7832193,"('liked', 'disliked')",4.1148806,4.317058,6.684802,6.6123395,3.2574773,3.5818095,4.224413871765137,4.323606491088867,0.09919261932373047
32,-2.7120795,-2.5574348,"('benevolent', 'hardhearted')",-1.1469363,-0.8882249,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.4344098567962646,-1.10260009765625,0.33180975914001465
107,2.2252035,2.450518,"('conventional', 'modern')",1.303526,1.2869473,0.41894037,0.40934473,1.0958123,1.6039909,1.2608704566955566,1.4377002716064453,0.17682981491088867
50,2.1353579,1.9142764,"('unprejudiced', 'prejudiced')",1.5305269,1.5307946,2.2759738,2.2260273,1.2686491,1.0383911,1.8026268482208252,1.6773723363876343,-0.12525451183319092
99,-2.0923588,-2.3860335,"('prestigious', 'insignificant')",-0.4636646,-0.4681207,0.29116943,0.51564914,0.7842057,0.64763576,-0.37016206979751587,-0.4227173328399658,-0.05255526304244995
86,1.973793,1.9628279,"('self-reliant', 'helpless')",1.5594375,1.6618239,2.751844,2.6451762,1.5905108,1.749958,1.9688962697982788,2.00494647026062,0.03605020046234131
28,-1.9318236,-1.8179325,"('honest', 'dishonest')",-2.012293,-2.2145486,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.8258965015411377,-1.7597432136535645,0.06615328788757324
48,1.7823381,1.7922117,"('reliable', 'unreliable')",2.227078,2.157972,2.681928,2.5936308,1.1541629,1.1235613,1.9613767862319946,1.9168440103530884,-0.04453277587890625
3,1.7730706,1.8231215,"('likable', 'unlikable')",0.73056227,0.7470579,1.6233785,1.5548921,1.4871099,1.6269121,1.4035303592681885,1.4379959106445312,0.03446555137634277
1,-1.7425005,-1.738278,"('friendly', 'unfriendly')",-1.4947081,-1.5528017,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.142890453338623,-1.0738309621810913,0.06905949115753174
104,-1.7295157,-1.6765604,"('conventional', 'unconventional')",-0.58085644,-0.39560443,-0.7870131,-0.6860226,0.09214801,-0.08103579,-0.7513092756271362,-0.7098057866096497,0.04150348901748657
11,-1.7232562,-1.7617432,"('caring', 'unaffectionate')",-1.9852233,-2.1505709,-1.484493,-1.4917997,-0.39734697,-0.45263273,-1.3975797891616821,-1.464186668395996,-0.06660687923431396
98,-1.5537752,-1.7742119,"('prestigious', 'insignificant')",-0.21217108,-0.2721787,-0.5078856,-0.44825798,0.27524158,0.15429056,-0.4996475577354431,-0.5850894451141357,-0.08544188737869263
66,1.4558461,1.4829693,"('imaginative', 'unimaginative')",1.465295,1.4954926,3.0494213,3.0358052,0.34587073,0.7209271,1.5791082382202148,1.6837985515594482,0.1046903133392334
62,-1.4377084,-1.4422712,"('creative', 'uncreative')",-1.1806245,-1.1672808,-0.33273518,-0.144564,-0.56264377,-0.6173538,-0.8784279227256775,-0.842867374420166,0.035560548305511475
16,1.3869579,1.4475702,"('social', 'antisocial')",-0.8901634,-0.54829955,-0.3652128,-0.106381685,-0.8021402,-0.50254613,-0.1676396280527115,0.07258571684360504,0.24022534489631653
5,1.3715277,1.2065525,"('pleasant', 'repellent')",0.10114539,0.122558266,-1.2856472,-1.3148067,-0.097297505,-0.30082503,0.022432100027799606,-0.07163024693727493,-0.09406234696507454
97,-1.2956452,-1.1957453,"('superior', 'inferior')",-0.63435173,-0.7680914,-1.0777923,-1.0853717,-0.99121296,-0.8188501,-0.9997504949569702,-0.9670146107673645,0.03273588418960571
109,1.2525846,1.5380522,"('conservative', 'liberal')",0.26427877,0.41092554,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.057574331760406494,0.13206037878990173,0.07448604702949524
108,1.2525846,1.5380522,"('conservative', 'liberal')",0.26427877,0.41092554,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.057574331760406494,0.13206037878990173,0.07448604702949524
88,1.2079024,1.0310819,"('impulsive', 'meek')",0.9253155,1.0487615,1.447821,1.2792021,1.563556,1.8192687,1.2861487865447998,1.2945785522460938,0.008429765701293945
33,-1.1872735,-1.1281981,"('softhearted', 'hardhearted')",-0.9846002,-1.223373,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-0.956723153591156,-0.9926095008850098,-0.03588634729385376
78,1.1148586,0.97177625,"('active', 'inactive')",0.79766953,0.32123488,2.3321204,1.9112912,1.6742909,1.1332293,1.4797348976135254,1.0843828916549683,-0.39535200595855713
94,1.1077366,1.3040462,"('aggressive', 'submissive')",-0.68141377,-0.5293621,-0.09218556,-0.26384047,-0.6174553,-0.32319823,-0.07082951068878174,0.04691135138273239,0.11774086207151413
