,norwegian_male,norwegian_female,tuple,cruise_male,cruise_female,line_male,line_female,hldgs_male,hldgs_female,average_male,average_female,female-male
75,7.1592975,7.009046,"('confident', 'shy')",6.322421,5.609271,4.549804,4.7522974,2.4819393,2.4738483,5.128365516662598,4.96111536026001,-0.1672501564025879
6,5.7601013,5.9657154,"('liked', 'disliked')",5.091808,4.00539,3.5163934,3.8493073,1.7057631,1.7077923,4.018516540527344,3.8820512294769287,-0.13646531105041504
27,-5.632735,-5.70573,"('sincere', 'insincere')",-6.080245,-5.094445,-3.7308097,-4.01619,-1.5536349,-1.4355164,-4.249356269836426,-4.062970161437988,0.1863861083984375
95,-4.885468,-4.9739366,"('rich', 'poor')",-5.6688075,-4.918069,-2.7430773,-3.0193439,-2.2075205,-2.288807,-3.876218318939209,-3.800039291381836,0.07617902755737305
53,-4.4075274,-4.5095205,"('smart', 'stupid')",-4.9988785,-4.276775,-2.8511305,-3.2077389,-1.7122885,-1.8082657,-3.4924564361572266,-3.4505748748779297,0.041881561279296875
40,-4.3672323,-4.6172304,"('honorable', 'mean')",-4.304249,-3.936192,-3.0096192,-3.4564993,-1.6439569,-1.8196172,-3.3312644958496094,-3.4573848247528076,-0.12612032890319824
86,2.8027482,2.8486514,"('self-reliant', 'helpless')",2.8452218,2.1791422,1.3333194,1.3808553,0.7136347,0.67005455,1.9237310886383057,1.7696759700775146,-0.15405511856079102
66,2.7192667,2.8457618,"('imaginative', 'unimaginative')",2.1034129,1.8840135,1.6351538,1.7225289,1.7487632,1.7554638,2.0516490936279297,2.0519421100616455,0.0002930164337158203
34,-2.4688034,-2.238709,"('loyal', 'disloyal')",-1.962043,-1.4882877,-1.4911573,-1.1692297,0.0952234,0.29899734,-1.4566950798034668,-1.1493072509765625,0.3073878288269043
48,2.2459812,2.096289,"('reliable', 'unreliable')",2.4451315,1.928112,1.1734936,1.0744268,0.22427988,0.10111146,1.5222214460372925,1.2999846935272217,-0.2222367525100708
11,-2.2426655,-2.0992982,"('caring', 'unaffectionate')",-2.3944564,-2.516707,-1.2294223,-1.2591754,0.014177546,0.08062529,-1.4630918502807617,-1.4486387968063354,0.01445305347442627
78,2.21262,1.986437,"('active', 'inactive')",1.6168859,0.9579575,1.6371515,1.3122206,1.6853502,1.2724282,1.7880020141601562,1.382260799407959,-0.40574121475219727
13,-2.1041064,-2.150698,"('helpful', 'unhelpful')",-2.558677,-2.0148234,-1.3884072,-1.38113,-0.031038404,0.038259298,-1.5205572843551636,-1.3770980834960938,0.14345920085906982
3,2.0991273,2.024941,"('likable', 'unlikable')",0.66668844,0.24162921,0.69924736,0.83656275,0.9506365,0.8729423,1.1039248704910278,0.9940187931060791,-0.10990607738494873
58,-2.0731177,-2.032377,"('able', 'clumsy')",-1.8962598,-1.2518494,-0.49514478,-0.33889884,-0.52967215,-0.47819963,-1.2485486268997192,-1.0253312587738037,0.22321736812591553
104,-1.9406228,-1.6210896,"('conventional', 'unconventional')",-0.5788988,-0.8219167,-0.62517756,-0.45892948,0.3725494,0.49046466,-0.6930375099182129,-0.6028677821159363,0.09016972780227661
99,-1.9387968,-1.7813855,"('prestigious', 'insignificant')",-0.87467253,-1.1179335,-0.14467728,-0.124773264,-0.9595623,-1.2144585,-0.9794272184371948,-1.0596377849578857,-0.08021056652069092
46,1.8825448,1.9256043,"('generous', 'stingy')",1.9975193,1.4301647,1.0293097,1.1654192,0.4914546,0.5065732,1.3502070903778076,1.2569403648376465,-0.09326672554016113
1,-1.8725615,-1.6233582,"('friendly', 'unfriendly')",-2.5096164,-2.735578,-1.3783736,-1.3434002,0.024962343,-0.057331096,-1.4338972568511963,-1.4399168491363525,-0.00601959228515625
50,1.8328896,1.6838853,"('unprejudiced', 'prejudiced')",1.7570889,1.7096186,1.4632901,1.3422353,0.5531352,0.41913915,1.401600956916809,1.288719654083252,-0.11288130283355713
32,-1.6572635,-1.500934,"('benevolent', 'hardhearted')",-2.6124613,-2.6548374,-1.0627627,-0.9808856,-0.5663941,-0.5017346,-1.4747204780578613,-1.4095978736877441,0.06512260437011719
10,-1.6399971,-1.3950635,"('affectionate', 'unaffectionate')",-2.2682605,-2.3695602,-1.009234,-0.9808043,-0.2351055,-0.27450758,-1.2881492376327515,-1.254983901977539,0.0331653356552124
94,1.6175377,1.6637375,"('aggressive', 'submissive')",0.5221715,0.8136107,0.046993792,0.3333251,0.7254316,0.8796878,0.7280336618423462,0.9225903153419495,0.19455665349960327
28,-1.5918217,-1.5869151,"('honest', 'dishonest')",-1.6491703,-1.4160774,-0.8091012,-0.87431014,-0.29593748,-0.26235127,-1.0865076780319214,-1.0349135398864746,0.05159413814544678
109,1.5680778,1.5813092,"('conservative', 'liberal')",0.842829,1.230524,-0.68707395,-0.440379,0.8220734,1.1355462,0.6364765763282776,0.876750111579895,0.24027353525161743
108,1.5680778,1.5813092,"('conservative', 'liberal')",0.842829,1.230524,-0.68707395,-0.440379,0.8220734,1.1355462,0.6364765763282776,0.876750111579895,0.24027353525161743
38,-1.4735217,-1.3456845,"('kind', 'unkind')",-2.5119627,-1.9518762,-1.5346777,-1.4565468,-0.7690042,-0.43281338,-1.572291612625122,-1.2967301607131958,0.27556145191192627
16,1.4643466,1.3575032,"('social', 'antisocial')",-0.6195241,-0.46264344,0.36114672,0.37967306,0.43921462,0.62520975,0.41129595041275024,0.4749356508255005,0.06363970041275024
107,1.3832796,1.3188145,"('conventional', 'modern')",-0.10971075,0.29945982,0.065416984,0.25958818,-0.10643056,-0.14534146,0.30813881754875183,0.43313026428222656,0.12499144673347473
37,1.3370667,1.3490913,"('good', 'evil')",2.1093533,1.5601424,2.0519876,1.9605389,0.8253737,0.67003274,1.5809452533721924,1.3849513530731201,-0.19599390029907227
