,marshall_male,marshall_female,tuple,&_male,&_female,ilsley_male,ilsley_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,7.446954,7.1485596,"('confident', 'shy')",4.0087137,4.0352073,2.2798393,2.3779116,6.66473,6.5372887,4.247345,4.725128,4.9295166015625,4.9648193359375,0.03530273437500053
27,-6.7412443,-5.944442,"('sincere', 'insincere')",-4.1355467,-3.9827933,-1.047698,-1.1641104,-6.6364894,-6.431673,-4.0693674,-4.2187166,-4.526068878173828,-4.348346710205078,0.17772216796875018
6,5.9681406,5.10839,"('liked', 'disliked')",4.5879793,4.393346,0.3890037,0.5924835,6.684802,6.6123395,3.2574773,3.5818095,4.177480316162109,4.057673645019531,-0.11980667114257759
95,-5.58856,-5.1323986,"('rich', 'poor')",-4.6163955,-4.796937,-1.8228158,-2.0788746,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.165906524658203,-4.255875778198242,-0.0899692535400396
53,-4.980295,-4.2380023,"('smart', 'stupid')",-2.785178,-2.6608834,-1.6612853,-1.7352517,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.446380615234375,-3.2347110748291015,0.21166954040527353
40,-4.679925,-4.391652,"('honorable', 'mean')",-3.1803021,-3.355461,-1.9666992,-2.0886755,-5.858739,-5.9650583,-2.9068136,-3.3330858,-3.7184959411621095,-3.826786422729492,-0.10829048156738263
86,2.9923823,2.448913,"('self-reliant', 'helpless')",3.6254056,3.315715,0.3132486,0.24397483,2.751844,2.6451762,1.5905108,1.749958,2.2546783447265626,2.0807474136352537,-0.17393093109130886
48,2.7539163,2.553476,"('reliable', 'unreliable')",1.5736834,1.3709737,0.17686719,0.14933488,2.681928,2.5936308,1.1541629,1.1235613,1.6681114196777345,1.5581954002380372,-0.10991601943969731
13,-2.427956,-1.8094634,"('helpful', 'unhelpful')",-1.4792297,-1.5617889,0.05841355,-0.044380188,-3.0271235,-3.0961032,-2.575208,-2.4277782,-1.8902206420898438,-1.78790283203125,0.10231781005859375
11,-2.396231,-2.2968948,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,-0.60365963,-0.45703498,-1.484493,-1.4917997,-0.39734697,-0.45263273,-1.1634109497070313,-1.1332313537597656,0.030179595947265714
66,2.08728,2.1085281,"('imaginative', 'unimaginative')",1.7984312,1.9160259,-0.13441636,-0.052719623,3.0494213,3.0358052,0.34587073,0.7209271,1.4293174743652344,1.5457134246826172,0.11639595031738281
1,-1.9064492,-1.8320568,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,-0.7314602,-0.41981333,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.1559236526489258,-1.0372716903686523,0.11865196228027353
50,1.8739274,1.683389,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,-0.13866398,-0.053997263,2.2759738,2.2260273,1.2686491,1.0383911,1.5823448181152344,1.4787820816040038,-0.1035627365112306
3,1.8512547,2.034484,"('likable', 'unlikable')",0.5202945,0.25173515,0.60442746,0.44002804,1.6233785,1.5548921,1.4871099,1.6269121,1.2172929763793945,1.1816102981567382,-0.03568267822265625
28,-1.7820307,-1.6107204,"('honest', 'dishonest')",-2.4815605,-2.3089046,-1.2725406,-1.2505563,-2.0855794,-2.0146995,-1.27389,-0.99179226,-1.7791202545166016,-1.635334587097168,0.14378566741943355
32,-1.7730558,-1.6382208,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-0.91723704,-0.70077676,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-1.1733469009399413,-0.8549005508422851,0.3184463500976562
10,-1.7410182,-1.6078053,"('affectionate', 'unaffectionate')",0.22535588,0.18459022,-0.52450347,-0.2062738,-0.05168128,0.14470398,0.7698784,0.8342984,-0.2643937587738037,-0.13009729385375976,0.13429646492004396
109,1.7226607,1.7569865,"('conservative', 'liberal')",1.8477361,2.2259586,1.8906868,1.649916,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.8349035263061524,0.8424249649047851,0.007521438598632746
108,1.7226607,1.7569865,"('conservative', 'liberal')",1.8477361,2.2259586,1.8906868,1.649916,-0.18954298,-0.3518635,-1.097023,-1.0688727,0.8349035263061524,0.8424249649047851,0.007521438598632746
34,-1.5249603,-0.98230076,"('loyal', 'disloyal')",-1.7068768,-1.3924224,0.3334649,0.39402476,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.2192212104797364,-0.9407795906066895,0.27844161987304694
46,1.5185516,1.2379377,"('generous', 'stingy')",1.1583265,1.4427539,0.57496417,0.80218774,2.3762202,2.3003333,0.83456933,0.996935,1.2925263404846192,1.3560295104980469,0.06350317001342765
63,-1.4978256,-1.4427091,"('capable', 'incapable')",-0.80940247,-1.0181079,-0.72259414,-0.4848684,-1.1376256,-1.0196587,-0.33474922,-0.53823125,-0.900439453125,-0.9007150650024414,-0.00027561187744140625
38,-1.4653308,-0.6828328,"('kind', 'unkind')",-1.8781213,-1.696897,0.31307843,0.37515038,-2.3757577,-1.9031388,-1.1115729,-0.71509457,-1.3035408020019532,-0.9245625495910644,0.3789782524108888
104,-1.4628363,-1.3948946,"('conventional', 'unconventional')",-0.45263612,-0.33058608,-0.9590891,-0.5777457,-0.7870131,-0.6860226,0.09214801,-0.08103579,-0.7138853073120117,-0.6140569686889649,0.09982833862304685
44,-1.3964376,-1.210616,"('truthful', 'untruthful')",-0.52573866,-0.6208297,-0.59088254,-0.5258244,-0.6980455,-0.76625013,-0.44683415,-0.3493275,-0.7315876960754395,-0.6945695877075195,0.037018108367919966
58,-1.3628639,-0.81911975,"('able', 'clumsy')",-1.5622277,-1.5301608,-0.954382,-0.7839559,-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.5365398406982422,-1.3074444770812987,0.2290953636169435
94,1.3600429,1.7197737,"('aggressive', 'submissive')",0.45391607,0.68634987,1.3861585,1.1680735,-0.09218556,-0.26384047,-0.6174553,-0.32319823,0.49809536933898924,0.5974317073822022,0.09933633804321296
105,-1.3456483,-1.3353575,"('conventional', 'modern')",-1.011471,-1.0496438,-0.50556314,-0.6462209,-0.48005888,-0.4712868,0.8306431,0.5736888,-0.5024196147918701,-0.5857640266418457,-0.08334441184997554
98,-1.2799271,-1.658026,"('prestigious', 'insignificant')",-1.0710076,-1.416075,-0.6217114,-0.37346005,-0.5078856,-0.44825798,0.27524158,0.15429056,-0.6410580158233643,-0.7483057022094727,-0.10724768638610838
78,1.2582846,0.7196663,"('active', 'inactive')",1.0016036,0.7120829,0.10954845,-0.05698538,2.3321204,1.9112912,1.6742909,1.1332293,1.275169563293457,0.8838568687438965,-0.3913126945495605
49,-1.2315288,-0.98455155,"('responsible', 'irresponsible')",-0.61115694,-0.70318985,-0.78256875,-0.98481566,-1.4365293,-1.2053922,-1.0568249,-1.0981494,-1.023721694946289,-0.9952197074890137,0.02850198745727539
16,1.1720542,1.6617172,"('social', 'antisocial')",0.2795266,0.46477503,1.107394,0.6760175,-0.3652128,-0.106381685,-0.8021402,-0.50254613,0.2783243179321289,0.43871641159057617,0.16039209365844725
43,-1.1265374,-0.92106783,"('genuine', 'fake')",0.49274534,0.51856124,-0.24949676,-0.3854155,-0.23435366,-0.21506564,0.3768835,0.38788807,-0.1481518030166626,-0.12301993370056152,0.025131869316101063
33,-1.0675511,-0.961168,"('softhearted', 'hardhearted')",-0.60674417,-0.23359776,-0.65049195,-0.45588318,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-0.7959612369537353,-0.6539031028747558,0.1420581340789795
99,-1.0480514,-1.4701941,"('prestigious', 'insignificant')",-0.7048128,-1.1830682,-0.96950996,-0.55854946,0.29116943,0.51564914,0.7842057,0.64763576,-0.32939977645874025,-0.40970535278320314,-0.08030557632446289
