,nasdaq_male,nasdaq_female,tuple,average_male,average_female,female-male
99,-3.74233,-3.8915224,"('prestigious', 'insignificant')",-3.7423300743103027,-3.8915224075317383,-0.14919233322143555
42,-3.6315267,-3.5165827,"('amicable', 'hostile')",-3.6315267086029053,-3.516582727432251,0.1149439811706543
71,3.3271677,3.369468,"('efficient', 'inefficient')",3.3271677494049072,3.3694679737091064,0.04230022430419922
16,3.2997227,3.3716311,"('social', 'antisocial')",3.299722671508789,3.371631145477295,0.07190847396850586
8,-3.1730793,-3.4041803,"('open', 'distant')",-3.173079252243042,-3.4041802883148193,-0.23110103607177734
94,3.1126077,3.3975153,"('aggressive', 'submissive')",3.112607717514038,3.397515296936035,0.28490757942199707
81,-2.952021,-3.0678663,"('industrious', 'lazy')",-2.9520208835601807,-3.067866325378418,-0.1158454418182373
107,2.9219902,2.9279065,"('conventional', 'modern')",2.921990156173706,2.9279065132141113,0.0059163570404052734
1,-2.80931,-2.7074757,"('friendly', 'unfriendly')",-2.809309959411621,-2.7074756622314453,0.10183429718017578
60,2.7804952,2.9446986,"('educated', 'uneducated')",2.7804951667785645,2.9446985721588135,0.16420340538024902
109,2.5544345,2.7876482,"('conservative', 'liberal')",2.5544345378875732,2.7876482009887695,0.2332136631011963
108,2.5544345,2.7876482,"('conservative', 'liberal')",2.5544345378875732,2.7876482009887695,0.2332136631011963
2,2.4931674,2.7294855,"('friendly', 'unfriendly')",2.4931674003601074,2.729485511779785,0.23631811141967773
41,-2.4256816,-2.5781405,"('incorrupt', 'corrupt')",-2.4256815910339355,-2.5781404972076416,-0.15245890617370605
12,2.4092445,2.6571257,"('sympathetic', 'unsympathetic')",2.4092445373535156,2.65712571144104,0.24788117408752441
15,2.3929057,2.459952,"('polite', 'impolite')",2.3929057121276855,2.4599521160125732,0.0670464038848877
83,2.3915164,2.4808607,"('energetic', 'lethargic')",2.3915164470672607,2.480860710144043,0.08934426307678223
82,-2.3504817,-2.5036001,"('industrious', 'meek')",-2.3504817485809326,-2.5036001205444336,-0.15311837196350098
58,2.3465402,2.4706063,"('able', 'clumsy')",2.3465402126312256,2.4706063270568848,0.12406611442565918
25,2.241222,2.4367535,"('moral', 'immoral')",2.2412219047546387,2.436753511428833,0.19553160667419434
75,2.2211976,1.9943154,"('confident', 'shy')",2.2211976051330566,1.9943153858184814,-0.2268822193145752
32,-2.1943092,-2.0238996,"('benevolent', 'hardhearted')",-2.1943092346191406,-2.023899555206299,0.1704096794128418
76,2.1564517,2.373655,"('secure', 'insecure')",2.15645170211792,2.373655080795288,0.21720337867736816
65,2.1201065,2.1302469,"('practical', 'impractical')",2.1201064586639404,2.130246877670288,0.010140419006347656
64,2.1074657,2.2470126,"('clever', 'incompetent')",2.1074657440185547,2.2470126152038574,0.13954687118530273
7,-2.0167658,-2.2960322,"('outgoing', 'distant')",-2.016765832901001,-2.296032190322876,-0.279266357421875
5,1.941557,1.9134109,"('pleasant', 'repellent')",1.9415570497512817,1.9134109020233154,-0.02814614772796631
31,-1.9297314,-1.9960008,"('altruistic', 'egoistic')",-1.9297313690185547,-1.9960007667541504,-0.0662693977355957
39,-1.8653178,-1.8336928,"('right', 'wrong')",-1.8653178215026855,-1.8336927890777588,0.03162503242492676
98,-1.7747626,-1.8846482,"('prestigious', 'insignificant')",-1.7747626304626465,-1.8846482038497925,-0.109885573387146
49,1.7662985,1.8102643,"('responsible', 'irresponsible')",1.766298532485962,1.8102643489837646,0.043965816497802734
85,1.741018,1.6745067,"('ambitious', 'unambitious')",1.7410180568695068,1.674506664276123,-0.06651139259338379
51,1.7301632,1.8887161,"('competent', 'incompetent')",1.7301632165908813,1.8887161016464233,0.158552885055542
89,1.7185814,1.6425166,"('daring', 'anxious')",1.7185814380645752,1.6425166130065918,-0.0760648250579834
