,celanese_male,celanese_female,tuple,corp_male,corp_female,del_male,del_female,average_male,average_female,female-male
75,2.318295,2.238265,"('confident', 'shy')",6.66473,6.5372887,7.7841444,7.576187,5.589056650797526,5.450580596923828,-0.1384760538736982
95,-1.9093968,-1.6993984,"('rich', 'poor')",-6.034153,-6.116641,-5.6981053,-5.764838,-4.547218322753906,-4.52695910135905,0.020259221394856475
53,-1.7103344,-1.7526305,"('smart', 'stupid')",-4.4504747,-4.3025694,-4.993374,-4.5022855,-3.7180608113606772,-3.519161860148112,0.1988989512125654
38,-1.5253216,-1.2460139,"('kind', 'unkind')",-2.3757577,-1.9031388,-1.7790483,-1.3511465,-1.8933758735656738,-1.500099817911784,0.3932760556538899
90,1.4164357,1.3750895,"('motivated', 'unmotivated')",0.5462045,0.32156423,1.6085019,1.0431734,1.1903807322184246,0.9132757186889648,-0.2771050135294597
27,-1.415711,-0.94838625,"('sincere', 'insincere')",-6.6364894,-6.431673,-5.2800627,-5.020055,-4.444087664286296,-4.133371353149414,0.3107163111368818
40,-1.3967693,-1.4565425,"('honorable', 'mean')",-5.858739,-5.9650583,-4.404361,-4.638629,-3.8866230646769204,-4.020076751708984,-0.13345368703206395
6,1.3132155,1.4425378,"('liked', 'disliked')",6.684802,6.6123395,6.341054,6.089474,4.779690424601237,4.714783986409505,-0.06490643819173236
66,1.2613181,1.5388665,"('imaginative', 'unimaginative')",3.0494213,3.0358052,2.7121282,2.4936562,2.340955893198649,2.356109301249186,0.01515340805053711
106,-1.2354385,-1.2063257,"('conventional', 'unconventional')",-0.62033725,-0.33703667,-0.036371797,0.04663293,-0.6307158470153809,-0.4989098310470581,0.13180601596832275
70,1.2033619,1.2543123,"('wise', 'unwise')",1.1597657,1.1573492,1.2063642,0.9010212,1.1898306210835774,1.104227622350057,-0.08560299873352051
103,1.189904,1.310062,"('traditional', 'modern')",0.6515223,0.51988685,0.7143144,0.45518368,0.8519135316212972,0.7617108821868896,-0.09020264943440759
1,-1.1449908,-0.670438,"('friendly', 'unfriendly')",-1.3676949,-1.0302336,-1.8669108,-1.8870823,-1.4598655700683594,-1.1959180037180583,0.26394756635030103
32,-1.1285579,-1.0625434,"('benevolent', 'hardhearted')",-1.3220441,-0.75526094,-1.50141,-1.2020481,-1.3173373540242512,-1.0066174666086833,0.3107198874155679
104,-0.9705291,-0.82046276,"('conventional', 'unconventional')",-0.7870131,-0.6860226,-0.86320865,-0.94207835,-0.8735836346944174,-0.816187858581543,0.057395776112874386
31,-0.96902615,-1.0240312,"('altruistic', 'egoistic')",-0.277474,-0.047681987,-0.6065016,-0.5490996,-0.6176672379175822,-0.5402709643046061,0.07739627361297607
43,-0.9667632,-0.71659285,"('genuine', 'fake')",-0.23435366,-0.21506564,-0.13382867,-0.26813,-0.44498181343078613,-0.3999295234680176,0.045052289962768555
15,0.9619324,1.1514449,"('polite', 'impolite')",0.51423466,0.6083,1.1044207,1.3836783,0.8601959546407064,1.0478076934814453,0.1876117388407389
89,0.9291701,0.7573427,"('daring', 'anxious')",-0.35680014,-0.5358988,0.1989139,0.29291052,0.2570946216583252,0.171451469262441,-0.08564315239588419
10,-0.92120266,-0.58244216,"('affectionate', 'unaffectionate')",-0.05168128,0.14470398,-0.9928772,-0.9733261,-0.6552537282307943,-0.47035475571950275,0.18489897251129156
4,-0.90781367,-0.988107,"('likable', 'unlikable')",-0.6973594,-0.49110615,-0.47209173,-0.3947039,-0.6924215952555338,-0.6246390342712402,0.06778256098429358
13,-0.90433383,-0.57242465,"('helpful', 'unhelpful')",-3.0271235,-3.0961032,-2.0741463,-1.9227133,-2.001867930094401,-1.863746960957845,0.13812096913655592
69,-0.8710283,-0.90137,"('wise', 'foolish')",0.44740218,0.6480955,-0.67034453,-0.887127,-0.36465688546498615,-0.3801338275273641,-0.01547694206237793
71,0.86972654,0.63080955,"('efficient', 'inefficient')",-1.1294833,-1.2358482,0.77104187,0.5426831,0.17042835553487143,-0.020785172780354817,-0.19121352831522626
